,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,/ ,... ,/ , ,/ , ,/ ,/ , ,/ , ,... ,/ ,/ ,/ ,/ , ,34.5 ,... ,6 ,... , ,... , ,16.5 ,2011-01-12 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
1,02,/ ,... ,/ , ,/ , ,/ ,/ , ,/ , ,... ,/ ,/ ,/ ,/ , ,42.0 ,... ,6 ,... , ,... , ,10.5 ,2011-02-20 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
2,03,/ ,... ,/ , ,/ , ,/ ,/ , ,/ , ,... ,/ ,/ ,/ ,/ , ,42.5 ,... ,8 ,... , ,... , ,20.5 ,2011-03-27 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
3,04,989.4 ,... ,992.1 ,2011-04-29 21:34 ,985.3 ,2011-04-27 16:36 ,23.6 ,28.0 ,2011-04-27 16:38 ,20.4 ,2011-04-29 03:26 ,... ,1.7 ,178 ,8.7 ,200 ,2011-04-30 20:35 ,1.5 ,... ,2 ,... , ,... , ,1.0 ,2011-04-29 00:00 ,82 ,... ,/ ,... ,... ,... , ,... 
4,05,988.1 ,... ,993.3 ,2011-05-15 09:05 ,978.4 ,2011-05-28 04:01 ,24.0 ,33.4 ,2011-05-12 11:46 ,17.6 ,2011-05-30 03:11 ,... ,1.8 ,1 ,14.9 ,6 ,2011-05-28 12:55 ,99.5 ,... ,12 ,... , ,... , ,25.5 ,2011-05-23 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
5,06,986.2 ,... ,990.7 ,2011-06-30 21:31 ,975.3 ,2011-06-24 17:11 ,27.8 ,34.1 ,2011-06-15 12:16 ,22.7 ,2011-06-02 06:47 ,... ,1.9 ,197 ,12.0 ,209 ,2011-06-28 12:08 ,98.0 ,... ,9 ,... , ,... , ,52.0 ,2011-06-27 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
6,07,985.2 ,... ,990.6 ,2011-07-01 10:03 ,978.4 ,2011-07-18 18:01 ,27.5 ,33.0 ,2011-07-09 11:32 ,23.1 ,2011-07-14 05:22 ,... ,1.5 ,197 ,11.8 ,212 ,2011-07-15 18:45 ,210.5 ,... ,7 ,... , ,... , ,75.5 ,2011-07-11 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
7,08,... ,... ,... , ,... , ,... ,... , ,... , ,... ,... ,... ,... ,... , ,/ ,... ,... ,... , ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
8,09,... ,... ,... , ,... , ,... ,... , ,... , ,... ,... ,... ,... ,... , ,/ ,... ,... ,... , ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
9,10,... ,... ,... , ,... , ,... ,... , ,... , ,... ,... ,... ,... ,... , ,... ,... ,... ,... , ,... , ,... , ,... ,... ,... ,... ,... ,... , ,... 
10,11,991.9 ,... ,998.7 ,2011-11-25 09:37 ,984.8 ,2011-11-10 02:59 ,21.9 ,31.4 ,2011-11-06 12:50 ,15.6 ,2011-11-24 23:46 ,... ,1.6 ,2 ,12.0 ,9 ,2011-11-23 17:09 ,151.0 ,... ,8 ,... , ,... , ,54.0 ,2011-11-09 00:00 ,85 ,... ,/ ,... ,... ,... , ,... 
11,12,995.8 ,... ,1001.8 ,2011-12-27 09:41 ,989.3 ,2011-12-01 14:04 ,15.8 ,24.8 ,2011-12-07 11:34 ,9.0 ,2011-12-25 06:33 ,... ,2.5 ,3 ,15.5 ,44 ,2011-12-08 22:06 ,30.5 ,... ,4 ,... , ,... , ,27.0 ,2011-12-05 00:00 ,86 ,... ,/ ,... ,... ,... , ,... 
