,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1015.2 ,... ,1023.3 ,2013-01-18 08:56 ,1007.8 ,2013-01-13 04:35 ,15.8 ,20.9 ,2013-01-21 13:36 ,10.0 ,2013-01-01 01:49 ,... ,3.5 ,26 ,16.8 ,26 ,2013-01-03 00:42 ,10.5 ,... ,5 ,... , ,... , ,7.0 ,2013-01-13 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
1,02,1014.0 ,... ,1019.5 ,2013-02-23 09:36 ,1008.2 ,2013-02-28 15:09 ,17.1 ,25.6 ,2013-02-05 13:31 ,12.4 ,2013-02-09 02:31 ,... ,3.5 ,25 ,16.4 ,33 ,2013-02-23 13:41 ,2.5 ,... ,1 ,... , ,... , ,2.5 ,2013-02-03 00:00 ,91 ,... ,... ,... ,... ,... , ,... 
2,03,1011.3 ,... ,1019.7 ,2013-03-03 09:19 ,1002.8 ,2013-03-24 03:02 ,19.8 ,27.4 ,2013-03-01 12:55 ,11.3 ,2013-03-04 02:54 ,... ,3.0 ,26 ,17.7 ,28 ,2013-03-14 00:35 ,47.5 ,... ,9 ,... , ,... , ,19.0 ,2013-03-28 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
3,04,1008.1 ,... ,1015.6 ,2013-04-12 09:35 ,997.7 ,2013-04-05 23:37 ,21.4 ,29.9 ,2013-04-30 12:31 ,14.3 ,2013-04-12 16:37 ,... ,2.5 ,28 ,14.1 ,350 ,2013-04-03 20:47 ,182.5 ,... ,17 ,... , ,... , ,44.0 ,2013-04-05 00:00 ,89 ,... ,... ,... ,... ,... , ,... 
4,05,1005.0 ,... ,1011.6 ,2013-05-05 09:54 ,999.9 ,2013-05-20 06:20 ,26.0 ,33.0 ,2013-05-29 09:33 ,16.3 ,2013-05-01 14:01 ,... ,2.4 ,153 ,14.2 ,212 ,2013-05-22 13:29 ,264.5 ,... ,14 ,... , ,... , ,81.0 ,2013-05-11 00:00 ,88 ,... ,... ,... ,... ,... , ,... 
5,06,1002.4 ,... ,1009.0 ,2013-06-05 11:34 ,995.9 ,2013-06-19 16:05 ,28.5 ,33.6 ,2013-06-26 16:47 ,25.0 ,2013-06-15 03:33 ,... ,2.5 ,181 ,13.2 ,178 ,2013-06-25 11:49 ,92.0 ,... ,10 ,... , ,... , ,32.5 ,2013-06-13 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
6,07,1003.8 ,... ,1009.0 ,2013-07-08 08:54 ,977.3 ,2013-07-13 05:33 ,28.7 ,34.0 ,2013-07-05 10:19 ,21.9 ,2013-07-13 17:41 ,... ,2.7 ,155 ,25.8 ,322 ,2013-07-13 05:21 ,580.0 ,... ,12 ,... , ,... , ,496.5 ,2013-07-13 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
7,08,1001.3 ,... ,1010.4 ,2013-08-03 11:03 ,981.3 ,2013-08-21 16:42 ,28.6 ,34.0 ,2013-08-13 11:19 ,23.2 ,2013-08-30 05:16 ,... ,2.5 ,10 ,22.6 ,354 ,2013-08-21 14:55 ,656.0 ,... ,9 ,... , ,... , ,184.0 ,2013-08-21 00:00 ,88 ,... ,... ,... ,... ,... , ,... 
8,09,1003.5 ,... ,1009.9 ,2013-09-08 09:54 ,983.0 ,2013-09-21 14:50 ,27.2 ,33.2 ,2013-09-19 11:16 ,21.2 ,2013-09-02 01:49 ,... ,2.7 ,19 ,21.8 ,36 ,2013-09-20 16:02 ,28.0 ,... ,5 ,... , ,... , ,20.5 ,2013-09-01 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
9,10,1007.7 ,... ,1015.7 ,2013-10-29 09:11 ,995.6 ,2013-10-07 01:33 ,24.0 ,32.6 ,2013-10-07 11:39 ,16.3 ,2013-10-27 05:16 ,... ,4.1 ,23 ,20.5 ,23 ,2013-10-22 11:56 ,6.5 ,... ,1 ,... , ,... , ,6.5 ,2013-10-05 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
10,11,1012.2 ,... ,1020.6 ,2013-11-29 08:48 ,1006.0 ,2013-11-01 16:01 ,21.0 ,28.1 ,2013-11-01 13:10 ,9.4 ,2013-11-30 04:47 ,... ,3.3 ,23 ,18.6 ,23 ,2013-11-25 10:38 ,20.5 ,... ,3 ,... , ,... , ,11.5 ,2013-11-25 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
11,12,1013.3 ,... ,1020.1 ,2013-12-22 09:01 ,1004.4 ,2013-12-17 13:31 ,16.3 ,25.2 ,2013-12-07 16:04 ,9.1 ,2013-12-28 07:01 ,... ,4.0 ,27 ,22.4 ,43 ,2013-12-27 06:38 ,68.5 ,... ,7 ,... , ,... , ,22.5 ,2013-12-17 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
