,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1015.4 ,... ,1021.3 ,2015-01-31 08:41 ,1007.8 ,2015-01-06 13:44 ,15.8 ,23.9 ,2015-01-06 10:41 ,7.9 ,2015-01-23 05:32 ,... ,3.5 ,25 ,20.2 ,26 ,2015-01-31 12:43 ,17.0 ,... ,3 ,... , ,... , ,8.5 ,2015-01-14 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
1,02,1014.3 ,... ,1022.0 ,2015-02-01 09:35 ,1007.8 ,2015-02-25 14:52 ,16.5 ,27.0 ,2015-02-21 12:02 ,10.0 ,2015-02-13 05:32 ,... ,3.0 ,27 ,21.9 ,27 ,2015-02-05 13:26 ,38.5 ,... ,4 ,... , ,... , ,23.0 ,2015-02-16 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
2,03,1013.1 ,... ,1020.7 ,2015-03-25 10:01 ,1005.0 ,2015-03-18 15:35 ,19.0 ,32.3 ,2015-03-19 10:23 ,11.9 ,2015-03-11 03:01 ,... ,3.0 ,21 ,18.8 ,20 ,2015-03-23 12:22 ,26.0 ,... ,9 ,... , ,... , ,7.0 ,2015-03-23 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
3,04,1009.5 ,... ,1015.7 ,2015-04-14 09:41 ,1002.1 ,2015-04-03 03:02 ,22.8 ,30.8 ,2015-04-19 11:21 ,13.7 ,2015-04-15 05:54 ,... ,2.9 ,14 ,17.1 ,25 ,2015-04-07 12:56 ,37.5 ,... ,6 ,... , ,... , ,22.5 ,2015-04-11 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
4,05,1005.1 ,... ,1010.0 ,2015-05-15 08:51 ,999.7 ,2015-05-28 16:12 ,26.1 ,32.1 ,2015-05-29 15:31 ,19.8 ,2015-05-05 01:05 ,... ,2.7 ,25 ,16.9 ,180 ,2015-05-24 04:16 ,403.0 ,... ,14 ,... , ,... , ,167.0 ,2015-05-20 00:00 ,86 ,... ,... ,... ,... ,... , ,... 
5,06,1003.9 ,... ,1007.8 ,2015-06-03 09:43 ,999.3 ,2015-06-17 16:46 ,29.3 ,34.0 ,2015-06-25 11:11 ,24.0 ,2015-06-01 02:04 ,... ,2.9 ,152 ,13.8 ,227 ,2015-06-27 09:31 ,66.5 ,... ,4 ,... , ,... , ,26.5 ,2015-06-22 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
6,07,1000.7 ,... ,1009.6 ,2015-07-27 09:08 ,990.8 ,2015-07-10 16:55 ,29.0 ,35.1 ,2015-07-21 12:52 ,24.7 ,2015-07-22 07:57 ,... ,3.0 ,177 ,19.1 ,21 ,2015-07-10 09:15 ,60.5 ,... ,9 ,... , ,... , ,29.0 ,2015-07-10 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
7,08,1001.2 ,... ,1009.7 ,2015-08-02 08:11 ,952.4 ,2015-08-08 05:42 ,28.2 ,35.0 ,2015-08-22 15:53 ,23.6 ,2015-08-30 02:41 ,... ,3.1 ,171 ,47.1 ,26 ,2015-08-08 03:35 ,248.0 ,... ,14 ,... , ,... , ,38.0 ,2015-08-16 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
8,09,1005.3 ,... ,1011.8 ,2015-09-17 10:21 ,970.0 ,2015-09-28 19:41 ,26.9 ,32.1 ,2015-09-06 11:08 ,21.9 ,2015-09-19 04:54 ,... ,2.9 ,23 ,45.2 ,33 ,2015-09-28 19:28 ,99.0 ,... ,7 ,... , ,... , ,43.5 ,2015-09-07 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
9,10,1009.2 ,... ,1017.9 ,2015-10-31 09:31 ,998.6 ,2015-10-19 15:32 ,24.9 ,31.6 ,2015-10-01 10:21 ,19.3 ,2015-10-14 05:01 ,... ,2.4 ,27 ,17.5 ,18 ,2015-10-16 13:45 ,56.0 ,... ,6 ,... , ,... , ,38.5 ,2015-10-09 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
10,11,1012.9 ,... ,1020.3 ,2015-11-28 09:13 ,1008.1 ,2015-11-23 15:04 ,23.3 ,31.5 ,2015-11-18 10:51 ,13.6 ,2015-11-27 05:12 ,... ,2.8 ,26 ,19.5 ,31 ,2015-11-26 12:27 ,1.0 ,... ,1 ,... , ,... , ,1.0 ,2015-11-21 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
11,12,1015.4 ,... ,1023.3 ,2015-12-28 09:22 ,1006.3 ,2015-12-10 02:31 ,18.6 ,27.7 ,2015-12-23 13:32 ,10.5 ,2015-12-17 18:01 ,... ,3.7 ,26 ,20.5 ,31 ,2015-12-16 15:50 ,36.0 ,... ,5 ,... , ,... , ,25.0 ,2015-12-10 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
