,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,990.0 ,... ,1003.0 ,2016-01-24 20:27 ,979.3 ,2016-01-17 14:02 ,14.7 ,24.0 ,2016-01-05 10:21 ,2.1 ,2016-01-25 06:11 ,... ,2.3 ,12 ,20.8 ,7 ,2016-01-24 01:21 ,208.5 ,... ,16 ,... , ,... , ,38.5 ,2016-01-11 00:00 ,89 ,... ,... ,... ,... ,... , ,... 
1,02,991.2 ,... ,998.0 ,2016-02-25 09:31 ,982.9 ,2016-02-13 14:14 ,14.1 ,29.6 ,2016-02-13 12:51 ,6.2 ,2016-02-07 06:52 ,... ,2.5 ,13 ,16.7 ,17 ,2016-02-06 14:27 ,31.5 ,... ,7 ,... , ,... , ,17.5 ,2016-02-01 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
2,03,987.8 ,... ,995.4 ,2016-03-28 09:42 ,980.9 ,2016-03-08 15:22 ,16.3 ,28.1 ,2016-03-30 11:48 ,8.6 ,2016-03-26 06:51 ,... ,1.8 ,12 ,14.9 ,6 ,2016-03-10 16:52 ,247.0 ,... ,17 ,... , ,... , ,39.0 ,2016-03-10 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
3,04,983.1 ,... ,990.1 ,2016-04-19 09:13 ,974.0 ,2016-04-13 14:41 ,23.2 ,31.8 ,2016-04-06 14:28 ,15.4 ,2016-04-19 05:41 ,... ,1.5 ,1 ,13.9 ,330 ,2016-04-18 04:46 ,211.0 ,... ,12 ,... , ,... , ,35.5 ,2016-04-10 00:00 ,87 ,... ,... ,... ,... ,... , ,... 
4,05,981.5 ,... ,986.3 ,2016-05-14 10:21 ,976.3 ,2016-05-24 16:39 ,25.9 ,33.8 ,2016-05-28 13:03 ,17.0 ,2016-05-17 05:01 ,... ,1.6 ,7 ,10.7 ,222 ,2016-05-29 10:45 ,111.5 ,... ,8 ,... , ,... , ,29.5 ,2016-05-11 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
5,06,980.2 ,... ,986.6 ,2016-06-29 20:51 ,975.4 ,2016-06-01 17:02 ,27.7 ,34.1 ,2016-06-01 15:14 ,22.5 ,2016-06-06 10:07 ,... ,1.7 ,184 ,13.2 ,176 ,2016-06-12 11:26 ,327.5 ,... ,16 ,... , ,... , ,58.0 ,2016-06-13 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
6,07,978.7 ,... ,984.8 ,2016-07-21 09:53 ,958.6 ,2016-07-08 12:51 ,28.3 ,34.7 ,2016-07-31 15:02 ,22.9 ,2016-07-19 17:49 ,... ,1.7 ,129 ,11.2 ,216 ,2016-07-18 12:40 ,81.0 ,... ,11 ,... , ,... , ,36.0 ,2016-07-19 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
7,08,975.6 ,... ,982.5 ,2016-08-03 22:11 ,970.9 ,2016-08-09 15:51 ,27.3 ,33.9 ,2016-08-01 11:27 ,23.1 ,2016-08-28 23:41 ,... ,1.3 ,10 ,9.7 ,334 ,2016-08-06 12:38 ,195.5 ,... ,12 ,... , ,... , ,40.5 ,2016-08-18 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
8,09,977.5 ,... ,985.1 ,2016-09-22 08:23 ,930.3 ,2016-09-27 14:40 ,26.2 ,32.7 ,2016-09-05 14:31 ,22.3 ,2016-09-22 05:41 ,... ,1.9 ,10 ,35.7 ,7 ,2016-09-27 14:40 ,193.5 ,... ,15 ,... , ,... , ,49.0 ,2016-09-27 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
9,10,981.9 ,... ,990.7 ,2016-10-31 08:08 ,972.7 ,2016-10-20 13:31 ,25.5 ,32.6 ,2016-10-20 15:00 ,19.5 ,2016-10-31 02:53 ,... ,1.6 ,3 ,9.5 ,29 ,2016-10-29 14:43 ,10.0 ,... ,6 ,... , ,... , ,4.0 ,2016-10-21 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
10,11,986.7 ,... ,992.6 ,2016-11-29 09:42 ,982.0 ,2016-11-05 14:03 ,21.3 ,29.4 ,2016-11-19 12:15 ,15.2 ,2016-11-29 01:21 ,... ,1.9 ,17 ,12.5 ,39 ,2016-11-02 12:28 ,85.5 ,... ,9 ,... , ,... , ,51.0 ,2016-11-23 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
11,12,988.4 ,... ,994.1 ,2016-12-17 09:51 ,981.9 ,2016-12-09 14:11 ,18.2 ,29.4 ,2016-12-21 12:44 ,11.1 ,2016-12-28 02:01 ,... ,2.3 ,21 ,15.2 ,17 ,2016-12-27 14:53 ,8.0 ,... ,2 ,... , ,... , ,7.5 ,2016-12-28 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
