,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,991.1 ,... ,997.8 ,2012-01-04 09:19 ,981.1 ,2012-01-15 15:46 ,15.5 ,25.0 ,2012-01-18 14:16 ,9.0 ,2012-01-04 18:33 ,... ,0.7 ,17 ,6.6 ,326 ,2012-01-01 13:45 ,66.5 ,... ,9 ,... , ,... , ,20.0 ,2012-01-16 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
1,02,989.5 ,... ,995.7 ,2012-02-03 10:11 ,981.7 ,2012-02-23 15:34 ,15.7 ,28.0 ,2012-02-23 10:17 ,8.8 ,2012-02-08 13:28 ,... ,0.7 ,4 ,7.7 ,321 ,2012-02-24 10:02 ,101.5 ,... ,8 ,... , ,... , ,31.0 ,2012-02-23 00:00 ,88 ,... ,... ,... ,... ,... , ,... 
2,03,988.7 ,... ,995.9 ,2012-03-27 10:01 ,982.0 ,2012-03-06 16:49 ,19.1 ,31.8 ,2012-03-23 12:39 ,10.2 ,2012-03-24 09:47 ,... ,0.7 ,5 ,8.7 ,47 ,2012-03-24 05:29 ,30.0 ,... ,7 ,... , ,... , ,11.5 ,2012-03-11 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
3,04,985.5 ,... ,992.5 ,2012-04-01 10:01 ,980.0 ,2012-04-21 03:47 ,24.2 ,33.1 ,2012-04-24 12:16 ,16.2 ,2012-04-01 01:53 ,... ,0.7 ,34 ,12.8 ,204 ,2012-04-25 10:56 ,255.0 ,... ,17 ,... , ,... , ,59.5 ,2012-04-26 00:00 ,86 ,... ,... ,... ,... ,... , ,... 
4,05,981.8 ,... ,985.9 ,2012-05-18 21:31 ,978.0 ,2012-05-20 16:39 ,26.4 ,33.9 ,2012-05-15 12:06 ,20.0 ,2012-05-05 02:45 ,... ,0.7 ,14 ,6.8 ,353 ,2012-05-31 14:30 ,260.0 ,... ,14 ,... , ,... , ,78.0 ,2012-05-18 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
5,06,977.9 ,... ,985.3 ,2012-06-30 22:36 ,968.3 ,2012-06-20 18:02 ,27.5 ,34.2 ,2012-06-27 11:18 ,22.3 ,2012-06-21 01:06 ,... ,0.9 ,13 ,11.2 ,119 ,2012-06-20 19:35 ,348.5 ,... ,15 ,... , ,... , ,63.5 ,2012-06-20 00:00 ,89 ,... ,... ,... ,... ,... , ,... 
6,07,979.7 ,... ,985.8 ,2012-07-01 21:17 ,964.7 ,2012-07-31 15:51 ,29.0 ,34.4 ,2012-07-21 14:16 ,23.7 ,2012-07-21 18:43 ,... ,0.8 ,171 ,7.8 ,53 ,2012-07-31 16:56 ,177.5 ,... ,10 ,... , ,... , ,73.5 ,2012-07-26 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
7,08,977.3 ,... ,985.7 ,2012-08-17 22:31 ,958.4 ,2012-08-02 02:10 ,27.3 ,33.6 ,2012-08-08 16:01 ,22.8 ,2012-08-02 17:25 ,... ,1.0 ,25 ,20.1 ,324 ,2012-08-02 06:31 ,749.0 ,... ,19 ,... , ,... , ,586.0 ,2012-08-02 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
8,09,983.6 ,... ,988.8 ,2012-09-06 08:16 ,975.1 ,2012-09-28 13:51 ,26.4 ,32.9 ,2012-09-21 13:01 ,20.5 ,2012-09-17 06:05 ,... ,0.8 ,3 ,12.8 ,18 ,2012-09-29 00:41 ,47.5 ,... ,2 ,... , ,... , ,30.0 ,2012-09-02 00:00 ,73 ,... ,... ,... ,... ,... , ,... 
9,10,987.0 ,... ,992.9 ,2012-10-20 09:31 ,981.1 ,2012-10-03 15:27 ,23.2 ,29.4 ,2012-10-26 10:46 ,17.9 ,2012-10-31 23:47 ,... ,0.9 ,26 ,10.6 ,8 ,2012-10-17 13:31 ,1.5 ,... ,1 ,... , ,... , ,1.5 ,2012-10-31 00:00 ,70 ,... ,... ,... ,... ,... , ,... 
10,11,988.7 ,... ,993.1 ,2012-11-15 09:33 ,983.5 ,2012-11-22 14:47 ,21.0 ,29.9 ,2012-11-10 14:36 ,12.3 ,2012-11-27 05:05 ,... ,0.7 ,10 ,6.4 ,313 ,2012-11-23 09:27 ,173.0 ,... ,11 ,... , ,... , ,35.5 ,2012-11-29 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
11,12,990.5 ,... ,996.7 ,2012-12-23 10:52 ,985.4 ,2012-12-02 14:02 ,17.0 ,28.0 ,2012-12-14 12:03 ,6.5 ,2012-12-31 03:17 ,... ,0.8 ,2 ,6.7 ,30 ,2012-12-05 15:04 ,65.5 ,... ,11 ,... , ,... , ,16.5 ,2012-12-05 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
