,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,992.3 ,... ,998.6 ,2014-01-18 09:48 ,985.1 ,2014-01-03 14:48 ,15.3 ,24.8 ,2014-01-03 13:49 ,7.2 ,2014-01-23 05:46 ,... ,1.3 ,25 ,11.8 ,28 ,2014-01-18 15:44 ,2.5 ,... ,1 ,... , ,... , ,2.5 ,2014-01-03 00:00 ,67 ,... ,... ,... ,... ,... , ,... 
1,02,989.4 ,... ,998.3 ,2014-02-21 08:52 ,981.0 ,2014-02-02 14:34 ,15.5 ,26.1 ,2014-02-03 13:39 ,6.0 ,2014-02-21 03:48 ,... ,1.3 ,16 ,7.9 ,24 ,2014-02-20 14:56 ,64.5 ,... ,8 ,... , ,... , ,29.0 ,2014-02-09 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
2,03,989.8 ,... ,995.9 ,2014-03-16 09:02 ,980.7 ,2014-03-31 16:25 ,18.5 ,31.4 ,2014-03-29 14:16 ,11.2 ,2014-03-09 08:16 ,... ,1.2 ,1 ,8.8 ,284 ,2014-03-31 02:04 ,73.5 ,... ,13 ,... , ,... , ,22.0 ,2014-03-13 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
3,04,986.5 ,... ,992.3 ,2014-04-07 08:32 ,982.3 ,2014-04-01 15:01 ,22.6 ,29.8 ,2014-04-10 13:48 ,16.4 ,2014-04-01 02:47 ,... ,1.2 ,317 ,8.3 ,122 ,2014-04-03 01:36 ,16.5 ,... ,5 ,... , ,... , ,10.0 ,2014-04-30 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
4,05,984.1 ,... ,990.1 ,2014-05-06 10:04 ,978.5 ,2014-05-15 04:17 ,25.1 ,32.8 ,2014-05-28 13:18 ,14.7 ,2014-05-06 03:32 ,... ,1.1 ,172 ,9.6 ,251 ,2014-05-21 16:54 ,773.0 ,... ,24 ,... , ,... , ,171.0 ,2014-05-15 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
5,06,978.4 ,... ,984.0 ,2014-06-30 20:16 ,971.6 ,2014-06-10 03:23 ,27.7 ,34.1 ,2014-06-22 13:08 ,22.3 ,2014-06-06 04:14 ,... ,1.3 ,172 ,9.0 ,222 ,2014-06-16 13:20 ,185.5 ,... ,16 ,... , ,... , ,53.0 ,2014-06-06 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
6,07,978.8 ,... ,985.5 ,2014-07-26 10:17 ,953.6 ,2014-07-23 02:35 ,29.2 ,35.5 ,2014-07-09 15:18 ,23.3 ,2014-07-23 06:56 ,... ,1.4 ,172 ,12.9 ,200 ,2014-07-23 10:14 ,116.0 ,... ,8 ,... , ,... , ,77.5 ,2014-07-23 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
7,08,980.9 ,... ,987.7 ,2014-08-27 23:46 ,971.0 ,2014-08-01 15:04 ,28.3 ,35.1 ,2014-08-01 15:01 ,23.6 ,2014-08-31 05:06 ,... ,1.2 ,172 ,7.4 ,150 ,2014-08-14 10:24 ,97.0 ,... ,11 ,... , ,... , ,42.0 ,2014-08-08 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
8,09,981.6 ,... ,987.7 ,2014-09-27 08:47 ,968.7 ,2014-09-21 14:02 ,28.4 ,36.3 ,2014-09-15 14:33 ,22.9 ,2014-09-22 04:05 ,... ,1.1 ,38 ,9.0 ,259 ,2014-09-22 02:12 ,26.0 ,... ,6 ,... , ,... , ,17.0 ,2014-09-22 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
9,10,986.0 ,... ,991.7 ,2014-10-16 09:34 ,976.9 ,2014-10-10 14:33 ,24.2 ,31.5 ,2014-10-21 14:08 ,17.8 ,2014-10-15 05:31 ,... ,1.4 ,26 ,10.5 ,49 ,2014-10-11 15:29 ,0.0 ,... ,0 ,... , ,... , ,0.0 ,2014-10-19 00:00 ,69 ,... ,... ,... ,... ,... , ,... 
10,11,988.7 ,... ,993.4 ,2014-11-09 09:11 ,983.3 ,2014-11-01 14:16 ,21.8 ,29.1 ,2014-11-22 12:54 ,16.3 ,2014-11-17 23:37 ,... ,1.2 ,9 ,9.4 ,46 ,2014-11-02 13:53 ,2.5 ,... ,4 ,... , ,... , ,1.0 ,2014-11-15 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
11,12,992.4 ,... ,998.9 ,2014-12-18 09:31 ,985.2 ,2014-12-01 13:11 ,15.6 ,24.7 ,2014-12-09 13:37 ,8.1 ,2014-12-17 22:31 ,... ,1.3 ,16 ,8.6 ,52 ,2014-12-16 11:35 ,33.5 ,... ,9 ,... , ,... , ,10.0 ,2014-12-04 00:00 ,74 ,... ,... ,... ,... ,... , ,... 
