,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1008.3 ,... ,1015.1 ,2012-01-04 09:33 ,998.1 ,2012-01-15 15:16 ,17.4 ,27.7 ,2012-01-18 15:03 ,11.4 ,2012-01-05 09:03 ,... ,0.9 ,2 ,7.8 ,158 ,2012-01-16 09:20 ,55.5 ,... ,10 ,... , ,... , ,12.5 ,2012-01-16 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
1,02,1006.6 ,... ,1012.9 ,2012-02-03 09:12 ,998.6 ,2012-02-06 15:53 ,17.6 ,29.0 ,2012-02-13 17:03 ,10.7 ,2012-02-08 16:21 ,... ,0.9 ,12 ,8.1 ,331 ,2012-02-02 13:05 ,117.5 ,... ,10 ,... , ,... , ,32.5 ,2012-02-07 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
2,03,1006.3 ,... ,1013.5 ,2012-03-27 09:35 ,998.7 ,2012-03-05 14:17 ,20.7 ,32.5 ,2012-03-23 13:01 ,12.4 ,2012-03-12 03:49 ,... ,0.9 ,2 ,9.1 ,342 ,2012-03-31 13:19 ,30.5 ,... ,5 ,... , ,... , ,13.0 ,2012-03-12 00:00 ,74 ,... ,... ,... ,... ,... , ,... 
3,04,1003.1 ,... ,1010.3 ,2012-04-01 09:37 ,997.6 ,2012-04-24 15:03 ,25.3 ,34.0 ,2012-04-24 12:36 ,18.0 ,2012-04-01 06:16 ,... ,0.8 ,16 ,8.7 ,336 ,2012-04-03 13:29 ,203.5 ,... ,15 ,... , ,... , ,42.5 ,2012-04-26 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
4,05,999.2 ,... ,1003.4 ,2012-05-18 21:32 ,994.9 ,2012-05-20 16:31 ,27.6 ,35.1 ,2012-05-15 12:52 ,22.3 ,2012-05-22 00:17 ,... ,0.6 ,108 ,8.9 ,237 ,2012-05-16 12:13 ,340.5 ,... ,14 ,... , ,... , ,91.5 ,2012-05-18 00:00 ,74 ,... ,... ,... ,... ,... , ,... 
5,06,995.1 ,... ,1002.7 ,2012-06-30 23:46 ,986.0 ,2012-06-20 16:55 ,28.5 ,36.1 ,2012-06-18 11:18 ,23.9 ,2012-06-21 00:31 ,... ,0.7 ,155 ,15.7 ,175 ,2012-06-20 23:52 ,351.5 ,... ,16 ,... , ,... , ,116.0 ,2012-06-12 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
6,07,997.0 ,... ,1003.3 ,2012-07-01 22:02 ,981.1 ,2012-07-31 16:31 ,29.7 ,35.6 ,2012-07-23 13:47 ,24.3 ,2012-07-21 18:05 ,... ,0.7 ,65 ,10.0 ,245 ,2012-07-21 17:19 ,318.0 ,... ,12 ,... , ,... , ,138.5 ,2012-07-26 00:00 ,72 ,... ,... ,... ,... ,... , ,... 
7,08,994.1 ,... ,1002.5 ,2012-08-17 22:07 ,975.0 ,2012-08-02 02:22 ,28.7 ,36.8 ,2012-08-23 14:34 ,23.8 ,2012-08-02 21:09 ,... ,0.7 ,7 ,19.1 ,351 ,2012-08-02 06:13 ,661.0 ,... ,19 ,... , ,... , ,522.5 ,2012-08-02 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
8,09,1000.0 ,... ,1005.5 ,2012-09-07 09:31 ,991.6 ,2012-09-28 13:16 ,28.4 ,36.5 ,2012-09-27 15:51 ,21.9 ,2012-09-17 05:31 ,... ,0.6 ,104 ,9.5 ,320 ,2012-09-28 15:27 ,104.0 ,... ,6 ,... , ,... , ,71.5 ,2012-09-14 00:00 ,68 ,... ,... ,... ,... ,... , ,... 
9,10,1003.6 ,... ,1009.6 ,2012-10-20 09:15 ,997.3 ,2012-10-03 15:14 ,25.6 ,32.1 ,2012-10-07 13:19 ,20.3 ,2012-10-04 05:16 ,... ,0.7 ,6 ,6.1 ,331 ,2012-10-15 14:37 ,0.5 ,... ,1 ,... , ,... , ,0.5 ,2012-10-31 00:00 ,65 ,... ,... ,... ,... ,... , ,... 
10,11,1005.6 ,... ,1010.0 ,2012-11-16 08:31 ,1000.5 ,2012-11-22 13:40 ,23.1 ,32.0 ,2012-11-10 12:04 ,14.7 ,2012-11-27 03:55 ,... ,0.5 ,8 ,5.6 ,335 ,2012-11-04 14:45 ,137.5 ,... ,9 ,... , ,... , ,40.5 ,2012-11-23 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
11,12,1007.9 ,... ,1014.6 ,2012-12-23 10:13 ,1002.1 ,2012-12-02 14:46 ,19.2 ,29.6 ,2012-12-16 13:24 ,9.8 ,2012-12-31 03:37 ,... ,0.5 ,6 ,5.9 ,12 ,2012-12-30 14:39 ,69.0 ,... ,10 ,... , ,... , ,29.0 ,2012-12-05 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
