,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,998.6 ,... ,1011.4 ,2016-01-24 20:01 ,987.7 ,2016-01-17 15:03 ,16.4 ,26.5 ,2016-01-05 10:51 ,3.2 ,2016-01-25 05:41 ,... ,0.8 ,25 ,13.4 ,1 ,2016-01-24 03:47 ,196.0 ,... ,15 ,... , ,... , ,34.0 ,2016-01-11 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
1,02,999.9 ,... ,1007.2 ,2016-02-25 10:05 ,991.6 ,2016-02-13 14:01 ,15.9 ,31.9 ,2016-02-13 14:23 ,7.2 ,2016-02-07 04:55 ,... ,0.9 ,29 ,8.7 ,1 ,2016-02-06 15:25 ,13.5 ,... ,7 ,... , ,... , ,7.0 ,2016-02-11 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
2,03,996.8 ,... ,1004.7 ,2016-03-28 09:51 ,989.7 ,2016-03-08 15:25 ,18.0 ,29.3 ,2016-03-18 13:11 ,9.3 ,2016-03-26 03:12 ,... ,0.8 ,29 ,6.4 ,53 ,2016-03-10 15:07 ,213.0 ,... ,16 ,... , ,... , ,47.5 ,2016-03-10 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
3,04,992.2 ,... ,999.3 ,2016-04-19 09:20 ,983.6 ,2016-04-13 14:52 ,24.9 ,33.7 ,2016-04-21 13:01 ,16.4 ,2016-04-19 05:43 ,... ,0.7 ,245 ,8.1 ,161 ,2016-04-10 19:02 ,206.5 ,... ,11 ,... , ,... , ,49.0 ,2016-04-24 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
4,05,990.5 ,... ,995.3 ,2016-05-14 08:51 ,985.3 ,2016-05-24 16:11 ,27.7 ,35.8 ,2016-05-28 13:51 ,19.1 ,2016-05-17 03:57 ,... ,0.8 ,36 ,6.8 ,6 ,2016-05-16 11:58 ,141.5 ,... ,10 ,... , ,... , ,36.5 ,2016-05-11 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
5,06,989.5 ,... ,995.9 ,2016-06-29 22:02 ,985.0 ,2016-06-01 16:14 ,29.3 ,36.7 ,2016-06-01 16:14 ,24.0 ,2016-06-07 08:31 ,... ,0.8 ,50 ,6.9 ,268 ,2016-06-16 11:47 ,320.5 ,... ,16 ,... , ,... , ,73.0 ,2016-06-11 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
6,07,988.1 ,... ,994.4 ,2016-07-21 09:43 ,967.5 ,2016-07-08 10:27 ,30.0 ,37.3 ,2016-07-29 12:11 ,24.0 ,2016-07-19 18:07 ,... ,0.8 ,255 ,7.1 ,253 ,2016-07-09 13:37 ,147.0 ,... ,10 ,... , ,... , ,78.0 ,2016-07-19 00:00 ,71 ,... ,... ,... ,... ,... , ,... 
7,08,985.1 ,... ,991.9 ,2016-08-03 21:41 ,980.4 ,2016-08-01 05:42 ,29.1 ,36.5 ,2016-08-01 10:52 ,24.3 ,2016-08-18 04:23 ,... ,0.8 ,6 ,7.9 ,320 ,2016-08-06 14:08 ,346.0 ,... ,11 ,... , ,... , ,70.5 ,2016-08-02 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
8,09,987.1 ,... ,995.0 ,2016-09-22 09:21 ,941.1 ,2016-09-27 14:53 ,28.0 ,36.0 ,2016-09-05 13:41 ,23.7 ,2016-09-18 03:43 ,... ,0.9 ,7 ,26.4 ,39 ,2016-09-27 15:04 ,229.5 ,... ,15 ,... , ,... , ,55.0 ,2016-09-09 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
9,10,991.6 ,... ,1000.3 ,2016-10-31 07:01 ,982.3 ,2016-10-20 13:45 ,27.5 ,34.8 ,2016-10-20 14:53 ,21.3 ,2016-10-31 06:55 ,... ,0.8 ,14 ,6.4 ,326 ,2016-10-29 16:31 ,17.5 ,... ,6 ,... , ,... , ,8.0 ,2016-10-21 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
10,11,996.5 ,... ,1002.0 ,2016-11-29 10:34 ,991.8 ,2016-11-05 13:46 ,23.1 ,32.3 ,2016-11-19 11:11 ,17.3 ,2016-11-24 05:41 ,... ,0.9 ,26 ,7.0 ,311 ,2016-11-29 09:04 ,79.0 ,... ,7 ,... , ,... , ,49.0 ,2016-11-23 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
11,12,997.7 ,... ,1003.4 ,2016-12-17 08:51 ,991.1 ,2016-12-09 14:12 ,20.0 ,30.5 ,2016-12-21 13:33 ,12.6 ,2016-12-28 09:01 ,... ,1.0 ,27 ,11.5 ,341 ,2016-12-27 09:21 ,10.0 ,... ,2 ,... , ,... , ,9.5 ,2016-12-28 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
