,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1014.6 ,... ,1022.0 ,2012-01-04 09:03 ,1004.1 ,2012-01-15 15:18 ,15.4 ,23.3 ,2012-01-19 11:16 ,9.8 ,2012-01-04 18:31 ,... ,3.9 ,36 ,22.8 ,41 ,2012-01-23 03:48 ,49.5 ,... ,8 ,... , ,... , ,12.5 ,2012-01-06 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
1,02,1013.0 ,... ,1019.6 ,2012-02-19 09:19 ,1004.8 ,2012-02-06 15:31 ,14.3 ,27.7 ,2012-02-23 10:17 ,9.1 ,2012-02-08 20:54 ,... ,3.6 ,33 ,26.3 ,45 ,2012-02-02 13:09 ,86.0 ,... ,8 ,... , ,... , ,25.5 ,2012-02-24 00:00 ,91 ,... ,... ,... ,... ,... , ,... 
2,03,1012.3 ,... ,1020.0 ,2012-03-27 10:03 ,1005.0 ,2012-03-06 15:32 ,17.9 ,31.1 ,2012-03-23 10:47 ,10.0 ,2012-03-10 06:09 ,... ,3.2 ,36 ,21.9 ,38 ,2012-03-24 02:02 ,13.0 ,... ,7 ,... , ,... , ,4.0 ,2012-03-31 00:00 ,86 ,... ,... ,... ,... ,... , ,... 
3,04,1008.8 ,... ,1016.2 ,2012-04-01 09:32 ,1002.7 ,2012-04-24 14:01 ,24.7 ,33.7 ,2012-04-24 12:01 ,16.2 ,2012-04-01 06:17 ,... ,2.1 ,27 ,20.4 ,35 ,2012-04-26 05:13 ,184.5 ,... ,15 ,... , ,... , ,36.5 ,2012-04-28 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
4,05,1005.2 ,... ,1009.3 ,2012-05-06 09:16 ,1001.1 ,2012-05-20 02:50 ,26.8 ,33.5 ,2012-05-09 12:01 ,20.8 ,2012-05-06 05:04 ,... ,2.3 ,26 ,16.3 ,51 ,2012-05-31 14:49 ,119.0 ,... ,12 ,... , ,... , ,41.0 ,2012-05-18 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
5,06,1000.9 ,... ,1008.4 ,2012-06-30 22:43 ,988.0 ,2012-06-20 17:43 ,28.2 ,35.0 ,2012-06-27 10:01 ,23.0 ,2012-06-21 00:02 ,... ,2.2 ,26 ,23.3 ,209 ,2012-06-20 17:58 ,236.5 ,... ,13 ,... , ,... , ,64.0 ,2012-06-20 00:00 ,87 ,... ,... ,... ,... ,... , ,... 
6,07,1002.6 ,... ,1009.0 ,2012-07-01 22:16 ,986.1 ,2012-07-31 14:50 ,30.2 ,35.6 ,2012-07-20 12:51 ,25.8 ,2012-07-31 03:01 ,... ,2.0 ,203 ,23.7 ,51 ,2012-07-31 15:06 ,43.0 ,... ,7 ,... , ,... , ,18.0 ,2012-07-21 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
7,08,999.4 ,... ,1007.7 ,2012-08-17 22:39 ,981.7 ,2012-08-02 02:18 ,29.1 ,35.0 ,2012-08-16 11:49 ,24.3 ,2012-08-10 06:19 ,... ,2.4 ,23 ,26.2 ,328 ,2012-08-02 09:05 ,518.0 ,... ,11 ,... , ,... , ,396.0 ,2012-08-02 00:00 ,88 ,... ,... ,... ,... ,... , ,... 
8,09,1005.8 ,... ,1011.0 ,2012-09-06 08:36 ,997.9 ,2012-09-28 02:52 ,27.4 ,33.5 ,2012-09-12 10:06 ,20.5 ,2012-09-30 23:53 ,... ,3.0 ,32 ,27.6 ,48 ,2012-09-28 09:42 ,2.5 ,... ,2 ,... , ,... , ,1.5 ,2012-09-02 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
9,10,1009.5 ,... ,1015.7 ,2012-10-20 09:17 ,1003.5 ,2012-10-03 14:34 ,23.9 ,29.8 ,2012-10-28 13:31 ,18.7 ,2012-10-19 01:12 ,... ,3.7 ,34 ,20.4 ,25 ,2012-10-17 11:34 ,1.0 ,... ,1 ,... , ,... , ,1.0 ,2012-10-31 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
10,11,1011.3 ,... ,1015.8 ,2012-11-16 09:31 ,1006.0 ,2012-11-22 14:08 ,21.8 ,32.0 ,2012-11-10 14:19 ,14.3 ,2012-11-26 21:18 ,... ,2.8 ,34 ,19.2 ,38 ,2012-11-26 20:35 ,127.5 ,... ,9 ,... , ,... , ,36.5 ,2012-11-29 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
11,12,1013.9 ,... ,1021.5 ,2012-12-23 10:16 ,1008.5 ,2012-12-02 13:46 ,18.1 ,28.7 ,2012-12-15 12:32 ,8.4 ,2012-12-30 23:47 ,... ,3.7 ,33 ,26.3 ,41 ,2012-12-23 07:10 ,44.5 ,... ,10 ,... , ,... , ,13.5 ,2012-12-05 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
