,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1000.1 ,... ,1007.3 ,2012-01-04 09:18 ,989.7 ,2012-01-15 15:35 ,15.3 ,25.8 ,2012-01-09 13:33 ,8.5 ,2012-01-04 15:27 ,... ,2.1 ,3 ,16.0 ,18 ,2012-01-25 06:12 ,66.0 ,... ,8 ,... , ,... , ,16.5 ,2012-01-16 00:00 ,91 ,... ,... ,... ,... ,... , ,... 
1,02,998.5 ,... ,1004.8 ,2012-02-19 09:46 ,990.3 ,2012-02-06 15:17 ,15.0 ,28.2 ,2012-02-13 16:02 ,8.8 ,2012-02-08 18:39 ,... ,1.9 ,1 ,17.3 ,34 ,2012-02-07 16:47 ,137.0 ,... ,10 ,... , ,... , ,46.5 ,2012-02-24 00:00 ,95 ,... ,... ,... ,... ,... , ,... 
2,03,997.9 ,... ,1005.0 ,2012-03-27 10:08 ,990.6 ,2012-03-06 15:50 ,18.1 ,31.1 ,2012-03-23 11:33 ,9.7 ,2012-03-10 06:46 ,... ,1.5 ,8 ,19.4 ,17 ,2012-03-24 03:50 ,30.5 ,... ,8 ,... , ,... , ,7.5 ,2012-03-11 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
3,04,994.4 ,... ,1001.6 ,2012-04-01 10:04 ,988.6 ,2012-04-24 14:59 ,23.7 ,32.5 ,2012-04-24 12:33 ,14.9 ,2012-04-01 00:50 ,... ,1.2 ,113 ,23.9 ,34 ,2012-04-26 05:05 ,211.5 ,... ,19 ,... , ,... , ,39.5 ,2012-04-26 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
4,05,990.8 ,... ,995.2 ,2012-05-18 21:19 ,987.2 ,2012-05-20 02:51 ,25.7 ,33.1 ,2012-05-09 12:17 ,19.7 ,2012-05-06 04:41 ,... ,1.5 ,126 ,13.1 ,3 ,2012-05-31 13:27 ,171.0 ,... ,14 ,... , ,... , ,39.5 ,2012-05-18 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
5,06,986.7 ,... ,994.0 ,2012-06-30 22:47 ,977.4 ,2012-06-20 17:18 ,27.3 ,33.8 ,2012-06-24 13:16 ,22.3 ,2012-06-01 05:12 ,... ,1.8 ,331 ,16.8 ,158 ,2012-06-20 20:19 ,331.5 ,... ,16 ,... , ,... , ,90.0 ,2012-06-12 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
6,07,988.3 ,... ,994.6 ,2012-07-01 21:27 ,972.2 ,2012-07-31 16:21 ,29.0 ,35.0 ,2012-07-03 13:38 ,24.2 ,2012-07-21 18:42 ,... ,2.0 ,86 ,22.3 ,11 ,2012-07-31 20:03 ,111.0 ,... ,10 ,... , ,... , ,70.0 ,2012-07-26 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
7,08,985.6 ,... ,994.0 ,2012-08-17 22:17 ,967.0 ,2012-08-02 02:14 ,27.4 ,34.5 ,2012-08-24 13:16 ,22.8 ,2012-08-16 22:42 ,... ,2.1 ,113 ,26.2 ,3 ,2012-08-01 22:29 ,592.5 ,... ,13 ,... , ,... , ,442.5 ,2012-08-02 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
8,09,992.4 ,... ,997.4 ,2012-09-06 08:36 ,983.9 ,2012-09-28 03:40 ,25.8 ,33.1 ,2012-09-10 11:19 ,18.2 ,2012-09-30 22:20 ,... ,2.1 ,6 ,24.0 ,10 ,2012-09-28 03:40 ,120.0 ,... ,4 ,... , ,... , ,64.5 ,2012-09-02 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
9,10,996.2 ,... ,1002.2 ,2012-10-20 09:37 ,990.5 ,2012-10-03 15:04 ,22.7 ,31.1 ,2012-10-28 12:01 ,16.2 ,2012-10-18 23:01 ,... ,2.3 ,2 ,19.6 ,19 ,2012-10-17 17:33 ,2.5 ,... ,1 ,... , ,... , ,2.5 ,2012-10-31 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
10,11,998.0 ,... ,1002.2 ,2012-11-16 09:53 ,992.8 ,2012-11-22 13:22 ,20.6 ,30.5 ,2012-11-10 11:32 ,12.5 ,2012-11-26 23:19 ,... ,1.5 ,1 ,17.7 ,10 ,2012-11-26 17:04 ,194.5 ,... ,9 ,... , ,... , ,58.0 ,2012-11-29 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
11,12,999.6 ,... ,1005.7 ,2012-12-23 10:16 ,994.2 ,2012-12-29 13:48 ,16.9 ,27.5 ,2012-12-15 14:18 ,6.7 ,2012-12-30 22:16 ,... ,1.8 ,1 ,22.5 ,17 ,2012-12-30 14:31 ,44.5 ,... ,9 ,... , ,... , ,18.5 ,2012-12-05 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
