,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1000.7 ,... ,1008.0 ,2013-01-18 08:55 ,993.5 ,2013-01-13 12:31 ,15.3 ,24.1 ,2013-01-21 13:38 ,8.0 ,2013-01-01 00:17 ,... ,2.4 ,351 ,20.7 ,3 ,2013-01-17 16:57 ,0.0 ,... ,0 ,... , ,... , ,0.0 ,2013-01-16 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
1,02,999.6 ,... ,1005.2 ,2013-02-23 09:29 ,993.9 ,2013-02-28 15:20 ,17.4 ,26.1 ,2013-02-05 12:51 ,12.2 ,2013-02-20 06:01 ,... ,1.9 ,5 ,13.8 ,9 ,2013-02-08 11:03 ,0.5 ,... ,1 ,... , ,... , ,0.5 ,2013-02-03 00:00 ,88 ,... ,... ,... ,... ,... , ,... 
2,03,997.4 ,... ,1005.1 ,2013-03-05 10:05 ,989.1 ,2013-03-24 03:11 ,19.3 ,28.6 ,2013-03-01 14:31 ,10.3 ,2013-03-03 16:51 ,... ,1.6 ,117 ,17.9 ,17 ,2013-03-14 11:18 ,45.5 ,... ,9 ,... , ,... , ,19.0 ,2013-03-28 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
3,04,994.6 ,... ,1000.1 ,2013-04-09 23:02 ,984.7 ,2013-04-06 00:48 ,20.8 ,29.5 ,2013-04-30 12:05 ,12.9 ,2013-04-07 06:01 ,... ,1.3 ,1 ,19.5 ,17 ,2013-04-07 03:31 ,188.0 ,... ,18 ,... , ,... , ,42.5 ,2013-04-05 00:00 ,90 ,... ,... ,... ,... ,... , ,... 
4,05,992.0 ,... ,998.2 ,2013-05-05 09:02 ,987.0 ,2013-05-19 15:33 ,25.3 ,33.5 ,2013-05-30 14:06 ,15.5 ,2013-05-01 18:40 ,... ,1.4 ,114 ,10.4 ,238 ,2013-05-22 12:53 ,323.5 ,... ,15 ,... , ,... , ,86.5 ,2013-05-11 00:00 ,88 ,... ,... ,... ,... ,... , ,... 
5,06,989.5 ,... ,995.8 ,2013-06-05 11:44 ,983.8 ,2013-06-09 15:33 ,27.9 ,35.7 ,2013-06-21 10:19 ,22.8 ,2013-06-06 04:46 ,... ,1.9 ,3 ,16.0 ,261 ,2013-06-24 15:07 ,66.0 ,... ,9 ,... , ,... , ,18.5 ,2013-06-11 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
6,07,990.8 ,... ,995.5 ,2013-07-08 06:16 ,963.5 ,2013-07-13 06:00 ,27.9 ,36.5 ,2013-07-02 10:16 ,22.5 ,2013-07-13 15:41 ,... ,2.2 ,112 ,27.4 ,5 ,2013-07-13 01:12 ,478.5 ,... ,14 ,... , ,... , ,384.5 ,2013-07-13 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
7,08,988.5 ,... ,997.3 ,2013-08-03 10:46 ,968.9 ,2013-08-21 17:16 ,27.5 ,34.1 ,2013-08-09 11:49 ,22.3 ,2013-08-30 05:20 ,... ,1.8 ,114 ,15.8 ,310 ,2013-08-21 13:38 ,716.5 ,... ,10 ,... , ,... , ,186.0 ,2013-08-29 00:00 ,87 ,... ,... ,... ,... ,... , ,... 
8,09,990.4 ,... ,996.6 ,2013-09-08 09:20 ,970.2 ,2013-09-21 14:31 ,26.5 ,35.4 ,2013-09-19 14:46 ,19.8 ,2013-09-02 02:01 ,... ,1.9 ,3 ,23.2 ,12 ,2013-09-20 15:25 ,37.5 ,... ,5 ,... , ,... , ,26.5 ,2013-09-01 00:00 ,86 ,... ,... ,... ,... ,... , ,... 
9,10,994.1 ,... ,1001.8 ,2013-10-28 08:43 ,982.5 ,2013-10-07 03:02 ,23.1 ,32.6 ,2013-10-14 13:05 ,14.7 ,2013-10-26 23:46 ,... ,3.3 ,4 ,23.6 ,34 ,2013-10-24 18:54 ,15.0 ,... ,2 ,... , ,... , ,9.5 ,2013-10-06 00:00 ,73 ,... ,... ,... ,... ,... , ,... 
10,11,998.3 ,... ,1005.7 ,2013-11-29 07:18 ,992.9 ,2013-11-01 13:34 ,20.2 ,30.9 ,2013-11-01 11:46 ,7.9 ,2013-11-29 22:38 ,... ,2.0 ,1 ,19.6 ,18 ,2013-11-28 07:07 ,18.0 ,... ,4 ,... , ,... , ,13.0 ,2013-11-25 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
11,12,999.1 ,... ,1005.5 ,2013-12-22 08:46 ,990.6 ,2013-12-17 13:34 ,15.4 ,28.9 ,2013-12-07 14:33 ,6.5 ,2013-12-28 06:46 ,... ,2.6 ,1 ,21.7 ,0 ,2013-12-27 00:42 ,92.5 ,... ,12 ,... , ,... , ,40.5 ,2013-12-17 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
