,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1017.0 ,... ,1024.8 ,2017-01-22 09:33 ,1008.0 ,2017-01-08 15:08 ,17.8 ,26.9 ,2017-01-29 15:41 ,12.2 ,2017-01-20 19:23 ,... ,3.4 ,41 ,17.2 ,43 ,2017-01-20 12:57 ,1.0 ,... ,2 ,... , ,... , ,0.5 ,2017-01-14 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
1,02,1017.5 ,... ,1027.5 ,2017-02-14 10:13 ,1008.9 ,2017-02-05 17:54 ,16.6 ,27.1 ,2017-02-20 11:47 ,10.2 ,2017-02-10 04:52 ,... ,3.5 ,44 ,18.3 ,40 ,2017-02-23 19:30 ,18.5 ,... ,4 ,... , ,... , ,10.0 ,2017-02-22 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
2,03,1014.1 ,... ,1022.6 ,2017-03-27 09:25 ,1006.5 ,2017-03-13 14:59 ,18.9 ,27.7 ,2017-03-29 13:11 ,11.8 ,2017-03-03 03:12 ,... ,3.1 ,44 ,20.2 ,56 ,2017-03-31 23:14 ,36.5 ,... ,8 ,... , ,... , ,9.0 ,2017-03-26 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
3,04,1010.9 ,... ,1020.9 ,2017-04-02 09:23 ,1002.6 ,2017-04-10 16:03 ,22.9 ,31.8 ,2017-04-10 12:44 ,13.3 ,2017-04-01 04:51 ,... ,2.6 ,42 ,16.8 ,32 ,2017-04-01 02:02 ,64.5 ,... ,8 ,... , ,... , ,15.5 ,2017-04-11 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
4,05,1008.0 ,... ,1014.7 ,2017-05-06 10:17 ,1001.8 ,2017-05-31 16:35 ,26.1 ,31.4 ,2017-05-14 12:02 ,19.9 ,2017-05-01 05:11 ,... ,2.2 ,1 ,12.9 ,58 ,2017-05-25 19:44 ,65.0 ,... ,9 ,... , ,... , ,20.0 ,2017-05-16 00:00 ,88 ,... ,... ,... ,... ,... , ,... 
5,06,1006.0 ,... ,1010.3 ,2017-06-08 09:06 ,999.9 ,2017-06-02 02:23 ,28.1 ,34.7 ,2017-06-13 11:12 ,23.0 ,2017-06-15 09:57 ,... ,2.8 ,287 ,16.2 ,247 ,2017-06-02 10:48 ,553.5 ,... ,14 ,... , ,... , ,127.5 ,2017-06-14 00:00 ,92 ,... ,... ,... ,... ,... , ,... 
6,07,1005.6 ,... ,1011.9 ,2017-07-07 22:22 ,987.2 ,2017-07-29 21:07 ,29.4 ,34.0 ,2017-07-23 17:01 ,23.5 ,2017-07-31 04:47 ,... ,2.3 ,1 ,19.6 ,173 ,2017-07-31 03:47 ,233.5 ,... ,8 ,... , ,... , ,103.5 ,2017-07-31 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
7,08,1004.8 ,... ,1012.1 ,2017-08-27 22:55 ,991.7 ,2017-08-22 03:01 ,29.8 ,34.6 ,2017-08-21 12:17 ,24.4 ,2017-08-27 19:42 ,... ,2.4 ,169 ,13.8 ,56 ,2017-08-21 15:10 ,85.5 ,... ,7 ,... , ,... , ,41.5 ,2017-08-27 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
8,09,1007.1 ,... ,1012.4 ,2017-09-29 20:28 ,999.2 ,2017-09-01 13:24 ,29.3 ,33.9 ,2017-09-27 11:11 ,24.8 ,2017-09-18 05:52 ,... ,1.8 ,3 ,16.7 ,42 ,2017-09-13 16:22 ,26.5 ,... ,2 ,... , ,... , ,20.0 ,2017-09-03 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
9,10,1009.1 ,... ,1019.3 ,2017-10-30 08:44 ,997.1 ,2017-10-14 03:43 ,26.1 ,34.8 ,2017-10-08 12:51 ,18.1 ,2017-10-31 02:21 ,... ,3.5 ,42 ,21.5 ,53 ,2017-10-13 19:14 ,42.5 ,... ,3 ,... , ,... , ,20.0 ,2017-10-15 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
10,11,1013.5 ,... ,1020.7 ,2017-11-24 08:54 ,1006.7 ,2017-11-17 14:42 ,22.5 ,28.9 ,2017-11-16 11:21 ,16.9 ,2017-11-23 19:03 ,... ,3.5 ,40 ,21.1 ,49 ,2017-11-04 12:36 ,6.5 ,... ,5 ,... , ,... , ,3.0 ,2017-11-13 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
11,12,1017.0 ,... ,1024.8 ,2017-12-20 09:32 ,1010.9 ,2017-12-03 15:01 ,18.0 ,24.7 ,2017-12-30 11:33 ,12.1 ,2017-12-10 05:51 ,... ,3.9 ,38 ,21.4 ,53 ,2017-12-16 17:00 ,4.0 ,... ,4 ,... , ,... , ,2.0 ,2017-12-07 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
