,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1005.3 ,... ,1012.6 ,2017-01-22 09:08 ,996.9 ,2017-01-08 15:25 ,18.1 ,27.0 ,2017-01-29 15:41 ,11.9 ,2017-01-21 06:12 ,... ,1.8 ,314 ,11.2 ,5 ,2017-01-20 12:33 ,2.0 ,... ,2 ,... , ,... , ,1.0 ,2017-01-14 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
1,02,1005.5 ,... ,1015.4 ,2017-02-14 10:12 ,997.2 ,2017-02-05 17:36 ,16.9 ,28.1 ,2017-02-20 12:22 ,9.5 ,2017-02-10 04:49 ,... ,1.9 ,316 ,12.4 ,355 ,2017-02-24 11:04 ,20.5 ,... ,5 ,... , ,... , ,11.0 ,2017-02-22 00:00 ,73 ,... ,... ,... ,... ,... , ,... 
2,03,1002.5 ,... ,1011.0 ,2017-03-27 10:01 ,995.4 ,2017-03-13 15:12 ,19.3 ,29.7 ,2017-03-24 13:54 ,11.5 ,2017-03-03 05:32 ,... ,1.7 ,323 ,12.5 ,349 ,2017-03-23 15:42 ,48.0 ,... ,8 ,... , ,... , ,12.5 ,2017-03-26 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
3,04,999.7 ,... ,1009.3 ,2017-04-03 10:21 ,992.3 ,2017-04-10 16:06 ,23.3 ,33.5 ,2017-04-10 14:22 ,13.1 ,2017-04-01 04:39 ,... ,1.5 ,208 ,10.7 ,9 ,2017-04-01 09:42 ,76.0 ,... ,9 ,... , ,... , ,21.0 ,2017-04-11 00:00 ,72 ,... ,... ,... ,... ,... , ,... 
4,05,997.0 ,... ,1003.7 ,2017-05-06 10:02 ,991.2 ,2017-05-31 16:39 ,26.8 ,33.9 ,2017-05-14 13:21 ,20.4 ,2017-05-16 20:37 ,... ,1.5 ,206 ,9.3 ,334 ,2017-05-17 15:20 ,90.5 ,... ,7 ,... , ,... , ,34.0 ,2017-05-30 00:00 ,74 ,... ,... ,... ,... ,... , ,... 
5,06,995.3 ,... ,999.4 ,2017-06-07 09:43 ,988.9 ,2017-06-02 14:25 ,28.3 ,35.8 ,2017-06-13 14:41 ,23.0 ,2017-06-15 08:44 ,... ,1.4 ,160 ,12.2 ,131 ,2017-06-12 17:19 ,737.5 ,... ,16 ,... , ,... , ,143.0 ,2017-06-14 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
6,07,995.2 ,... ,1001.2 ,2017-07-07 22:12 ,975.8 ,2017-07-29 21:02 ,29.2 ,35.0 ,2017-07-07 12:32 ,23.3 ,2017-07-31 04:35 ,... ,1.5 ,300 ,16.0 ,198 ,2017-07-29 23:53 ,378.0 ,... ,11 ,... , ,... , ,145.0 ,2017-07-31 00:00 ,74 ,... ,... ,... ,... ,... , ,... 
7,08,994.5 ,... ,1001.2 ,2017-08-27 22:52 ,981.6 ,2017-08-22 02:58 ,29.8 ,35.7 ,2017-08-07 13:37 ,23.9 ,2017-08-27 19:42 ,... ,1.5 ,173 ,10.9 ,220 ,2017-08-08 16:20 ,85.5 ,... ,7 ,... , ,... , ,31.0 ,2017-08-27 00:00 ,73 ,... ,... ,... ,... ,... , ,... 
8,09,996.6 ,... ,1002.1 ,2017-09-30 10:41 ,988.6 ,2017-09-01 13:38 ,29.2 ,35.7 ,2017-09-27 13:21 ,25.2 ,2017-09-02 21:35 ,... ,1.4 ,302 ,11.5 ,328 ,2017-09-13 13:29 ,24.5 ,... ,4 ,... , ,... , ,12.0 ,2017-09-02 00:00 ,72 ,... ,... ,... ,... ,... , ,... 
9,10,998.1 ,... ,1007.5 ,2017-10-30 08:42 ,986.1 ,2017-10-14 03:45 ,26.0 ,36.3 ,2017-10-08 14:03 ,17.6 ,2017-10-31 02:42 ,... ,1.8 ,335 ,15.5 ,351 ,2017-10-21 12:16 ,60.5 ,... ,4 ,... , ,... , ,26.5 ,2017-10-15 00:00 ,71 ,... ,... ,... ,... ,... , ,... 
10,11,1001.8 ,... ,1008.7 ,2017-11-24 09:32 ,995.8 ,2017-11-17 14:41 ,22.4 ,31.2 ,2017-11-17 14:32 ,16.2 ,2017-11-23 19:11 ,... ,1.8 ,319 ,13.1 ,32 ,2017-11-23 09:49 ,8.5 ,... ,6 ,... , ,... , ,3.0 ,2017-11-12 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
11,12,1004.7 ,... ,1012.0 ,2017-12-20 09:27 ,999.1 ,2017-12-03 15:14 ,17.7 ,25.8 ,2017-12-30 12:11 ,12.3 ,2017-12-10 06:23 ,... ,1.8 ,322 ,14.1 ,350 ,2017-12-16 17:45 ,8.0 ,... ,4 ,... , ,... , ,4.0 ,2017-12-07 00:00 ,74 ,... ,... ,... ,... ,... , ,... 
