,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1009.7 ,... ,1017.4 ,2017-01-22 09:33 ,1000.7 ,2017-01-08 15:01 ,19.3 ,29.1 ,2017-01-28 14:31 ,13.0 ,2017-01-21 06:21 ,... ,1.0 ,18 ,8.5 ,32 ,2017-01-20 15:17 ,4.5 ,... ,2 ,... , ,... , ,3.0 ,2017-01-14 00:00 ,74 ,... ,... ,... ,... ,... , ,... 
1,02,1010.1 ,... ,1020.3 ,2017-02-14 09:13 ,1001.6 ,2017-02-05 16:21 ,18.1 ,29.2 ,2017-02-20 12:25 ,10.7 ,2017-02-10 04:51 ,... ,1.1 ,24 ,9.4 ,29 ,2017-02-09 14:37 ,19.0 ,... ,5 ,... , ,... , ,9.0 ,2017-02-26 00:00 ,69 ,... ,... ,... ,... ,... , ,... 
2,03,1007.0 ,... ,1015.6 ,2017-03-27 10:03 ,999.5 ,2017-03-13 15:22 ,20.4 ,30.2 ,2017-03-24 14:23 ,12.9 ,2017-03-03 03:41 ,... ,1.0 ,35 ,10.1 ,17 ,2017-03-31 18:25 ,42.5 ,... ,7 ,... , ,... , ,11.5 ,2017-03-06 00:00 ,72 ,... ,... ,... ,... ,... , ,... 
3,04,1004.0 ,... ,1013.9 ,2017-04-03 08:26 ,996.0 ,2017-04-10 16:13 ,23.9 ,33.5 ,2017-04-10 12:57 ,13.0 ,2017-04-02 05:01 ,... ,1.0 ,36 ,8.5 ,89 ,2017-04-10 12:25 ,86.5 ,... ,9 ,... , ,... , ,21.5 ,2017-04-11 00:00 ,70 ,... ,... ,... ,... ,... , ,... 
4,05,1001.2 ,... ,1008.0 ,2017-05-06 09:41 ,995.3 ,2017-05-31 16:12 ,27.4 ,34.0 ,2017-05-14 13:55 ,20.5 ,2017-05-01 04:21 ,... ,1.0 ,9 ,6.2 ,200 ,2017-05-24 12:02 ,120.5 ,... ,8 ,... , ,... , ,41.0 ,2017-05-30 00:00 ,73 ,... ,... ,... ,... ,... , ,... 
5,06,999.4 ,... ,1003.8 ,2017-06-08 09:31 ,993.2 ,2017-06-02 14:14 ,28.6 ,36.4 ,2017-06-13 14:32 ,23.1 ,2017-06-02 20:54 ,... ,1.2 ,98 ,12.6 ,236 ,2017-06-02 20:01 ,772.0 ,... ,17 ,... , ,... , ,155.0 ,2017-06-03 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
6,07,999.1 ,... ,1005.4 ,2017-07-07 22:11 ,980.3 ,2017-07-29 21:18 ,29.7 ,36.1 ,2017-07-18 11:46 ,23.4 ,2017-07-31 04:32 ,... ,1.2 ,254 ,13.7 ,245 ,2017-07-07 13:52 ,351.5 ,... ,13 ,... , ,... , ,119.5 ,2017-07-31 00:00 ,73 ,... ,... ,... ,... ,... , ,... 
7,08,998.3 ,... ,1005.4 ,2017-08-27 23:21 ,985.3 ,2017-08-22 03:02 ,30.3 ,36.9 ,2017-08-21 13:01 ,24.5 ,2017-08-27 19:42 ,... ,1.3 ,119 ,7.7 ,224 ,2017-08-08 14:58 ,114.0 ,... ,6 ,... , ,... , ,62.5 ,2017-08-27 00:00 ,73 ,... ,... ,... ,... ,... , ,... 
8,09,1000.4 ,... ,1006.1 ,2017-09-30 09:11 ,992.6 ,2017-09-01 13:21 ,30.1 ,36.7 ,2017-09-27 13:42 ,25.7 ,2017-09-02 16:19 ,... ,1.2 ,34 ,11.3 ,29 ,2017-09-13 16:29 ,33.0 ,... ,4 ,... , ,... , ,14.0 ,2017-09-02 00:00 ,71 ,... ,... ,... ,... ,... , ,... 
9,10,1002.1 ,... ,1011.8 ,2017-10-30 08:21 ,990.4 ,2017-10-13 17:51 ,27.1 ,38.2 ,2017-10-08 13:51 ,18.8 ,2017-10-31 05:52 ,... ,1.5 ,42 ,13.6 ,19 ,2017-10-21 13:48 ,55.5 ,... ,4 ,... , ,... , ,26.5 ,2017-10-15 00:00 ,68 ,... ,... ,... ,... ,... , ,... 
10,11,1006.1 ,... ,1013.2 ,2017-11-24 09:31 ,999.7 ,2017-11-17 14:15 ,23.6 ,31.7 ,2017-11-16 12:23 ,17.5 ,2017-11-23 19:31 ,... ,1.4 ,43 ,11.5 ,38 ,2017-11-18 13:10 ,13.5 ,... ,3 ,... , ,... , ,9.0 ,2017-11-12 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
11,12,1009.3 ,... ,1016.8 ,2017-12-20 09:22 ,1003.3 ,2017-12-03 15:25 ,18.9 ,27.1 ,2017-12-30 12:21 ,12.4 ,2017-12-10 05:14 ,... ,1.5 ,38 ,14.1 ,17 ,2017-12-08 15:14 ,7.0 ,... ,4 ,... , ,... , ,2.5 ,2017-12-07 00:00 ,71 ,... ,... ,... ,... ,... , ,... 
