,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,957.8 ,... ,964.2 ,2013-01-18 09:21 ,950.4 ,2013-01-13 14:05 ,14.6 ,25.0 ,2013-01-21 14:03 ,5.8 ,2013-01-18 06:17 ,... ,1.3 ,170 ,7.6 ,0 ,2013-01-17 15:38 ,15.5 ,... ,8 ,... , ,... , ,6.0 ,2013-01-13 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
1,02,957.0 ,... ,961.9 ,2013-02-01 09:46 ,951.5 ,2013-02-28 15:14 ,17.6 ,27.5 ,2013-02-17 14:22 ,10.0 ,2013-02-10 06:32 ,... ,1.3 ,4 ,8.3 ,279 ,2013-02-28 11:03 ,0.0 ,... ,0 ,... , ,... , ,0.0 ,2013-02-18 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
2,03,955.0 ,... ,962.2 ,2013-03-05 10:16 ,948.1 ,2013-03-24 03:07 ,18.6 ,28.2 ,2013-03-23 13:08 ,8.4 ,2013-03-03 03:05 ,... ,1.6 ,2 ,8.8 ,237 ,2013-03-23 12:41 ,70.5 ,... ,11 ,... , ,... , ,18.5 ,2013-03-28 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
3,04,952.4 ,... ,958.4 ,2013-04-12 10:16 ,943.1 ,2013-04-06 01:17 ,19.8 ,28.7 ,2013-04-30 12:47 ,9.9 ,2013-04-07 05:37 ,... ,1.4 ,1 ,10.6 ,341 ,2013-04-25 12:28 ,272.0 ,... ,20 ,... , ,... , ,92.5 ,2013-04-05 00:00 ,88 ,... ,... ,... ,... ,... , ,... 
4,05,950.8 ,... ,956.3 ,2013-05-05 09:06 ,945.8 ,2013-05-01 03:54 ,23.5 ,31.7 ,2013-05-27 15:09 ,16.8 ,2013-05-01 12:16 ,... ,1.4 ,182 ,11.3 ,206 ,2013-05-22 15:08 ,527.0 ,... ,19 ,... , ,... , ,95.0 ,2013-05-19 00:00 ,87 ,... ,... ,... ,... ,... , ,... 
5,06,948.8 ,... ,954.4 ,2013-06-05 10:20 ,942.8 ,2013-06-19 14:33 ,25.4 ,31.8 ,2013-06-28 10:20 ,21.0 ,2013-06-07 04:17 ,... ,1.2 ,170 ,9.2 ,271 ,2013-06-24 15:53 ,190.5 ,... ,13 ,... , ,... , ,53.5 ,2013-06-21 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
6,07,950.0 ,... ,955.0 ,2013-07-07 18:34 ,924.2 ,2013-07-13 05:28 ,25.1 ,31.9 ,2013-07-01 12:38 ,19.7 ,2013-07-17 04:46 ,... ,1.4 ,2 ,25.3 ,346 ,2013-07-13 01:04 ,983.5 ,... ,21 ,... , ,... , ,489.5 ,2013-07-13 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
7,08,947.7 ,... ,956.2 ,2013-08-03 10:31 ,928.8 ,2013-08-21 16:25 ,25.3 ,33.3 ,2013-08-09 14:01 ,20.3 ,2013-08-30 05:47 ,... ,1.3 ,176 ,17.8 ,201 ,2013-08-22 04:14 ,972.5 ,... ,15 ,... , ,... , ,223.0 ,2013-08-22 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
8,09,949.5 ,... ,955.3 ,2013-09-08 08:32 ,930.5 ,2013-09-21 14:16 ,24.6 ,32.5 ,2013-09-19 14:55 ,17.9 ,2013-09-02 04:31 ,... ,1.0 ,169 ,9.4 ,274 ,2013-09-13 14:28 ,46.5 ,... ,8 ,... , ,... , ,14.5 ,2013-09-01 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
9,10,952.7 ,... ,960.0 ,2013-10-17 09:47 ,942.1 ,2013-10-07 02:56 ,21.3 ,31.4 ,2013-10-07 14:03 ,11.7 ,2013-10-26 23:16 ,... ,1.2 ,9 ,9.2 ,351 ,2013-10-06 12:21 ,8.0 ,... ,1 ,... , ,... , ,8.0 ,2013-10-06 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
10,11,956.2 ,... ,962.2 ,2013-11-29 09:18 ,951.3 ,2013-11-25 14:22 ,19.1 ,29.8 ,2013-11-01 13:49 ,5.9 ,2013-11-29 05:46 ,... ,1.1 ,2 ,6.3 ,297 ,2013-11-24 22:54 ,20.0 ,... ,6 ,... , ,... , ,15.0 ,2013-11-25 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
11,12,956.2 ,... ,961.6 ,2013-12-22 08:48 ,948.1 ,2013-12-17 14:05 ,14.2 ,25.6 ,2013-12-14 11:09 ,4.0 ,2013-12-28 00:48 ,... ,1.3 ,180 ,9.9 ,17 ,2013-12-17 20:03 ,103.5 ,... ,12 ,... , ,... , ,59.5 ,2013-12-17 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
