,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,960.0 ,... ,967.5 ,2017-01-22 08:51 ,951.9 ,2017-01-08 15:06 ,16.2 ,26.9 ,2017-01-28 12:51 ,8.2 ,2017-01-22 01:11 ,... ,1.1 ,4 ,9.1 ,284 ,2017-01-26 14:40 ,8.0 ,... ,2 ,... , ,... , ,5.5 ,2017-01-14 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
1,02,960.0 ,... ,970.4 ,2017-02-14 09:23 ,952.2 ,2017-02-05 16:35 ,14.9 ,27.7 ,2017-02-21 13:47 ,5.2 ,2017-02-10 04:15 ,... ,1.3 ,1 ,8.1 ,272 ,2017-02-25 20:49 ,28.5 ,... ,6 ,... , ,... , ,11.0 ,2017-02-22 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
2,03,956.6 ,... ,964.8 ,2017-03-27 09:01 ,950.2 ,2017-03-13 15:12 ,17.3 ,28.9 ,2017-03-24 14:03 ,9.6 ,2017-03-02 22:13 ,... ,1.4 ,5 ,7.8 ,267 ,2017-03-05 11:05 ,70.5 ,... ,9 ,... , ,... , ,19.5 ,2017-03-26 00:00 ,86 ,... ,... ,... ,... ,... , ,... 
3,04,954.8 ,... ,963.4 ,2017-04-02 10:03 ,948.1 ,2017-04-21 14:51 ,20.2 ,30.3 ,2017-04-10 13:21 ,8.9 ,2017-04-02 04:36 ,... ,1.7 ,161 ,12.5 ,217 ,2017-04-21 20:47 ,153.5 ,... ,11 ,... , ,... , ,38.5 ,2017-04-11 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
4,05,951.3 ,... ,958.8 ,2017-05-06 09:01 ,942.3 ,2017-05-16 15:24 ,23.4 ,31.5 ,2017-05-14 13:12 ,16.9 ,2017-05-16 21:41 ,... ,1.4 ,1 ,17.1 ,225 ,2017-05-05 17:44 ,171.0 ,... ,11 ,... , ,... , ,34.0 ,2017-05-30 00:00 ,86 ,... ,... ,... ,... ,... , ,... 
5,06,949.4 ,... ,954.7 ,2017-06-08 09:14 ,939.9 ,2017-06-02 14:15 ,24.7 ,33.1 ,2017-06-13 14:05 ,19.8 ,2017-06-15 09:02 ,... ,2.2 ,360 ,17.1 ,228 ,2017-06-02 09:49 ,1019.5 ,... ,15 ,... , ,... , ,242.5 ,2017-06-03 00:00 ,88 ,... ,... ,... ,... ,... , ,... 
6,07,947.4 ,... ,956.4 ,2017-07-18 21:11 ,926.2 ,2017-07-29 21:18 ,25.3 ,32.4 ,2017-07-18 13:51 ,20.7 ,2017-07-19 18:37 ,... ,1.5 ,1 ,15.7 ,221 ,2017-07-01 15:23 ,576.5 ,... ,16 ,... , ,... , ,93.5 ,2017-07-30 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
7,08,945.7 ,... ,951.9 ,2017-08-27 23:01 ,933.4 ,2017-08-22 03:11 ,26.1 ,33.5 ,2017-08-21 14:31 ,20.9 ,2017-08-28 04:41 ,... ,1.6 ,5 ,9.1 ,12 ,2017-08-23 13:00 ,122.5 ,... ,9 ,... , ,... , ,66.5 ,2017-08-03 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
8,09,947.9 ,... ,952.9 ,2017-09-30 21:58 ,940.0 ,2017-09-01 14:41 ,26.0 ,34.7 ,2017-09-27 12:52 ,21.1 ,2017-09-14 03:26 ,... ,1.4 ,1 ,8.6 ,32 ,2017-09-13 13:23 ,83.5 ,... ,6 ,... , ,... , ,37.5 ,2017-09-03 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
9,10,950.6 ,... ,962.1 ,2017-10-30 09:12 ,937.8 ,2017-10-14 03:34 ,23.1 ,38.5 ,2017-10-08 13:48 ,12.5 ,2017-10-30 23:41 ,... ,X ,X ,10.9 ,353 ,2017-10-08 13:14 ,54.0 ,... ,4 ,... , ,... , ,29.5 ,2017-10-15 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
10,11,957.2 ,... ,963.9 ,2017-11-24 09:43 ,949.7 ,2017-11-02 15:01 ,20.8 ,32.1 ,2017-11-02 10:11 ,12.3 ,2017-11-23 19:01 ,... ,X ,X ,7.7 ,360 ,2017-11-18 12:51 ,0.0 ,... ,0 ,... , ,... , ,0.0 ,2017-11-21 00:00 ,86 ,... ,... ,... ,... ,... , ,... 
11,12,960.6 ,... ,967.8 ,2017-12-20 09:32 ,955.7 ,2017-12-03 15:01 ,15.3 ,26.3 ,2017-12-02 13:02 ,7.4 ,2017-12-21 00:11 ,... ,X ,X ,7.5 ,360 ,2017-12-07 06:13 ,0.0 ,... ,0 ,... , ,... , ,0.0 ,2017-12-27 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
