,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,686.9 ,... ,691.5 ,2017-01-01 10:06 ,682.4 ,2017-01-14 14:12 ,3.7 ,16.4 ,2017-01-29 13:12 ,-6.6 ,2017-01-26 06:10 ,... ,3.3 ,223 ,23.2 ,261 ,2017-01-21 01:21 ,33.5 ,... ,5 ,... , ,... , ,20.5 ,2017-01-13 00:00 ,61 ,... ,... ,... ,... ,... , ,... 
1,02,685.6 ,... ,691.1 ,2017-02-14 10:01 ,679.1 ,2017-02-10 03:23 ,2.3 ,15.7 ,2017-02-21 13:09 ,-7.1 ,2017-02-13 06:02 ,... ,3.3 ,219 ,29.2 ,223 ,2017-02-24 13:57 ,50.5 ,... ,7 ,... , ,... , ,15.0 ,2017-02-22 00:00 ,66 ,... ,... ,... ,... ,... , ,... 
2,03,685.3 ,... ,690.3 ,2017-03-30 09:08 ,679.6 ,2017-03-06 03:38 ,3.4 ,14.5 ,2017-03-30 13:24 ,-5.5 ,2017-03-26 19:04 ,... ,3.9 ,231 ,25.2 ,221 ,2017-03-10 13:53 ,278.0 ,... ,15 ,... , ,... , ,65.5 ,2017-03-26 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
3,04,686.1 ,... ,690.2 ,2017-04-16 09:49 ,681.0 ,2017-04-22 01:26 ,6.6 ,17.0 ,2017-04-05 12:14 ,-4.8 ,2017-04-02 05:08 ,... ,3.5 ,231 ,27.2 ,211 ,2017-04-11 03:10 ,287.5 ,... ,14 ,... , ,... , ,80.5 ,2017-04-22 00:00 ,74 ,... ,... ,... ,... ,... , ,... 
4,05,686.9 ,... ,692.0 ,2017-05-10 22:38 ,681.9 ,2017-05-16 17:45 ,8.3 ,18.6 ,2017-05-10 11:32 ,2.7 ,2017-05-18 01:51 ,... ,2.4 ,213 ,23.5 ,221 ,2017-05-13 17:21 ,309.0 ,... ,19 ,... , ,... , ,60.0 ,2017-05-16 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
5,06,687.3 ,... ,691.1 ,2017-06-06 22:20 ,680.6 ,2017-06-02 02:22 ,10.2 ,19.9 ,2017-06-11 14:16 ,5.8 ,2017-06-19 16:17 ,... ,3.2 ,221 ,29.7 ,226 ,2017-06-02 10:47 ,806.0 ,... ,22 ,... , ,... , ,211.0 ,2017-06-03 00:00 ,87 ,... ,... ,... ,... ,... , ,... 
6,07,688.1 ,... ,692.6 ,2017-07-18 08:54 ,663.2 ,2017-07-29 20:29 ,10.9 ,22.3 ,2017-07-28 12:53 ,5.9 ,2017-07-17 03:59 ,... ,2.5 ,206 ,28.2 ,218 ,2017-07-31 17:33 ,379.5 ,... ,12 ,... , ,... , ,220.0 ,2017-07-29 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
7,08,688.0 ,... ,691.3 ,2017-08-18 22:08 ,681.2 ,2017-08-22 03:45 ,11.4 ,21.6 ,2017-08-25 14:45 ,4.5 ,2017-08-18 21:02 ,... ,2.1 ,205 ,18.5 ,221 ,2017-08-22 06:48 ,98.0 ,... ,13 ,... , ,... , ,31.0 ,2017-08-27 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
8,09,689.1 ,... ,693.2 ,2017-09-30 09:58 ,684.2 ,2017-09-02 00:59 ,11.2 ,21.4 ,2017-09-06 13:09 ,5.4 ,2017-09-16 01:24 ,... ,1.9 ,186 ,16.4 ,211 ,2017-09-06 03:06 ,109.0 ,... ,12 ,... , ,... , ,21.0 ,2017-09-29 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
9,10,688.5 ,... ,692.8 ,2017-10-03 22:15 ,682.2 ,2017-10-22 02:33 ,9.7 ,20.9 ,2017-10-19 12:02 ,0.1 ,2017-10-29 23:44 ,... ,2.4 ,1 ,20.7 ,106 ,2017-10-13 20:03 ,273.0 ,... ,9 ,... , ,... , ,138.5 ,2017-10-13 00:00 ,64 ,... ,... ,... ,... ,... , ,... 
10,11,689.0 ,... ,692.5 ,2017-11-29 09:10 ,684.3 ,2017-11-18 04:10 ,7.1 ,16.2 ,2017-11-01 14:11 ,1.8 ,2017-11-23 08:19 ,... ,2.6 ,210 ,20.6 ,226 ,2017-11-18 04:15 ,212.5 ,... ,19 ,... , ,... , ,46.5 ,2017-11-12 00:00 ,88 ,... ,... ,... ,... ,... , ,... 
11,12,686.4 ,... ,691.3 ,2017-12-20 09:38 ,680.7 ,2017-12-09 14:14 ,3.2 ,14.7 ,2017-12-26 12:55 ,-4.1 ,2017-12-09 20:49 ,... ,2.9 ,205 ,21.6 ,209 ,2017-12-18 22:48 ,44.0 ,... ,11 ,... , ,... , ,9.5 ,2017-12-12 00:00 ,73 ,... ,... ,... ,... ,... , ,... 
