,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1013.8 ,... ,1021.2 ,2017-01-21 09:21 ,1005.2 ,2017-01-08 14:54 ,18.2 ,29.0 ,2017-01-29 15:52 ,10.2 ,2017-01-27 06:01 ,... ,1.8 ,1 ,10.7 ,10 ,2017-01-21 14:56 ,3.0 ,... ,2 ,... , ,... , ,2.5 ,2017-01-14 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
1,02,1014.1 ,... ,1023.7 ,2017-02-14 09:26 ,1005.5 ,2017-02-05 17:31 ,17.1 ,30.2 ,2017-02-20 12:45 ,9.3 ,2017-02-10 04:46 ,... ,1.9 ,2 ,12.9 ,41 ,2017-02-09 05:23 ,6.0 ,... ,5 ,... , ,... , ,2.0 ,2017-02-25 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
2,03,1011.1 ,... ,1019.4 ,2017-03-27 09:11 ,1004.3 ,2017-03-13 15:02 ,19.7 ,30.9 ,2017-03-31 12:27 ,10.2 ,2017-03-03 05:51 ,... ,1.8 ,2 ,13.5 ,360 ,2017-03-31 22:52 ,43.5 ,... ,7 ,... , ,... , ,14.5 ,2017-03-06 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
3,04,1008.4 ,... ,1017.8 ,2017-04-03 09:56 ,1001.1 ,2017-04-10 15:22 ,23.2 ,34.6 ,2017-04-21 13:01 ,9.9 ,2017-04-02 05:01 ,... ,1.2 ,1 ,10.5 ,5 ,2017-04-01 11:00 ,120.0 ,... ,8 ,... , ,... , ,40.5 ,2017-04-21 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
4,05,1005.6 ,... ,1012.2 ,2017-05-06 10:03 ,1000.2 ,2017-05-31 19:05 ,26.5 ,34.7 ,2017-05-12 12:41 ,18.7 ,2017-05-01 05:21 ,... ,0.9 ,1 ,8.8 ,7 ,2017-05-25 20:40 ,103.5 ,... ,8 ,... , ,... , ,53.5 ,2017-05-30 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
5,06,1004.6 ,... ,1008.7 ,2017-06-27 21:32 ,997.3 ,2017-06-03 18:18 ,28.2 ,36.4 ,2017-06-30 12:31 ,22.4 ,2017-06-15 07:34 ,... ,0.8 ,94 ,10.8 ,7 ,2017-06-03 18:23 ,1000.0 ,... ,12 ,... , ,... , ,264.0 ,2017-06-03 00:00 ,87 ,... ,... ,... ,... ,... , ,... 
6,07,1004.8 ,... ,1011.1 ,2017-07-18 20:54 ,987.3 ,2017-07-30 18:01 ,29.2 ,36.3 ,2017-07-25 12:14 ,22.7 ,2017-07-31 05:36 ,... ,0.9 ,1 ,11.7 ,360 ,2017-07-30 16:32 ,348.0 ,... ,12 ,... , ,... , ,120.0 ,2017-07-31 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
7,08,1004.1 ,... ,1011.2 ,2017-08-27 22:45 ,991.1 ,2017-08-22 02:51 ,29.5 ,36.7 ,2017-08-21 13:32 ,23.7 ,2017-08-28 04:54 ,... ,0.8 ,9 ,11.0 ,252 ,2017-08-08 11:25 ,70.5 ,... ,10 ,... , ,... , ,19.0 ,2017-08-24 00:00 ,88 ,... ,... ,... ,... ,... , ,... 
8,09,1006.3 ,... ,1011.6 ,2017-09-29 23:24 ,998.6 ,2017-09-01 13:05 ,29.2 ,37.0 ,2017-09-27 13:42 ,24.2 ,2017-09-11 05:51 ,... ,0.8 ,1 ,11.7 ,9 ,2017-09-13 14:35 ,22.0 ,... ,3 ,... , ,... , ,18.0 ,2017-09-02 00:00 ,87 ,... ,... ,... ,... ,... , ,... 
9,10,1007.9 ,... ,1017.4 ,2017-10-30 09:03 ,996.3 ,2017-10-13 17:59 ,26.0 ,37.0 ,2017-10-08 13:21 ,16.0 ,2017-10-31 06:07 ,... ,1.5 ,1 ,13.5 ,1 ,2017-10-21 14:34 ,65.5 ,... ,3 ,... , ,... , ,33.0 ,2017-10-15 00:00 ,86 ,... ,... ,... ,... ,... , ,... 
10,11,1011.8 ,... ,1018.5 ,2017-11-24 08:51 ,1005.5 ,2017-11-17 14:31 ,22.8 ,32.5 ,2017-11-17 14:24 ,16.3 ,2017-11-23 22:33 ,... ,1.6 ,4 ,10.9 ,4 ,2017-11-18 15:24 ,25.5 ,... ,6 ,... , ,... , ,15.0 ,2017-11-12 00:00 ,92 ,... ,... ,... ,... ,... , ,... 
11,12,1015.2 ,... ,1022.8 ,2017-12-20 09:11 ,1009.2 ,2017-12-03 14:59 ,18.0 ,26.9 ,2017-12-03 15:21 ,10.3 ,2017-12-22 06:22 ,... ,1.8 ,1 ,12.5 ,3 ,2017-12-16 15:17 ,8.0 ,... ,4 ,... , ,... , ,4.5 ,2017-12-07 00:00 ,87 ,... ,... ,... ,... ,... , ,... 
