,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,/ ,... ,/ , ,/ , ,11.2 ,/ , ,/ , ,... ,0.7 ,80 ,/ ,/ , ,59.5 ,... ,10 ,... , ,... , ,26.5 ,2010-01-03 00:00 ,/ ,... ,122.9 ,... ,... ,... , ,... 
1,02,/ ,... ,/ , ,/ , ,13.8 ,/ , ,/ , ,... ,1.1 ,70 ,/ ,/ , ,138.5 ,... ,9 ,... , ,... , ,60.5 ,2010-02-19 00:00 ,/ ,... ,92.7 ,... ,... ,... , ,... 
2,03,/ ,... ,/ , ,/ , ,14.4 ,/ , ,/ , ,... ,1.0 ,80 ,/ ,/ , ,28.0 ,... ,5 ,... , ,... , ,14.0 ,2010-03-09 00:00 ,/ ,... ,93.7 ,... ,... ,... , ,... 
3,04,/ ,... ,/ , ,/ , ,15.8 ,/ , ,/ , ,... ,0.8 ,80 ,/ ,/ , ,190.5 ,... ,19 ,... , ,... , ,36.5 ,2010-04-23 00:00 ,/ ,... ,57.2 ,... ,... ,... , ,... 
4,05,/ ,... ,/ , ,/ , ,18.2 ,/ , ,/ , ,... ,0.8 ,70 ,/ ,/ , ,406.5 ,... ,13 ,... , ,... , ,231.5 ,2010-05-23 00:00 ,/ ,... ,33.2 ,... ,... ,... , ,... 
5,06,/ ,... ,/ , ,/ , ,18.9 ,/ , ,/ , ,... ,0.8 ,80 ,/ ,/ , ,364.5 ,... ,23 ,... , ,... , ,62.0 ,2010-06-10 00:00 ,/ ,... ,23.9 ,... ,... ,... , ,... 
6,07,/ ,... ,/ , ,/ , ,19.4 ,/ , ,/ , ,... ,0.8 ,70 ,/ ,/ , ,492.5 ,... ,21 ,... , ,... , ,128.0 ,2010-07-27 00:00 ,/ ,... ,37.6 ,... ,... ,... , ,... 
7,08,/ ,... ,/ , ,/ , ,19.5 ,/ , ,/ , ,... ,0.8 ,80 ,/ ,/ , ,349.5 ,... ,21 ,... , ,... , ,66.0 ,2010-08-14 00:00 ,/ ,... ,82.5 ,... ,... ,... , ,... 
8,09,/ ,... ,/ , ,/ , ,18.8 ,/ , ,/ , ,... ,0.8 ,90 ,/ ,/ , ,380.0 ,... ,22 ,... , ,... , ,142.0 ,2010-09-19 00:00 ,/ ,... ,85.3 ,... ,... ,... , ,... 
9,10,/ ,... ,/ , ,/ , ,17.2 ,/ , ,/ , ,... ,0.7 ,80 ,/ ,/ , ,108.0 ,... ,18 ,... , ,... , ,16.0 ,2010-10-06 00:00 ,/ ,... ,87.1 ,... ,... ,... , ,... 
10,11,/ ,... ,/ , ,/ , ,14.0 ,/ , ,/ , ,... ,0.6 ,80 ,/ ,/ , ,85.0 ,... ,10 ,... , ,... , ,30.0 ,2010-11-13 00:00 ,/ ,... ,114.3 ,... ,... ,... , ,... 
11,12,/ ,... ,/ , ,/ , ,10.9 ,/ , ,/ , ,... ,0.8 ,90 ,/ ,/ , ,60.0 ,... ,5 ,... , ,... , ,53.0 ,2010-12-16 00:00 ,/ ,... ,143.6 ,... ,... ,... , ,... 
