,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
1,02,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
2,03,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
3,04,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
4,05,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
5,06,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
6,07,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
7,08,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
8,09,995.8 ,... ,1002.4 ,2015-09-30 20:51 ,964.6 ,2015-09-28 19:59 ,27.4 ,34.4 ,2015-09-15 13:32 ,22.2 ,2015-09-19 06:22 ,... ,2.0 ,136 ,33.6 ,30 ,2015-09-28 18:16 ,103.5 ,... ,4 ,... , ,... , ,42.5 ,2015-09-28 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
9,10,999.8 ,... ,1008.0 ,2015-10-31 09:02 ,989.5 ,2015-10-20 02:01 ,25.8 ,33.8 ,2015-10-04 12:32 ,19.2 ,2015-10-14 05:41 ,... ,1.6 ,36 ,9.3 ,18 ,2015-10-23 15:56 ,12.0 ,... ,4 ,... , ,... , ,10.5 ,2015-10-09 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
10,11,1003.2 ,... ,1010.3 ,2015-11-28 08:44 ,998.3 ,2015-11-25 14:22 ,23.9 ,33.4 ,2015-11-07 13:21 ,12.8 ,2015-11-28 05:42 ,... ,1.6 ,29 ,10.2 ,1 ,2015-11-25 17:52 ,1.0 ,... ,1 ,... , ,... , ,1.0 ,2015-11-21 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
11,12,1005.4 ,... ,1012.8 ,2015-12-29 08:51 ,997.3 ,2015-12-10 02:16 ,19.2 ,29.7 ,2015-12-24 13:41 ,10.5 ,2015-12-19 03:51 ,... ,1.8 ,1 ,13.5 ,360 ,2015-12-10 06:08 ,41.5 ,... ,3 ,... , ,... , ,38.0 ,2015-12-10 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
