,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,... ,... ,/ , ,/ , ,16.5 ,/ , ,/ , ,... ,3.8 ,10 ,/ ,/ , ,9.5 ,... ,2 ,... , ,... , ,7.5 ,2013-01-13 00:00 ,... ,... ,153.7 ,... ,... ,... , ,... 
1,02,... ,... ,/ , ,/ , ,18.7 ,/ , ,/ , ,... ,3.3 ,10 ,/ ,/ , ,8.5 ,... ,1 ,... , ,... , ,8.5 ,2013-02-03 00:00 ,... ,... ,154.4 ,... ,... ,... , ,... 
2,03,... ,... ,/ , ,/ , ,21.1 ,/ , ,/ , ,... ,2.5 ,10 ,/ ,/ , ,32.0 ,... ,6 ,... , ,... , ,14.0 ,2013-03-18 00:00 ,... ,... ,193.9 ,... ,... ,... , ,... 
3,04,... ,... ,/ , ,/ , ,22.5 ,/ , ,/ , ,... ,2.0 ,10 ,/ ,/ , ,130.5 ,... ,17 ,... , ,... , ,66.0 ,2013-04-05 00:00 ,... ,... ,80.6 ,... ,... ,... , ,... 
4,05,... ,... ,/ , ,/ , ,26.7 ,/ , ,/ , ,... ,2.0 ,170 ,/ ,/ , ,400.5 ,... ,12 ,... , ,... , ,91.5 ,2013-05-13 00:00 ,... ,... ,119.2 ,... ,... ,... , ,... 
5,06,... ,... ,/ , ,/ , ,28.9 ,/ , ,/ , ,... ,1.9 ,170 ,/ ,/ , ,147.0 ,... ,10 ,... , ,... , ,58.0 ,2013-06-25 00:00 ,... ,... ,152.0 ,... ,... ,... , ,... 
6,07,... ,... ,/ , ,/ , ,29.2 ,/ , ,/ , ,... ,1.7 ,170 ,/ ,/ , ,95.0 ,... ,9 ,... , ,... , ,62.5 ,2013-07-13 00:00 ,... ,... ,59.4 ,... ,... ,... , ,... 
7,08,... ,... ,/ , ,/ , ,27.6 ,/ , ,/ , ,... ,2.8 ,160 ,/ ,/ , ,724.5 ,... ,13 ,... , ,... , ,180.0 ,2013-08-30 00:00 ,... ,... ,73.7 ,... ,... ,... , ,... 
8,09,... ,... ,/ , ,/ , ,27.5 ,/ , ,/ , ,... ,1.9 ,10 ,/ ,/ , ,27.5 ,... ,5 ,... , ,... , ,22.0 ,2013-09-01 00:00 ,... ,... ,207.5 ,... ,... ,... , ,... 
9,10,... ,... ,/ , ,/ , ,24.3 ,/ , ,/ , ,... ,3.2 ,10 ,/ ,/ , ,0.0 ,... ,0 ,... , ,... , ,0.0 ,2013-10-20 00:00 ,... ,... ,251.4 ,... ,... ,... , ,... 
10,11,... ,... ,/ , ,/ , ,21.6 ,/ , ,/ , ,... ,2.8 ,10 ,/ ,/ , ,11.0 ,... ,2 ,... , ,... , ,10.5 ,2013-11-25 00:00 ,... ,... ,142.9 ,... ,... ,... , ,... 
11,12,... ,... ,/ , ,/ , ,17.1 ,/ , ,/ , ,... ,3.3 ,10 ,/ ,/ , ,23.5 ,... ,5 ,... , ,... , ,16.5 ,2013-12-17 00:00 ,... ,... ,140.5 ,... ,... ,... , ,... 
