,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1015.5 ,... ,1022.9 ,2017-01-24 22:58 ,1006.4 ,2017-01-08 14:52 ,17.9 ,27.4 ,2017-01-29 15:32 ,12.0 ,2017-01-27 06:15 ,... ,2.7 ,13 ,12.0 ,26 ,2017-01-25 17:29 ,2.5 ,... ,1 ,... , ,... , ,2.5 ,2017-01-14 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
1,02,1015.9 ,... ,1025.6 ,2017-02-14 09:18 ,1007.4 ,2017-02-05 17:25 ,16.8 ,29.4 ,2017-02-20 12:39 ,9.5 ,2017-02-10 05:00 ,... ,2.8 ,8 ,14.2 ,32 ,2017-02-09 15:08 ,1.5 ,... ,3 ,... , ,... , ,0.5 ,2017-02-22 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
2,03,1012.6 ,... ,1020.5 ,2017-03-27 09:27 ,1005.3 ,2017-03-13 15:37 ,19.4 ,29.5 ,2017-03-31 13:59 ,11.3 ,2017-03-03 06:12 ,... ,2.5 ,1 ,17.6 ,34 ,2017-03-31 22:45 ,25.5 ,... ,5 ,... , ,... , ,9.0 ,2017-03-08 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
3,04,1009.7 ,... ,1019.1 ,2017-04-03 09:08 ,1001.5 ,2017-04-10 16:30 ,22.8 ,31.9 ,2017-04-10 13:44 ,11.8 ,2017-04-02 06:03 ,... ,2.1 ,1 ,15.7 ,22 ,2017-04-01 07:57 ,83.5 ,... ,8 ,... , ,... , ,28.5 ,2017-04-12 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
4,05,1006.8 ,... ,1013.3 ,2017-05-06 09:40 ,1000.7 ,2017-05-31 18:45 ,26.1 ,33.4 ,2017-05-14 13:50 ,-38.8 ,2017-05-30 11:52 ,... ,1.8 ,1 ,11.9 ,268 ,2017-05-12 13:51 ,60.5 ,... ,6 ,... , ,... , ,35.0 ,2017-05-30 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
5,06,1004.9 ,... ,1008.8 ,2017-06-27 22:19 ,998.9 ,2017-06-03 18:14 ,28.5 ,34.8 ,2017-06-30 12:16 ,-37.7 ,2017-06-01 17:10 ,... ,2.7 ,163 ,17.6 ,254 ,2017-06-02 20:27 ,871.0 ,... ,13 ,... , ,... , ,302.5 ,2017-06-03 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
6,07,1004.6 ,... ,1010.8 ,2017-07-07 22:30 ,987.2 ,2017-07-30 18:01 ,28.9 ,34.9 ,2017-07-12 11:18 ,22.9 ,2017-07-31 05:39 ,... ,2.0 ,65 ,19.0 ,159 ,2017-07-07 13:16 ,292.0 ,... ,16 ,... , ,... , ,129.0 ,2017-07-31 00:00 ,78 ,... ,... ,... ,... ,... , ,... 
7,08,1003.8 ,... ,1011.0 ,2017-08-27 22:32 ,990.9 ,2017-08-22 02:52 ,29.3 ,35.8 ,2017-08-26 13:50 ,24.1 ,2017-08-27 15:03 ,... ,2.1 ,1 ,14.5 ,183 ,2017-08-01 08:18 ,103.0 ,... ,11 ,... , ,... , ,41.5 ,2017-08-27 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
8,09,1005.9 ,... ,1011.5 ,2017-09-29 23:21 ,998.3 ,2017-09-01 15:04 ,29.0 ,35.0 ,2017-09-16 13:55 ,23.7 ,2017-09-02 15:43 ,... ,1.6 ,2 ,12.8 ,190 ,2017-09-07 13:09 ,50.0 ,... ,2 ,... , ,... , ,49.5 ,2017-09-02 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
9,10,1007.6 ,... ,1016.9 ,2017-10-30 08:40 ,996.4 ,2017-10-13 18:01 ,25.7 ,34.9 ,2017-10-02 11:58 ,16.7 ,2017-10-31 05:10 ,... ,2.5 ,6 ,14.9 ,30 ,2017-10-21 12:41 ,59.0 ,... ,3 ,... , ,... , ,32.5 ,2017-10-15 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
10,11,1011.7 ,... ,1018.5 ,2017-11-24 09:21 ,1004.9 ,2017-11-17 15:02 ,22.5 ,31.2 ,2017-11-17 15:03 ,16.5 ,2017-11-23 21:30 ,... ,2.5 ,14 ,12.0 ,42 ,2017-11-23 03:29 ,18.0 ,... ,5 ,... , ,... , ,10.0 ,2017-11-11 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
11,12,1014.9 ,... ,1022.3 ,2017-12-20 09:26 ,1009.0 ,2017-12-03 15:22 ,17.8 ,25.8 ,2017-12-03 15:28 ,12.0 ,2017-12-22 06:32 ,... ,3.0 ,32 ,16.7 ,33 ,2017-12-16 16:02 ,4.5 ,... ,3 ,... , ,... , ,2.0 ,2017-12-07 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
