,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1014.8 ,... ,1028.3 ,2016-01-24 21:51 ,1003.5 ,2016-01-17 14:33 ,16.4 ,24.8 ,2016-01-04 14:14 ,4.6 ,2016-01-24 19:30 ,... ,3.0 ,9 ,18.2 ,22 ,2016-01-24 12:41 ,141.0 ,... ,18 ,... , ,... , ,61.5 ,2016-01-03 00:00 ,87 ,... ,... ,... ,... ,... , ,... 
1,02,1016.0 ,... ,1023.7 ,2016-02-25 09:37 ,1007.2 ,2016-02-13 15:28 ,16.1 ,30.8 ,2016-02-13 14:34 ,7.5 ,2016-02-07 06:57 ,... ,3.2 ,23 ,17.0 ,25 ,2016-02-05 17:38 ,11.0 ,... ,9 ,... , ,... , ,5.5 ,2016-02-11 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
2,03,1012.6 ,... ,1020.2 ,2016-03-02 09:07 ,1004.8 ,2016-03-18 15:07 ,18.3 ,30.8 ,2016-03-18 13:58 ,9.2 ,2016-03-28 05:55 ,... ,2.3 ,3 ,13.2 ,22 ,2016-03-14 02:26 ,121.0 ,... ,13 ,... , ,... , ,34.5 ,2016-03-13 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
3,04,1007.8 ,... ,1015.1 ,2016-04-19 08:51 ,1000.5 ,2016-04-13 13:53 ,24.9 ,33.1 ,2016-04-21 13:27 ,17.5 ,2016-04-19 03:10 ,... ,1.9 ,4 ,13.0 ,1 ,2016-04-18 06:49 ,189.0 ,... ,11 ,... , ,... , ,60.5 ,2016-04-14 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
4,05,1005.8 ,... ,1010.8 ,2016-05-14 09:20 ,1000.6 ,2016-05-24 15:57 ,27.2 ,35.5 ,2016-05-27 13:00 ,19.1 ,2016-05-17 04:05 ,... ,2.0 ,4 ,13.9 ,230 ,2016-05-11 14:49 ,45.5 ,... ,7 ,... , ,... , ,24.0 ,2016-05-11 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
5,06,1004.6 ,... ,1010.7 ,2016-06-29 22:40 ,1000.2 ,2016-06-08 16:12 ,28.4 ,36.2 ,2016-06-28 14:06 ,21.8 ,2016-06-30 18:24 ,... ,1.9 ,62 ,17.0 ,203 ,2016-06-12 12:57 ,316.5 ,... ,17 ,... , ,... , ,95.5 ,2016-06-11 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
6,07,1002.8 ,... ,1008.7 ,2016-07-21 09:04 ,978.5 ,2016-07-08 10:34 ,28.8 ,35.5 ,2016-07-29 12:17 ,23.9 ,2016-07-04 17:34 ,... ,2.0 ,132 ,18.3 ,127 ,2016-07-08 13:34 ,303.0 ,... ,13 ,... , ,... , ,105.0 ,2016-07-09 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
7,08,999.5 ,... ,1006.5 ,2016-08-03 22:03 ,994.1 ,2016-08-09 16:02 ,28.4 ,34.8 ,2016-08-27 14:02 ,23.4 ,2016-08-19 16:19 ,... ,1.6 ,29 ,14.7 ,229 ,2016-08-17 13:10 ,117.0 ,... ,15 ,... , ,... , ,41.0 ,2016-08-12 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
8,09,1001.7 ,... ,1010.1 ,2016-09-21 21:39 ,961.2 ,2016-09-27 16:33 ,27.0 ,34.0 ,2016-09-01 14:08 ,23.0 ,2016-09-07 22:42 ,... ,2.4 ,17 ,34.1 ,315 ,2016-09-27 15:57 ,630.0 ,... ,17 ,... , ,... , ,162.5 ,2016-09-28 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
9,10,1006.0 ,... ,1015.1 ,2016-10-31 08:05 ,996.5 ,2016-10-20 16:22 ,26.7 ,33.0 ,2016-10-20 12:53 ,21.2 ,2016-10-31 05:30 ,... ,1.7 ,1 ,11.9 ,250 ,2016-10-22 13:19 ,29.5 ,... ,7 ,... , ,... , ,11.5 ,2016-10-08 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
10,11,1011.2 ,... ,1017.2 ,2016-11-29 09:25 ,1006.0 ,2016-11-05 14:04 ,23.0 ,31.4 ,2016-11-15 13:28 ,17.2 ,2016-11-28 04:56 ,... ,2.2 ,13 ,14.0 ,38 ,2016-11-26 16:57 ,35.0 ,... ,5 ,... , ,... , ,19.0 ,2016-11-27 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
11,12,1013.2 ,... ,1019.7 ,2016-12-16 09:30 ,1006.1 ,2016-12-09 15:02 ,19.8 ,28.9 ,2016-12-20 13:26 ,12.0 ,2016-12-28 07:52 ,... ,2.5 ,13 ,16.1 ,23 ,2016-12-27 14:52 ,12.0 ,... ,1 ,... , ,... , ,12.0 ,2016-12-28 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
