,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,958.2 ,... ,967.3 ,2016-01-25 10:21 ,948.1 ,2016-01-17 13:32 ,16.5 ,26.9 ,2016-01-05 12:53 ,3.8 ,2016-01-24 12:47 ,... ,0.8 ,5 ,14.9 ,322 ,2016-01-24 05:46 ,242.5 ,... ,19 ,... , ,... , ,74.0 ,2016-01-03 00:00 ,87 ,... ,... ,... ,... ,... , ,... 
1,02,959.2 ,... ,966.5 ,2016-02-25 10:20 ,951.8 ,2016-02-05 15:19 ,16.4 ,27.9 ,2016-02-13 14:30 ,5.2 ,2016-02-08 06:36 ,... ,0.9 ,331 ,13.0 ,345 ,2016-02-05 15:26 ,46.5 ,... ,12 ,... , ,... , ,16.0 ,2016-02-11 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
2,03,956.6 ,... ,963.3 ,2016-03-02 08:33 ,950.9 ,2016-03-08 15:49 ,17.9 ,28.7 ,2016-03-18 14:26 ,7.7 ,2016-03-28 05:17 ,... ,0.9 ,1 ,13.3 ,313 ,2016-03-11 00:25 ,212.5 ,... ,15 ,... , ,... , ,45.0 ,2016-03-13 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
3,04,953.5 ,... ,959.2 ,2016-04-19 09:01 ,946.7 ,2016-04-13 14:44 ,22.6 ,31.3 ,2016-04-21 13:01 ,16.4 ,2016-04-16 04:20 ,... ,0.9 ,136 ,9.1 ,164 ,2016-04-16 13:09 ,216.0 ,... ,11 ,... , ,... , ,40.5 ,2016-04-13 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
4,05,952.1 ,... ,956.7 ,2016-05-14 09:48 ,947.2 ,2016-05-24 15:50 ,24.2 ,32.8 ,2016-05-28 14:26 ,18.6 ,2016-05-03 05:47 ,... ,0.9 ,4 ,9.4 ,318 ,2016-05-14 14:49 ,170.0 ,... ,19 ,... , ,... , ,53.5 ,2016-05-22 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
5,06,951.3 ,... ,957.0 ,2016-06-29 22:35 ,946.9 ,2016-06-08 16:10 ,24.8 ,33.1 ,2016-06-03 14:06 ,19.9 ,2016-06-21 03:57 ,... ,0.8 ,2 ,10.2 ,159 ,2016-06-12 13:42 ,737.0 ,... ,22 ,... , ,... , ,145.0 ,2016-06-13 00:00 ,86 ,... ,... ,... ,... ,... , ,... 
6,07,949.6 ,... ,954.8 ,2016-07-21 07:56 ,926.1 ,2016-07-08 09:58 ,24.9 ,32.4 ,2016-07-28 15:00 ,19.3 ,2016-07-20 05:50 ,... ,0.9 ,8 ,10.5 ,333 ,2016-07-08 06:42 ,359.5 ,... ,19 ,... , ,... , ,83.0 ,2016-07-09 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
7,08,946.3 ,... ,952.9 ,2016-08-03 22:32 ,941.3 ,2016-08-09 16:05 ,24.9 ,31.5 ,2016-08-07 14:09 ,19.8 ,2016-08-10 04:27 ,... ,0.8 ,1 ,9.3 ,312 ,2016-08-09 16:39 ,209.0 ,... ,19 ,... , ,... , ,45.5 ,2016-08-12 00:00 ,86 ,... ,... ,... ,... ,... , ,... 
8,09,948.3 ,... ,956.0 ,2016-09-21 21:48 ,910.9 ,2016-09-27 16:41 ,23.9 ,31.3 ,2016-09-01 14:59 ,19.8 ,2016-09-16 05:52 ,... ,1.0 ,9 ,25.3 ,191 ,2016-09-27 22:47 ,1281.5 ,... ,20 ,... , ,... , ,371.0 ,2016-09-27 00:00 ,89 ,... ,... ,... ,... ,... , ,... 
9,10,952.1 ,... ,960.0 ,2016-10-31 08:06 ,943.5 ,2016-10-20 16:10 ,24.2 ,31.5 ,2016-10-16 14:30 ,18.7 ,2016-10-14 06:07 ,... ,0.8 ,7 ,9.0 ,324 ,2016-10-10 11:30 ,92.0 ,... ,12 ,... , ,... , ,28.5 ,2016-10-07 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
10,11,956.2 ,... ,961.7 ,2016-11-30 07:22 ,951.4 ,2016-11-05 14:23 ,21.3 ,29.6 ,2016-11-19 14:05 ,15.7 ,2016-11-29 05:51 ,... ,0.8 ,322 ,10.1 ,310 ,2016-11-27 08:14 ,74.5 ,... ,8 ,... , ,... , ,38.0 ,2016-11-27 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
11,12,957.4 ,... ,962.8 ,2016-12-18 07:45 ,951.1 ,2016-12-09 14:31 ,19.1 ,28.0 ,2016-12-20 13:40 ,12.4 ,2016-12-18 04:19 ,... ,0.8 ,11 ,11.1 ,311 ,2016-12-08 14:26 ,17.5 ,... ,5 ,... , ,... , ,14.0 ,2016-12-28 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
