,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,/ ,... ,/ , ,/ , ,19.4 ,/ , ,/ , ,... ,2.5 ,250 ,/ ,/ , ,0.0 ,... ,0 ,... , ,... , ,0.0 ,2010-01-14 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
1,02,/ ,... ,/ , ,/ , ,21.2 ,/ , ,/ , ,... ,2.6 ,320 ,/ ,/ , ,8.5 ,... ,3 ,... , ,... , ,5.0 ,2010-02-18 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
2,03,/ ,... ,/ , ,/ , ,22.9 ,/ , ,/ , ,... ,2.5 ,250 ,/ ,/ , ,0.5 ,... ,1 ,... , ,... , ,0.5 ,2010-03-09 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
3,04,/ ,... ,/ , ,/ , ,24.2 ,/ , ,/ , ,... ,2.7 ,250 ,/ ,/ , ,52.0 ,... ,6 ,... , ,... , ,21.5 ,2010-04-23 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
4,05,/ ,... ,/ , ,/ , ,26.9 ,/ , ,/ , ,... ,2.8 ,250 ,/ ,/ , ,267.0 ,... ,7 ,... , ,... , ,133.5 ,2010-05-30 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
5,06,/ ,... ,/ , ,/ , ,27.6 ,/ , ,/ , ,... ,2.4 ,230 ,/ ,/ , ,330.0 ,... ,12 ,... , ,... , ,109.0 ,2010-06-13 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
6,07,/ ,... ,/ , ,/ , ,28.6 ,/ , ,/ , ,... ,2.7 ,10 ,/ ,/ , ,259.0 ,... ,9 ,... , ,... , ,86.0 ,2010-07-27 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
7,08,/ ,... ,/ , ,/ , ,28.4 ,/ , ,/ , ,... ,2.4 ,20 ,/ ,/ , ,211.5 ,... ,15 ,... , ,... , ,85.0 ,2010-08-10 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
8,09,/ ,... ,/ , ,/ , ,27.7 ,/ , ,/ , ,... ,4.1 ,130 ,/ ,/ , ,951.5 ,... ,14 ,... , ,... , ,448.5 ,2010-09-19 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
9,10,/ ,... ,/ , ,/ , ,26.4 ,/ , ,/ , ,... ,2.6 ,240 ,/ ,/ , ,158.0 ,... ,12 ,... , ,... , ,48.5 ,2010-10-08 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
10,11,/ ,... ,/ , ,/ , ,23.1 ,/ , ,/ , ,... ,2.3 ,10 ,/ ,/ , ,13.0 ,... ,2 ,... , ,... , ,12.0 ,2010-11-13 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
11,12,/ ,... ,/ , ,/ , ,20.1 ,/ , ,/ , ,... ,2.6 ,320 ,/ ,/ , ,13.0 ,... ,2 ,... , ,... , ,11.5 ,2010-12-16 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
