,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,976.0 ,... ,986.6 ,2016-01-25 10:13 ,961.1 ,2016-01-17 15:37 ,17.1 ,25.0 ,2016-01-05 10:39 ,7.6 ,2016-01-24 07:56 ,... ,1.0 ,58 ,13.5 ,73 ,2016-01-23 07:55 ,210.5 ,... ,18 ,... , ,... , ,42.0 ,2016-01-03 00:00 ,... ,... ,... ,... ,... ,... , ,... 
1,02,977.1 ,... ,985.8 ,2016-02-25 08:39 ,967.4 ,2016-02-13 14:58 ,16.5 ,28.2 ,2016-02-13 13:27 ,9.9 ,2016-02-08 03:12 ,... ,1.1 ,69 ,14.3 ,74 ,2016-02-23 10:01 ,37.0 ,... ,12 ,... , ,... , ,8.5 ,2016-02-05 00:00 ,... ,... ,... ,... ,... ,... , ,... 
2,03,974.2 ,... ,982.8 ,2016-03-02 00:00 ,965.6 ,2016-03-09 05:04 ,17.7 ,26.6 ,2016-03-31 14:47 ,11.2 ,2016-03-27 00:44 ,... ,0.7 ,1 ,11.7 ,347 ,2016-03-09 04:51 ,140.0 ,... ,13 ,... , ,... , ,33.5 ,2016-03-13 00:00 ,... ,... ,... ,... ,... ,... , ,... 
3,04,969.5 ,... ,977.5 ,2016-04-19 10:31 ,960.8 ,2016-04-13 15:15 ,22.6 ,32.5 ,2016-04-27 11:22 ,16.4 ,2016-04-30 05:08 ,... ,0.4 ,53 ,16.1 ,334 ,2016-04-13 21:27 ,226.5 ,... ,13 ,... , ,... , ,127.0 ,2016-04-14 00:00 ,... ,... ,... ,... ,... ,... , ,... 
4,05,968.2 ,... ,973.9 ,2016-05-14 09:46 ,962.6 ,2016-05-10 15:13 ,24.4 ,33.8 ,2016-05-10 12:52 ,17.9 ,2016-05-01 05:36 ,... ,0.3 ,19 ,10.2 ,303 ,2016-05-28 18:11 ,90.0 ,... ,11 ,... , ,... , ,30.5 ,2016-05-16 00:00 ,... ,... ,... ,... ,... ,... , ,... 
5,06,966.8 ,... ,973.7 ,2016-06-29 22:50 ,960.9 ,2016-06-02 01:49 ,26.1 ,33.8 ,2016-06-01 10:27 ,21.6 ,2016-06-19 03:21 ,... ,0.3 ,302 ,29.6 ,6 ,2016-06-29 10:10 ,137.0 ,... ,15 ,... , ,... , ,56.0 ,2016-06-11 00:00 ,... ,... ,... ,... ,... ,... , ,... 
6,07,965.6 ,... ,970.9 ,2016-07-02 22:36 ,908.8 ,2016-07-08 06:14 ,26.4 ,33.6 ,2016-07-14 14:49 ,21.1 ,2016-07-26 05:36 ,... ,0.7 ,281 ,46.0 ,292 ,2016-07-08 05:59 ,336.0 ,... ,11 ,... , ,... , ,228.5 ,2016-07-08 00:00 ,... ,... ,... ,... ,... ,... , ,... 
7,08,962.9 ,... ,969.1 ,2016-08-03 22:20 ,958.7 ,2016-08-09 16:01 ,25.0 ,31.0 ,2016-08-27 09:37 ,20.5 ,2016-08-30 03:48 ,... ,0.6 ,286 ,16.4 ,54 ,2016-08-01 01:55 ,317.0 ,... ,16 ,... , ,... , ,53.0 ,2016-08-16 00:00 ,... ,... ,... ,... ,... ,... , ,... 
8,09,964.6 ,... ,972.5 ,2016-09-22 00:30 ,927.7 ,2016-09-27 14:32 ,24.4 ,31.5 ,2016-09-27 12:18 ,20.4 ,2016-09-02 00:32 ,... ,1.0 ,274 ,33.1 ,48 ,2016-09-14 03:50 ,1015.0 ,... ,17 ,... , ,... , ,343.5 ,2016-09-14 00:00 ,... ,... ,... ,... ,... ,... , ,... 
9,10,969.4 ,... ,978.8 ,2016-10-30 09:44 ,961.5 ,2016-10-20 16:51 ,23.9 ,29.5 ,2016-10-23 11:29 ,19.4 ,2016-10-03 04:22 ,... ,1.1 ,15 ,21.0 ,42 ,2016-10-20 09:14 ,1032.5 ,... ,22 ,... , ,... , ,225.5 ,2016-10-08 00:00 ,... ,... ,... ,... ,... ,... , ,... 
10,11,974.1 ,... ,980.9 ,2016-11-29 10:16 ,968.7 ,2016-11-05 14:48 ,21.0 ,26.6 ,2016-11-19 10:54 ,16.4 ,2016-11-28 01:46 ,... ,1.1 ,47 ,15.9 ,43 ,2016-11-01 16:25 ,178.5 ,... ,16 ,... , ,... , ,97.5 ,2016-11-27 00:00 ,... ,... ,... ,... ,... ,... , ,... 
11,12,975.9 ,... ,982.1 ,2016-12-16 10:05 ,969.2 ,2016-12-08 14:43 ,19.2 ,26.0 ,2016-12-04 11:01 ,13.0 ,2016-12-28 08:22 ,... ,1.2 ,50 ,13.8 ,32 ,2016-12-06 05:46 ,39.0 ,... ,13 ,... , ,... , ,14.0 ,2016-12-20 00:00 ,... ,... ,... ,... ,... ,... , ,... 
