,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,964.2 ,... ,970.2 ,2015-01-01 20:06 ,957.1 ,2015-01-06 14:19 ,13.9 ,26.7 ,2015-01-06 13:10 ,8.5 ,2015-01-01 23:32 ,... ,0.7 ,69 ,10.7 ,142 ,2015-01-24 12:59 ,76.0 ,... ,16 ,... , ,... , ,15.5 ,2015-01-27 00:00 ,... ,... ,... ,... ,... ,... , ,... 
1,02,962.5 ,... ,970.7 ,2015-02-01 09:39 ,955.8 ,2015-02-25 15:30 ,14.9 ,26.6 ,2015-02-26 10:25 ,7.1 ,2015-02-09 03:05 ,... ,0.7 ,157 ,13.0 ,50 ,2015-02-08 20:30 ,61.0 ,... ,16 ,... , ,... , ,16.5 ,2015-02-04 00:00 ,... ,... ,... ,... ,... ,... , ,... 
2,03,961.6 ,... ,970.4 ,2015-03-25 22:07 ,954.1 ,2015-03-03 15:24 ,17.1 ,27.1 ,2015-03-19 10:31 ,10.7 ,2015-03-10 23:26 ,... ,1.0 ,73 ,13.0 ,159 ,2015-03-31 13:36 ,113.5 ,... ,20 ,... , ,... , ,17.5 ,2015-03-25 00:00 ,... ,... ,... ,... ,... ,... , ,... 
3,04,958.9 ,... ,1000.0 ,2015-04-30 06:03 ,0.9 ,2015-04-29 13:58 ,19.7 ,29.6 ,2015-04-03 10:46 ,10.4 ,2015-04-08 19:38 ,... ,1.2 ,4 ,16.4 ,144 ,2015-04-18 18:05 ,72.5 ,... ,16 ,... , ,... , ,16.0 ,2015-04-11 00:00 ,... ,... ,... ,... ,... ,... , ,... 
4,05,955.6 ,... ,1000.0 ,2015-05-01 07:48 ,0.4 ,2015-05-02 19:40 ,21.7 ,33.1 ,2015-05-29 00:23 ,15.5 ,2015-05-13 01:17 ,... ,0.9 ,138 ,11.7 ,147 ,2015-05-14 11:48 ,155.0 ,... ,20 ,... , ,... , ,26.5 ,2015-05-11 00:00 ,... ,... ,... ,... ,... ,... , ,... 
5,06,953.9 ,... ,958.8 ,2015-06-01 22:17 ,949.3 ,2015-06-30 16:19 ,25.4 ,34.3 ,2015-06-28 12:00 ,21.1 ,2015-06-09 03:51 ,... ,1.2 ,151 ,13.5 ,122 ,2015-06-02 13:59 ,58.5 ,... ,7 ,... , ,... , ,51.0 ,2015-06-20 00:00 ,... ,... ,... ,... ,... ,... , ,... 
6,07,951.6 ,... ,959.8 ,2015-07-28 21:51 ,936.9 ,2015-07-11 03:51 ,25.8 ,34.7 ,2015-07-26 13:31 ,21.5 ,2015-07-08 04:04 ,... ,1.1 ,140 ,12.7 ,174 ,2015-07-07 12:13 ,36.0 ,... ,5 ,... , ,... , ,27.0 ,2015-07-08 00:00 ,... ,... ,... ,... ,... ,... , ,... 
7,08,952.0 ,... ,959.7 ,2015-08-01 21:52 ,902.6 ,2015-08-08 03:43 ,24.8 ,36.6 ,2015-08-06 13:47 ,20.7 ,2015-08-26 06:28 ,... ,0.9 ,150 ,32.8 ,151 ,2015-08-08 05:14 ,504.5 ,... ,21 ,... , ,... , ,174.5 ,2015-08-22 00:00 ,... ,... ,... ,... ,... ,... , ,... 
8,09,955.9 ,... ,962.6 ,2015-09-17 21:57 ,912.8 ,2015-09-28 17:46 ,23.4 ,33.2 ,2015-09-06 13:40 ,18.8 ,2015-09-11 05:36 ,... ,0.9 ,130 ,26.5 ,138 ,2015-09-28 18:57 ,316.5 ,... ,18 ,... , ,... , ,115.0 ,2015-09-16 00:00 ,... ,... ,... ,... ,... ,... , ,... 
9,10,959.4 ,... ,966.8 ,2015-10-31 10:00 ,951.5 ,2015-10-20 15:21 ,21.5 ,29.2 ,2015-10-02 10:32 ,16.5 ,2015-10-13 22:40 ,... ,0.6 ,66 ,8.6 ,352 ,2015-10-20 17:19 ,143.5 ,... ,17 ,... , ,... , ,30.0 ,2015-10-31 00:00 ,... ,... ,... ,... ,... ,... , ,... 
10,11,962.0 ,... ,968.4 ,2015-11-27 09:39 ,957.5 ,2015-11-25 14:56 ,20.3 ,29.5 ,2015-11-06 11:34 ,10.4 ,2015-11-27 04:55 ,... ,0.7 ,110 ,11.9 ,6 ,2015-11-26 16:44 ,455.0 ,... ,22 ,... , ,... , ,96.5 ,2015-11-01 00:00 ,... ,... ,... ,... ,... ,... , ,... 
11,12,963.5 ,... ,971.4 ,2015-12-31 21:09 ,952.8 ,2015-12-10 04:56 ,16.8 ,26.8 ,2015-12-22 12:35 ,8.2 ,2015-12-17 22:26 ,... ,0.5 ,72 ,8.4 ,35 ,2015-12-03 03:31 ,105.0 ,... ,18 ,... , ,... , ,44.0 ,2015-12-09 00:00 ,... ,... ,... ,... ,... ,... , ,... 
