,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,957.7 ,... ,965.5 ,2014-01-19 09:11 ,950.0 ,2014-01-03 15:20 ,13.9 ,23.3 ,2014-01-03 11:05 ,7.3 ,2014-01-23 01:03 ,... ,0.9 ,279 ,7.3 ,21 ,2014-01-15 12:17 ,49.0 ,... ,10 ,... , ,... , ,16.5 ,2014-01-13 00:00 ,... ,... ,... ,... ,... ,... , ,... 
1,02,954.4 ,... ,963.2 ,2014-02-21 09:52 ,945.9 ,2014-02-03 04:34 ,14.1 ,24.1 ,2014-02-06 11:39 ,7.1 ,2014-02-11 05:26 ,... ,0.6 ,5 ,6.5 ,124 ,2014-02-13 15:18 ,192.5 ,... ,24 ,... , ,... , ,22.5 ,2014-02-09 00:00 ,... ,... ,... ,... ,... ,... , ,... 
2,03,955.2 ,... ,962.2 ,2014-03-14 22:56 ,945.7 ,2014-03-29 16:57 ,15.3 ,27.0 ,2014-03-27 11:48 ,9.0 ,2014-03-14 07:21 ,... ,0.6 ,3 ,8.9 ,137 ,2014-03-25 10:36 ,132.5 ,... ,22 ,... , ,... , ,27.5 ,2014-03-09 00:00 ,... ,... ,... ,... ,... ,... , ,... 
3,04,952.2 ,... ,959.9 ,2014-04-06 09:14 ,945.4 ,2014-04-01 04:15 ,18.4 ,26.6 ,2014-04-13 12:02 ,13.1 ,2014-04-05 05:46 ,... ,0.4 ,1 ,6.0 ,104 ,2014-04-27 19:25 ,199.0 ,... ,27 ,... , ,... , ,37.5 ,2014-04-26 00:00 ,... ,... ,... ,... ,... ,... , ,... 
4,05,949.5 ,... ,956.6 ,2014-05-02 22:11 ,941.6 ,2014-05-14 17:54 ,21.5 ,30.8 ,2014-05-14 18:32 ,13.9 ,2014-05-06 04:37 ,... ,0.5 ,5 ,11.5 ,282 ,2014-05-14 17:42 ,329.0 ,... ,25 ,... , ,... , ,48.0 ,2014-05-19 00:00 ,... ,... ,... ,... ,... ,... , ,... 
5,06,944.7 ,... ,951.1 ,2014-06-30 22:42 ,938.5 ,2014-06-11 01:37 ,23.9 ,29.9 ,2014-06-27 11:13 ,19.9 ,2014-06-12 01:38 ,... ,0.5 ,102 ,9.1 ,219 ,2014-06-21 21:12 ,137.0 ,... ,25 ,... , ,... , ,25.5 ,2014-06-11 00:00 ,... ,... ,... ,... ,... ,... , ,... 
6,07,945.8 ,... ,952.2 ,2014-07-26 21:33 ,929.7 ,2014-07-23 03:42 ,25.4 ,32.0 ,2014-07-09 13:11 ,21.5 ,2014-07-28 03:42 ,... ,0.8 ,128 ,25.3 ,144 ,2014-07-23 04:18 ,471.5 ,... ,11 ,... , ,... , ,213.5 ,2014-07-23 00:00 ,... ,... ,... ,... ,... ,... , ,... 
7,08,947.2 ,... ,954.3 ,2014-08-28 22:01 ,936.1 ,2014-08-01 06:01 ,25.0 ,30.4 ,2014-08-15 12:16 ,21.1 ,2014-08-23 05:28 ,... ,0.7 ,3 ,10.6 ,306 ,2014-08-16 14:30 ,328.0 ,... ,16 ,... , ,... , ,90.5 ,2014-08-16 00:00 ,... ,... ,... ,... ,... ,... , ,... 
8,09,948.8 ,... ,953.8 ,2014-09-17 21:32 ,930.5 ,2014-09-21 18:33 ,24.4 ,30.7 ,2014-09-15 12:15 ,19.6 ,2014-09-29 05:24 ,... ,0.8 ,123 ,18.9 ,265 ,2014-09-21 06:05 ,290.5 ,... ,14 ,... , ,... , ,126.5 ,2014-09-21 00:00 ,... ,... ,... ,... ,... ,... , ,... 
9,10,953.1 ,... ,959.1 ,2014-10-16 20:32 ,943.4 ,2014-10-10 14:18 ,20.8 ,30.1 ,2014-10-10 11:55 ,15.0 ,2014-10-16 05:41 ,... ,0.7 ,263 ,8.0 ,103 ,2014-10-27 11:12 ,44.5 ,... ,14 ,... , ,... , ,9.0 ,2014-10-17 00:00 ,... ,... ,... ,... ,... ,... , ,... 
10,11,955.2 ,... ,960.5 ,2014-11-15 08:46 ,949.9 ,2014-11-30 15:23 ,18.7 ,26.7 ,2014-11-29 10:06 ,14.6 ,2014-11-05 05:52 ,... ,0.7 ,277 ,6.4 ,114 ,2014-11-17 13:36 ,83.0 ,... ,14 ,... , ,... , ,29.0 ,2014-11-15 00:00 ,... ,... ,... ,... ,... ,... , ,... 
11,12,958.5 ,... ,965.4 ,2014-12-18 09:12 ,952.3 ,2014-12-04 02:04 ,13.6 ,22.7 ,2014-12-10 10:23 ,7.7 ,2014-12-17 18:09 ,... ,0.7 ,117 ,7.0 ,105 ,2014-12-01 13:02 ,96.5 ,... ,18 ,... , ,... , ,17.5 ,2014-12-28 00:00 ,... ,... ,... ,... ,... ,... , ,... 
