,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,957.2 ,... ,965.0 ,2017-01-23 10:04 ,948.6 ,2017-01-07 15:21 ,15.4 ,24.6 ,2017-01-07 12:56 ,8.9 ,2017-01-21 00:23 ,... ,0.8 ,2 ,7.2 ,165 ,2017-01-07 12:32 ,82.5 ,... ,23 ,... , ,... , ,11.5 ,2017-01-14 00:00 ,... ,... ,... ,... ,... ,... , ,... 
1,02,957.3 ,... ,967.2 ,2017-02-14 10:02 ,949.6 ,2017-02-05 04:50 ,14.2 ,24.0 ,2017-02-22 11:52 ,6.5 ,2017-02-11 07:18 ,... ,0.8 ,9 ,8.1 ,127 ,2017-02-16 09:51 ,154.0 ,... ,18 ,... , ,... , ,26.5 ,2017-02-02 00:00 ,... ,... ,... ,... ,... ,... , ,... 
2,03,953.5 ,... ,961.8 ,2017-03-26 23:48 ,946.4 ,2017-03-06 03:04 ,15.3 ,23.7 ,2017-03-18 11:08 ,9.7 ,2017-03-02 18:20 ,... ,0.6 ,120 ,8.0 ,71 ,2017-03-21 10:37 ,200.0 ,... ,22 ,... , ,... , ,36.0 ,2017-03-08 00:00 ,... ,... ,... ,... ,... ,... , ,... 
3,04,955.7 ,... ,962.6 ,2017-04-03 00:00 ,950.1 ,2017-04-08 00:00 ,16.8 ,25.0 ,2017-04-08 00:00 ,10.0 ,2017-04-02 00:00 ,... ,1.1 ,12 ,5.9 ,114 ,2017-04-02 00:00 ,18.5 ,... ,2 ,... , ,... , ,17.5 ,2017-04-01 00:00 ,77 ,... ,/ ,... ,... ,... , ,... 
4,05,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
5,06,948.2 ,... ,952.4 ,2017-06-27 21:10 ,942.2 ,2017-06-17 07:23 ,24.1 ,30.0 ,2017-06-26 10:22 ,19.4 ,2017-06-15 04:51 ,... ,0.9 ,122 ,6.7 ,175 ,2017-06-30 14:55 ,128.5 ,... ,16 ,... , ,... , ,24.5 ,2017-06-17 00:00 ,87 ,... ,... ,... ,... ,... , ,... 
6,07,948.7 ,... ,955.3 ,2017-07-16 19:33 ,917.7 ,2017-07-29 18:50 ,25.1 ,31.8 ,2017-07-29 18:20 ,20.6 ,2017-07-16 18:51 ,... ,1.2 ,1 ,24.9 ,298 ,2017-07-29 18:50 ,192.5 ,... ,12 ,... , ,... , ,80.5 ,2017-07-30 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
7,08,947.6 ,... ,953.3 ,2017-08-27 21:25 ,941.2 ,2017-08-22 02:28 ,25.6 ,31.5 ,2017-08-06 11:16 ,21.8 ,2017-08-23 00:13 ,... ,1.0 ,129 ,14.0 ,128 ,2017-08-02 14:33 ,159.0 ,... ,5 ,... , ,... , ,123.5 ,2017-08-22 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
8,09,949.8 ,... ,957.2 ,2017-09-30 09:53 ,944.0 ,2017-09-02 14:57 ,24.7 ,30.9 ,2017-09-24 11:14 ,20.7 ,2017-09-19 05:27 ,... ,0.9 ,130 ,8.6 ,151 ,2017-09-06 19:44 ,75.5 ,... ,10 ,... , ,... , ,32.5 ,2017-09-01 00:00 ,87 ,... ,... ,... ,... ,... , ,... 
9,10,952.5 ,... ,961.3 ,2017-10-30 08:46 ,944.0 ,2017-10-21 15:22 ,21.9 ,31.0 ,2017-10-03 10:51 ,15.8 ,2017-10-31 01:33 ,... ,1.3 ,1 ,17.0 ,4 ,2017-10-13 20:52 ,1048.0 ,... ,19 ,... , ,... , ,321.5 ,2017-10-15 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
10,11,955.5 ,... ,962.4 ,2017-11-24 10:22 ,947.9 ,2017-11-18 04:38 ,19.5 ,27.6 ,2017-11-07 11:22 ,14.0 ,2017-11-24 19:46 ,... ,1.1 ,6 ,6.9 ,117 ,2017-11-08 16:29 ,162.5 ,... ,21 ,... , ,... , ,30.0 ,2017-11-03 00:00 ,91 ,... ,... ,... ,... ,... , ,... 
11,12,958.3 ,... ,966.2 ,2017-12-20 09:40 ,952.6 ,2017-12-07 14:37 ,14.8 ,23.8 ,2017-12-24 11:49 ,10.6 ,2017-12-17 05:58 ,... ,1.3 ,214 ,7.0 ,99 ,2017-12-24 18:57 ,66.5 ,... ,20 ,... , ,... , ,11.0 ,2017-12-31 00:00 ,88 ,... ,... ,... ,... ,... , ,... 
