,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1021.0 ,... ,1030.7 ,2014-01-18 21:08 ,1011.7 ,2014-01-03 15:01 ,17.7 ,28.3 ,2014-01-03 09:40 ,10.1 ,2014-01-19 19:07 ,... ,1.1 ,4 ,13.8 ,47 ,2014-01-18 16:21 ,14.0 ,... ,5 ,... , ,... , ,10.0 ,2014-01-11 00:00 ,... ,... ,... ,... ,... ,... , ,... 
1,02,1017.3 ,... ,1027.8 ,2014-02-21 09:07 ,1007.1 ,2014-02-03 04:05 ,17.6 ,28.3 ,2014-02-01 14:43 ,7.1 ,2014-02-21 01:36 ,... ,0.8 ,6 ,12.4 ,173 ,2014-02-05 21:27 ,131.0 ,... ,23 ,... , ,... , ,35.0 ,2014-02-09 00:00 ,... ,... ,... ,... ,... ,... , ,... 
2,03,1017.2 ,... ,1026.0 ,2014-03-10 21:09 ,1005.5 ,2014-03-29 14:58 ,19.4 ,32.6 ,2014-03-29 10:33 ,12.1 ,2014-03-22 02:47 ,... ,1.0 ,2 ,13.8 ,322 ,2014-03-29 12:16 ,222.5 ,... ,17 ,... , ,... , ,92.5 ,2014-03-27 00:00 ,... ,... ,... ,... ,... ,... , ,... 
3,04,1012.9 ,... ,1022.0 ,2014-04-06 09:27 ,1005.7 ,2014-04-01 04:08 ,22.0 ,32.9 ,2014-04-22 10:12 ,15.1 ,2014-04-05 04:45 ,... ,0.7 ,1 ,10.4 ,108 ,2014-04-13 11:33 ,140.0 ,... ,20 ,... , ,... , ,63.0 ,2014-04-26 00:00 ,... ,... ,... ,... ,... ,... , ,... 
4,05,1009.3 ,... ,1018.1 ,2014-05-03 09:58 ,1000.1 ,2014-05-14 17:37 ,24.5 ,36.1 ,2014-05-26 11:04 ,15.0 ,2014-05-06 04:11 ,... ,0.5 ,25 ,11.2 ,334 ,2014-05-04 10:32 ,222.5 ,... ,21 ,... , ,... , ,29.5 ,2014-05-03 00:00 ,... ,... ,... ,... ,... ,... , ,... 
5,06,1003.6 ,... ,1010.2 ,2014-06-30 22:40 ,997.2 ,2014-06-11 01:24 ,27.1 ,35.7 ,2014-06-30 11:56 ,20.9 ,2014-06-13 04:33 ,... ,0.7 ,4 ,10.5 ,73 ,2014-06-21 00:07 ,91.0 ,... ,14 ,... , ,... , ,32.5 ,2014-06-08 00:00 ,... ,... ,... ,... ,... ,... , ,... 
6,07,1004.4 ,... ,1011.4 ,2014-07-26 21:26 ,989.0 ,2014-07-23 09:13 ,28.8 ,37.4 ,2014-07-07 20:28 ,23.0 ,2014-07-21 04:51 ,... ,1.0 ,4 ,24.7 ,102 ,2014-07-23 05:27 ,2.5 ,... ,4 ,... , ,... , ,1.0 ,2014-07-28 00:00 ,... ,... ,... ,... ,... ,... , ,... 
7,08,1005.9 ,... ,1013.5 ,2014-08-28 21:41 ,993.8 ,2014-08-01 04:58 ,28.5 ,36.4 ,2014-08-30 13:38 ,22.3 ,2014-08-21 05:53 ,... ,1.0 ,2 ,16.5 ,82 ,2014-08-18 18:04 ,29.5 ,... ,11 ,... , ,... , ,7.0 ,2014-08-11 00:00 ,... ,... ,... ,... ,... ,... , ,... 
8,09,1007.8 ,... ,1013.2 ,2014-09-27 09:51 ,989.4 ,2014-09-21 19:50 ,28.2 ,38.8 ,2014-09-13 12:16 ,21.2 ,2014-09-30 03:20 ,... ,0.9 ,5 ,22.7 ,66 ,2014-09-21 19:50 ,351.0 ,... ,8 ,... , ,... , ,184.0 ,2014-09-21 00:00 ,... ,... ,... ,... ,... ,... , ,... 
9,10,1013.3 ,... ,1020.2 ,2014-10-16 08:55 ,1002.0 ,2014-10-11 15:25 ,24.6 ,34.7 ,2014-10-10 10:45 ,15.1 ,2014-10-16 03:17 ,... ,1.0 ,27 ,17.1 ,43 ,2014-10-11 16:02 ,54.0 ,... ,7 ,... , ,... , ,34.0 ,2014-10-17 00:00 ,... ,... ,... ,... ,... ,... , ,... 
10,11,1016.0 ,... ,1022.5 ,2014-11-18 20:36 ,1009.3 ,2014-11-30 14:47 ,22.0 ,32.7 ,2014-11-01 13:42 ,16.1 ,2014-11-14 01:17 ,... ,0.8 ,1 ,11.3 ,27 ,2014-11-29 13:47 ,109.0 ,... ,10 ,... , ,... , ,52.5 ,2014-11-15 00:00 ,... ,... ,... ,... ,... ,... , ,... 
11,12,1020.4 ,... ,1028.6 ,2014-12-18 08:32 ,1010.9 ,2014-12-01 03:11 ,17.1 ,27.6 ,2014-12-10 14:25 ,10.1 ,2014-12-30 06:03 ,... ,0.8 ,23 ,13.5 ,64 ,2014-12-01 07:37 ,74.5 ,... ,11 ,... , ,... , ,20.5 ,2014-12-09 00:00 ,... ,... ,... ,... ,... ,... , ,... 
