,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,952.4 ,... ,962.9 ,2016-01-25 09:33 ,938.3 ,2016-01-17 14:10 ,15.6 ,27.4 ,2016-01-05 13:13 ,4.0 ,2016-01-25 07:19 ,... ,1.3 ,44 ,11.5 ,30 ,2016-01-17 23:26 ,240.0 ,... ,27 ,... , ,... , ,34.0 ,2016-01-23 00:00 ,... ,... ,... ,... ,... ,... , ,... 
1,02,953.8 ,... ,963.0 ,2016-02-25 08:40 ,944.2 ,2016-02-13 15:09 ,14.7 ,28.6 ,2016-02-13 14:13 ,7.0 ,2016-02-07 00:20 ,... ,1.6 ,48 ,15.2 ,48 ,2016-02-14 14:58 ,106.0 ,... ,20 ,... , ,... , ,14.5 ,2016-02-20 00:00 ,... ,... ,... ,... ,... ,... , ,... 
2,03,950.7 ,... ,959.9 ,2016-03-01 00:01 ,942.9 ,2016-03-13 20:34 ,16.3 ,29.8 ,2016-03-18 11:51 ,8.1 ,2016-03-01 03:38 ,... ,1.3 ,46 ,11.9 ,42 ,2016-03-14 02:51 ,166.5 ,... ,19 ,... , ,... , ,47.0 ,2016-03-10 00:00 ,... ,... ,... ,... ,... ,... , ,... 
3,04,946.4 ,... ,954.5 ,2016-04-19 10:05 ,937.7 ,2016-04-13 14:11 ,21.6 ,33.1 ,2016-04-16 13:04 ,14.0 ,2016-04-19 05:18 ,... ,1.1 ,46 ,10.1 ,69 ,2016-04-28 18:15 ,81.5 ,... ,22 ,... , ,... , ,12.5 ,2016-04-11 00:00 ,... ,... ,... ,... ,... ,... , ,... 
4,05,945.2 ,... ,950.8 ,2016-05-13 22:30 ,939.4 ,2016-05-10 16:22 ,23.6 ,33.2 ,2016-05-27 10:23 ,15.2 ,2016-05-16 23:24 ,... ,1.1 ,47 ,11.9 ,62 ,2016-05-16 11:48 ,316.0 ,... ,25 ,... , ,... , ,72.0 ,2016-05-15 00:00 ,... ,... ,... ,... ,... ,... , ,... 
5,06,943.7 ,... ,950.1 ,2016-06-29 22:32 ,938.3 ,2016-06-12 17:27 ,26.0 ,35.6 ,2016-06-04 11:36 ,20.2 ,2016-06-09 17:14 ,... ,0.8 ,237 ,11.9 ,59 ,2016-06-26 19:36 ,234.0 ,... ,17 ,... , ,... , ,67.5 ,2016-06-06 00:00 ,... ,... ,... ,... ,... ,... , ,... 
6,07,942.9 ,... ,947.5 ,2016-07-20 22:04 ,930.7 ,2016-07-08 14:46 ,26.5 ,35.4 ,2016-07-04 10:59 ,21.9 ,2016-07-08 00:50 ,... ,1.2 ,52 ,24.0 ,43 ,2016-07-08 03:48 ,460.5 ,... ,11 ,... , ,... , ,359.5 ,2016-07-08 00:00 ,... ,... ,... ,... ,... ,... , ,... 
7,08,939.9 ,... ,945.1 ,2016-08-04 00:03 ,935.3 ,2016-08-11 05:31 ,25.6 ,35.3 ,2016-08-05 12:36 ,19.1 ,2016-08-30 15:16 ,... ,0.9 ,51 ,9.7 ,69 ,2016-08-06 17:16 ,396.0 ,... ,19 ,... , ,... , ,116.5 ,2016-08-01 00:00 ,... ,... ,... ,... ,... ,... , ,... 
8,09,942.0 ,... ,950.9 ,2016-09-21 21:02 ,894.5 ,2016-09-27 13:53 ,24.3 ,33.8 ,2016-09-17 19:38 ,18.2 ,2016-09-20 05:16 ,... ,1.5 ,50 ,22.5 ,54 ,2016-09-14 08:57 ,973.0 ,... ,25 ,... , ,... , ,258.0 ,2016-09-14 00:00 ,... ,... ,... ,... ,... ,... , ,... 
9,10,947.0 ,... ,957.6 ,2016-10-30 09:03 ,940.3 ,2016-10-03 15:46 ,23.6 ,31.5 ,2016-10-15 13:53 ,16.3 ,2016-10-31 06:29 ,... ,1.2 ,50 ,10.3 ,34 ,2016-10-29 11:51 ,892.0 ,... ,26 ,... , ,... , ,284.5 ,2016-10-07 00:00 ,... ,... ,... ,... ,... ,... , ,... 
10,11,951.2 ,... ,958.2 ,2016-11-29 09:10 ,945.3 ,2016-11-05 14:28 ,19.8 ,30.7 ,2016-11-13 13:15 ,-8.3 ,2016-11-15 23:06 ,... ,1.4 ,40 ,12.7 ,32 ,2016-11-27 01:44 ,251.0 ,... ,24 ,... , ,... , ,72.0 ,2016-11-27 00:00 ,... ,... ,... ,... ,... ,... , ,... 
11,12,952.8 ,... ,958.8 ,2016-12-16 09:28 ,945.7 ,2016-12-13 14:30 ,17.5 ,26.7 ,2016-12-05 09:10 ,9.1 ,2016-12-16 03:09 ,... ,1.4 ,45 ,13.5 ,76 ,2016-12-23 03:00 ,108.5 ,... ,19 ,... , ,... , ,21.5 ,2016-12-11 00:00 ,... ,... ,... ,... ,... ,... , ,... 
