,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,952.9 ,... ,960.7 ,2017-01-23 09:49 ,944.4 ,2017-01-07 15:16 ,16.4 ,26.8 ,2017-01-08 11:16 ,5.9 ,2017-01-21 05:46 ,... ,1.4 ,39 ,13.7 ,61 ,2017-01-30 13:15 ,67.5 ,... ,17 ,... , ,... , ,13.0 ,2017-01-14 00:00 ,... ,... ,... ,... ,... ,... , ,... 
1,02,953.0 ,... ,962.8 ,2017-02-14 08:48 ,945.3 ,2017-02-05 04:33 ,15.0 ,25.7 ,2017-02-08 12:28 ,7.0 ,2017-02-11 16:02 ,... ,1.5 ,39 ,13.1 ,20 ,2017-02-21 04:24 ,115.0 ,... ,17 ,... , ,... , ,23.0 ,2017-02-05 00:00 ,... ,... ,... ,... ,... ,... , ,... 
2,03,949.8 ,... ,958.0 ,2017-03-27 09:31 ,942.1 ,2017-03-06 04:07 ,16.5 ,28.2 ,2017-03-31 12:29 ,9.2 ,2017-03-02 22:17 ,... ,1.1 ,41 ,13.8 ,45 ,2017-03-31 16:45 ,155.5 ,... ,20 ,... , ,... , ,35.0 ,2017-03-08 00:00 ,... ,... ,... ,... ,... ,... , ,... 
3,04,952.8 ,... ,957.0 ,2017-04-03 08:55 ,948.0 ,2017-04-05 15:31 ,15.9 ,24.6 ,2017-04-05 10:48 ,11.0 ,2017-04-02 06:45 ,... ,0.9 ,39 ,9.1 ,58 ,2017-04-02 13:26 ,14.0 ,... ,1 ,... , ,... , ,14.0 ,2017-04-01 00:00 ,... ,... ,... ,... ,... ,... , ,... 
4,05,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
5,06,944.3 ,... ,948.9 ,2017-06-27 21:35 ,939.0 ,2017-06-17 07:06 ,24.4 ,31.7 ,2017-06-24 11:53 ,19.8 ,2017-06-15 05:41 ,... ,1.0 ,39 ,9.3 ,25 ,2017-06-08 17:55 ,270.0 ,... ,14 ,... , ,... , ,58.5 ,2017-06-08 00:00 ,87 ,... ,... ,... ,... ,... , ,... 
6,07,944.9 ,... ,951.5 ,2017-07-16 20:30 ,918.9 ,2017-07-29 19:43 ,25.4 ,33.2 ,2017-07-24 11:39 ,20.2 ,2017-07-16 21:11 ,... ,1.0 ,4 ,13.1 ,56 ,2017-07-29 08:08 ,191.5 ,... ,6 ,... , ,... , ,66.0 ,2017-07-30 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
7,08,943.7 ,... ,949.5 ,2017-08-27 21:43 ,936.6 ,2017-08-22 02:28 ,26.0 ,33.4 ,2017-08-06 13:30 ,21.2 ,2017-08-23 02:01 ,... ,1.3 ,49 ,10.5 ,41 ,2017-08-21 14:41 ,310.5 ,... ,6 ,... , ,... , ,194.0 ,2017-08-22 00:00 ,79 ,... ,... ,... ,... ,... , ,... 
8,09,946.0 ,... ,953.3 ,2017-09-30 09:55 ,940.3 ,2017-09-02 15:12 ,24.8 ,34.3 ,2017-09-26 11:12 ,20.2 ,2017-09-18 11:40 ,... ,1.2 ,49 ,9.6 ,68 ,2017-09-29 12:41 ,196.5 ,... ,10 ,... , ,... , ,126.5 ,2017-09-01 00:00 ,86 ,... ,... ,... ,... ,... , ,... 
9,10,948.6 ,... ,957.8 ,2017-10-30 08:44 ,939.9 ,2017-10-14 04:02 ,21.4 ,33.3 ,2017-10-02 10:57 ,14.5 ,2017-10-30 16:52 ,... ,2.0 ,48 ,14.4 ,40 ,2017-10-13 18:50 ,1311.5 ,... ,21 ,... , ,... , ,331.5 ,2017-10-14 00:00 ,88 ,... ,... ,... ,... ,... , ,... 
10,11,951.8 ,... ,958.5 ,2017-11-24 09:51 ,944.2 ,2017-11-18 04:04 ,19.2 ,28.9 ,2017-11-07 12:19 ,13.2 ,2017-11-23 15:13 ,... ,2.0 ,48 ,12.3 ,40 ,2017-11-08 19:28 ,182.5 ,... ,21 ,... , ,... , ,40.0 ,2017-11-03 00:00 ,92 ,... ,... ,... ,... ,... , ,... 
11,12,954.5 ,... ,962.5 ,2017-12-20 09:35 ,948.9 ,2017-12-24 14:00 ,14.4 ,23.3 ,2017-12-24 11:27 ,9.4 ,2017-12-08 19:56 ,... ,2.4 ,46 ,12.9 ,48 ,2017-12-16 15:19 ,108.5 ,... ,21 ,... , ,... , ,19.5 ,2017-12-08 00:00 ,90 ,... ,... ,... ,... ,... , ,... 
