,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1004.1 ,... ,1014.0 ,2010-01-14 09:05 ,996.1 ,2010-01-02 14:50 ,16.7 ,25.5 ,2010-01-21 13:25 ,8.1 ,2010-01-14 07:10 ,... ,2.2 ,208 ,17.6 ,58 ,2010-01-12 03:50 ,198.5 ,... ,22 ,... , ,... , ,39.5 ,2010-01-29 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
1,02,999.9 ,... ,1007.9 ,2010-02-12 21:40 ,991.1 ,2010-02-26 15:17 ,18.6 ,29.5 ,2010-02-11 13:43 ,10.1 ,2010-02-19 01:00 ,... ,2.3 ,204 ,19.1 ,32 ,2010-02-11 23:55 ,209.0 ,... ,14 ,... , ,... , ,99.5 ,2010-02-28 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
2,03,1000.9 ,... ,1011.7 ,2010-03-10 21:16 ,991.3 ,2010-03-23 15:51 ,19.3 ,28.6 ,2010-03-22 10:26 ,7.1 ,2010-03-10 21:45 ,... ,2.5 ,215 ,19.4 ,39 ,2010-03-25 22:15 ,26.5 ,... ,9 ,... , ,... , ,6.0 ,2010-03-10 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
3,04,998.9 ,... ,1006.2 ,2010-04-17 09:16 ,989.7 ,2010-04-12 03:28 ,20.2 ,30.6 ,2010-04-22 15:26 ,13.2 ,2010-04-16 05:11 ,... ,2.3 ,6 ,16.4 ,49 ,2010-04-07 08:46 ,95.0 ,... ,20 ,... , ,... , ,23.0 ,2010-04-29 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
4,05,993.0 ,... ,1001.6 ,2010-05-01 09:07 ,983.1 ,2010-05-23 13:06 ,23.7 ,32.7 ,2010-05-22 12:56 ,15.2 ,2010-05-01 03:26 ,... ,2.0 ,37 ,13.2 ,216 ,2010-05-18 15:08 ,108.5 ,... ,16 ,... , ,... , ,43.0 ,2010-05-29 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
5,06,992.0 ,... ,997.4 ,2010-06-02 21:24 ,986.3 ,2010-06-25 04:14 ,25.0 ,32.7 ,2010-06-29 13:49 ,17.2 ,2010-06-01 05:32 ,... ,2.1 ,196 ,15.6 ,190 ,2010-06-21 14:08 ,126.5 ,... ,14 ,... , ,... , ,22.5 ,2010-06-12 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
6,07,992.6 ,... ,997.5 ,2010-07-17 21:24 ,986.7 ,2010-07-05 15:33 ,27.3 ,34.9 ,2010-07-22 15:15 ,22.3 ,2010-07-17 05:12 ,... ,2.1 ,47 ,15.1 ,218 ,2010-07-11 12:26 ,93.5 ,... ,8 ,... , ,... , ,48.5 ,2010-07-25 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
7,08,992.7 ,... ,1000.1 ,2010-08-19 10:14 ,983.2 ,2010-08-31 14:01 ,28.1 ,34.9 ,2010-08-04 12:04 ,22.5 ,2010-08-30 02:51 ,... ,2.2 ,40 ,14.5 ,11 ,2010-08-07 11:28 ,71.0 ,... ,13 ,... , ,... , ,25.5 ,2010-08-15 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
8,09,994.0 ,... ,1000.5 ,2010-09-21 20:42 ,937.6 ,2010-09-19 08:50 ,26.7 ,33.9 ,2010-09-08 12:39 ,21.5 ,2010-09-19 06:32 ,... ,2.0 ,189 ,63.1 ,4 ,2010-09-19 08:49 ,560.5 ,... ,15 ,... , ,... , ,193.0 ,2010-09-19 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
9,10,996.6 ,... ,1005.7 ,2010-10-31 08:27 ,987.0 ,2010-10-22 16:00 ,24.6 ,32.9 ,2010-10-12 11:54 ,16.4 ,2010-10-28 05:47 ,... ,2.6 ,25 ,25.9 ,40 ,2010-10-26 13:56 ,723.5 ,... ,18 ,... , ,... , ,217.5 ,2010-10-16 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
10,11,1001.3 ,... ,1006.5 ,2010-11-03 09:22 ,992.9 ,2010-11-21 14:45 ,21.2 ,29.8 ,2010-11-06 12:27 ,14.4 ,2010-11-27 05:56 ,... ,2.2 ,207 ,18.2 ,54 ,2010-11-25 16:43 ,275.5 ,... ,20 ,... , ,... , ,57.5 ,2010-11-13 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
11,12,1000.1 ,... ,1006.5 ,2010-12-03 19:53 ,993.5 ,2010-12-13 15:52 ,17.9 ,29.0 ,2010-12-12 11:26 ,10.0 ,2010-12-27 06:19 ,... ,2.4 ,207 ,20.6 ,30 ,2010-12-16 04:35 ,70.5 ,... ,14 ,... , ,... , ,20.0 ,2010-12-16 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
