,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1012.4 ,... ,1020.8 ,2014-01-18 22:14 ,1003.3 ,2014-01-03 15:43 ,17.2 ,25.0 ,2014-01-30 13:42 ,11.5 ,2014-01-22 04:05 ,... ,0.5 ,314 ,10.4 ,32 ,2014-01-14 15:07 ,76.0 ,... ,11 ,... , ,... , ,26.5 ,2014-01-13 00:00 ,... ,... ,... ,... ,... ,... , ,... 
1,02,1008.9 ,... ,1018.7 ,2014-02-21 09:04 ,998.9 ,2014-02-03 03:00 ,17.3 ,26.4 ,2014-02-26 10:46 ,10.9 ,2014-02-11 06:43 ,... ,0.4 ,310 ,11.2 ,163 ,2014-02-18 13:38 ,87.5 ,... ,19 ,... , ,... , ,14.5 ,2014-02-27 00:00 ,... ,... ,... ,... ,... ,... , ,... 
2,03,1009.5 ,... ,1017.9 ,2014-03-14 23:04 ,997.5 ,2014-03-29 17:29 ,18.5 ,28.4 ,2014-03-28 09:51 ,12.3 ,2014-03-14 15:50 ,... ,0.5 ,311 ,13.9 ,161 ,2014-03-29 11:49 ,63.5 ,... ,18 ,... , ,... , ,9.0 ,2014-03-09 00:00 ,... ,... ,... ,... ,... ,... , ,... 
3,04,1005.8 ,... ,1014.2 ,2014-04-06 09:53 ,998.2 ,2014-04-01 03:54 ,21.5 ,29.1 ,2014-04-18 10:24 ,15.6 ,2014-04-04 16:26 ,... ,0.3 ,144 ,9.1 ,158 ,2014-04-18 13:52 ,126.0 ,... ,20 ,... , ,... , ,53.5 ,2014-04-09 00:00 ,... ,... ,... ,... ,... ,... , ,... 
4,05,1002.2 ,... ,1010.3 ,2014-05-03 21:55 ,993.4 ,2014-05-14 17:12 ,24.1 ,31.2 ,2014-05-15 09:57 ,17.1 ,2014-05-06 04:08 ,... ,0.2 ,311 ,8.7 ,158 ,2014-05-12 12:53 ,153.0 ,... ,18 ,... , ,... , ,31.5 ,2014-05-03 00:00 ,... ,... ,... ,... ,... ,... , ,... 
5,06,996.7 ,... ,1003.2 ,2014-06-30 22:45 ,989.9 ,2014-06-10 15:46 ,26.6 ,32.0 ,2014-06-18 10:26 ,22.0 ,2014-06-14 04:28 ,... ,1.0 ,54 ,16.3 ,146 ,2014-06-22 11:34 ,138.5 ,... ,13 ,... , ,... , ,55.5 ,2014-06-11 00:00 ,... ,... ,... ,... ,... ,... , ,... 
6,07,997.4 ,... ,1004.7 ,2014-07-26 21:40 ,964.4 ,2014-07-24 00:00 ,28.1 ,33.1 ,2014-07-09 09:03 ,24.0 ,2014-07-22 16:58 ,... ,1.3 ,161 ,20.4 ,345 ,2014-07-22 18:24 ,250.0 ,... ,9 ,... , ,... , ,123.0 ,2014-07-22 00:00 ,... ,... ,... ,... ,... ,... , ,... 
7,08,999.1 ,... ,1006.7 ,2014-08-28 21:41 ,987.3 ,2014-08-01 15:19 ,28.0 ,34.3 ,2014-08-02 09:53 ,23.4 ,2014-08-23 04:20 ,... ,1.3 ,1 ,14.3 ,235 ,2014-08-19 11:57 ,105.5 ,... ,6 ,... , ,... , ,86.0 ,2014-08-11 00:00 ,... ,... ,... ,... ,... ,... , ,... 
8,09,1000.9 ,... ,1006.0 ,2014-09-17 21:13 ,980.3 ,2014-09-21 17:22 ,27.5 ,34.1 ,2014-09-13 11:26 ,22.2 ,2014-09-29 05:26 ,... ,1.1 ,2 ,18.3 ,1 ,2014-09-21 17:21 ,146.5 ,... ,4 ,... , ,... , ,128.5 ,2014-09-21 00:00 ,... ,... ,... ,... ,... ,... , ,... 
9,10,1006.1 ,... ,1012.9 ,2014-10-16 21:07 ,995.8 ,2014-10-10 14:03 ,24.1 ,30.8 ,2014-10-21 11:36 ,18.2 ,2014-10-17 06:25 ,... ,1.2 ,1 ,11.1 ,105 ,2014-10-03 22:03 ,74.5 ,... ,10 ,... , ,... , ,22.0 ,2014-10-24 00:00 ,... ,... ,... ,... ,... ,... , ,... 
10,11,1008.2 ,... ,1014.7 ,2014-11-18 21:36 ,1001.0 ,2014-11-30 15:35 ,21.8 ,28.5 ,2014-11-30 09:13 ,17.0 ,2014-11-14 03:30 ,... ,1.3 ,1 ,8.4 ,23 ,2014-11-17 15:51 ,107.0 ,... ,15 ,... , ,... , ,20.5 ,2014-11-15 00:00 ,... ,... ,... ,... ,... ,... , ,... 
11,12,1011.7 ,... ,1019.5 ,2014-12-18 09:13 ,1002.5 ,2014-12-01 03:03 ,16.8 ,24.8 ,2014-12-10 11:21 ,11.7 ,2014-12-17 17:16 ,... ,1.5 ,305 ,10.6 ,59 ,2014-12-01 07:29 ,70.5 ,... ,17 ,... , ,... , ,12.5 ,2014-12-11 00:00 ,... ,... ,... ,... ,... ,... , ,... 
