,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1019.1 ,... ,1034.1 ,2016-01-24 22:56 ,0.0 ,2016-01-30 03:18 ,16.3 ,26.7 ,2016-01-05 13:35 ,4.1 ,2016-01-24 08:00 ,... ,0.8 ,7 ,19.2 ,297 ,2016-01-17 13:21 ,143.5 ,... ,23 ,... , ,... , ,20.5 ,2016-01-22 00:00 ,... ,... ,... ,... ,... ,... , ,... 
1,02,1020.7 ,... ,1031.0 ,2016-02-25 09:24 ,1008.7 ,2016-02-13 15:21 ,15.6 ,27.1 ,2016-02-13 09:06 ,4.8 ,2016-02-08 05:20 ,... ,0.9 ,8 ,16.2 ,277 ,2016-02-19 20:47 ,108.0 ,... ,16 ,... , ,... , ,25.5 ,2016-02-18 00:00 ,... ,... ,... ,... ,... ,... , ,... 
2,03,1016.6 ,... ,1028.1 ,2016-03-01 00:01 ,1007.2 ,2016-03-08 15:55 ,17.5 ,27.9 ,2016-03-19 12:41 ,8.2 ,2016-03-28 02:53 ,... ,0.8 ,60 ,17.0 ,350 ,2016-03-14 00:43 ,183.5 ,... ,17 ,... , ,... , ,43.5 ,2016-03-10 00:00 ,... ,... ,... ,... ,... ,... , ,... 
3,04,1010.2 ,... ,1020.3 ,2016-04-19 10:03 ,1001.0 ,2016-04-13 15:32 ,23.3 ,30.5 ,2016-04-07 13:43 ,17.0 ,2016-04-29 04:57 ,... ,0.9 ,55 ,14.6 ,346 ,2016-04-18 06:02 ,131.5 ,... ,14 ,... , ,... , ,29.5 ,2016-04-13 00:00 ,... ,... ,... ,... ,... ,... , ,... 
4,05,1008.5 ,... ,1014.7 ,2016-05-13 21:44 ,1002.8 ,2016-05-29 15:37 ,25.8 ,34.1 ,2016-05-30 09:07 ,17.9 ,2016-05-17 00:38 ,... ,0.9 ,63 ,10.1 ,288 ,2016-05-18 11:25 ,134.0 ,... ,17 ,... , ,... , ,51.5 ,2016-05-30 00:00 ,... ,... ,... ,... ,... ,... , ,... 
5,06,1006.2 ,... ,1014.0 ,2016-06-29 23:43 ,999.7 ,2016-06-01 17:15 ,27.8 ,35.2 ,2016-06-28 13:22 ,22.9 ,2016-06-05 20:10 ,... ,0.9 ,68 ,7.7 ,70 ,2016-06-28 14:59 ,236.5 ,... ,17 ,... , ,... , ,139.5 ,2016-06-05 00:00 ,... ,... ,... ,... ,... ,... , ,... 
6,07,1005.5 ,... ,1010.3 ,2016-07-20 22:04 ,994.7 ,2016-07-09 04:24 ,29.0 ,34.8 ,2016-07-28 12:15 ,24.4 ,2016-07-18 19:32 ,... ,1.1 ,78 ,12.9 ,83 ,2016-07-08 13:33 ,130.5 ,... ,10 ,... , ,... , ,51.0 ,2016-07-08 00:00 ,... ,... ,... ,... ,... ,... , ,... 
7,08,1002.3 ,... ,1008.5 ,2016-08-03 21:45 ,997.3 ,2016-08-11 04:25 ,28.9 ,37.7 ,2016-08-26 13:11 ,22.9 ,2016-08-19 15:44 ,... ,1.0 ,75 ,12.7 ,133 ,2016-08-01 11:27 ,189.5 ,... ,8 ,... , ,... , ,111.0 ,2016-08-19 00:00 ,... ,... ,... ,... ,... ,... , ,... 
8,09,1005.4 ,... ,1015.3 ,2016-09-21 08:58 ,973.9 ,2016-09-27 13:32 ,26.8 ,33.2 ,2016-09-04 13:09 ,-7.9 ,2016-09-29 20:17 ,... ,1.3 ,74 ,30.4 ,46 ,2016-09-27 14:01 ,638.5 ,... ,25 ,... , ,... , ,130.5 ,2016-09-27 00:00 ,... ,... ,... ,... ,... ,... , ,... 
9,10,1010.6 ,... ,1023.4 ,2016-10-30 09:53 ,1002.5 , ,26.1 ,34.0 ,2016-10-03 11:19 ,19.9 ,2016-10-30 07:11 ,... ,1.2 ,63 ,10.9 ,125 ,2016-10-20 07:00 ,571.0 ,... ,21 ,... , ,... , ,104.5 ,2016-10-15 00:00 ,... ,... ,... ,... ,... ,... , ,... 
10,11,1016.3 ,... ,1024.4 ,2016-11-29 09:57 ,1009.4 ,2016-11-05 13:34 ,21.8 ,29.9 ,2016-11-20 08:33 ,16.8 ,2016-11-28 06:18 ,... ,0.7 ,2 ,8.7 ,68 ,2016-11-25 19:06 ,267.5 ,... ,19 ,... , ,... , ,66.0 ,2016-11-23 00:00 ,... ,... ,... ,... ,... ,... , ,... 
11,12,1018.9 ,... ,1027.4 ,2016-12-16 09:29 ,0.0 ,2016-12-11 23:42 ,19.0 ,28.2 ,2016-12-21 12:32 ,12.1 ,2016-12-16 03:18 ,... ,0.7 ,38 ,11.3 ,346 ,2016-12-27 11:08 ,207.5 ,... ,22 ,... , ,... , ,89.5 ,2016-12-10 00:00 ,... ,... ,... ,... ,... ,... , ,... 
