,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1017.4 ,... ,1026.1 ,2017-01-22 09:19 ,1007.6 ,2017-01-08 15:43 ,15.1 ,23.8 ,2017-01-05 15:21 ,9.1 ,2017-01-15 06:12 ,... ,4.4 ,57 ,19.5 ,75 ,2017-01-30 13:50 ,3.5 ,... ,3 ,... , ,... , ,1.5 ,2017-01-13 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
1,02,1017.8 ,... ,1028.2 ,2017-02-14 09:56 ,1008.8 ,2017-02-05 14:40 ,13.6 ,24.7 ,2017-02-17 13:47 ,7.8 ,2017-02-24 17:57 ,... ,4.4 ,53 ,20.9 ,58 ,2017-02-21 02:03 ,85.5 ,... ,5 ,... , ,... , ,59.5 ,2017-02-22 00:00 ,70 ,... ,... ,... ,... ,... , ,... 
2,03,1013.9 ,... ,1022.1 ,2017-03-27 10:27 ,1004.8 ,2017-03-13 15:00 ,15.3 ,23.9 ,2017-03-05 13:10 ,10.6 ,2017-03-03 06:03 ,... ,3.4 ,40 ,18.7 ,64 ,2017-03-31 19:43 ,38.0 ,... ,13 ,... , ,... , ,12.0 ,2017-03-10 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
3,04,1010.1 ,... ,1020.9 ,2017-04-02 10:09 ,999.5 ,2017-04-10 18:00 ,20.6 ,31.4 ,2017-04-18 12:06 ,11.7 ,2017-04-01 02:51 ,... ,3.3 ,66 ,18.3 ,68 ,2017-04-21 23:23 ,37.0 ,... ,13 ,... , ,... , ,8.0 ,2017-04-26 00:00 ,75 ,... ,... ,... ,... ,... , ,... 
4,05,1007.1 ,... ,1013.9 ,2017-05-06 09:39 ,998.8 ,2017-05-31 17:55 ,25.1 ,30.8 ,2017-05-09 14:04 ,20.0 ,2017-05-16 02:11 ,... ,3.0 ,18 ,15.8 ,88 ,2017-05-24 23:25 ,71.5 ,... ,10 ,... , ,... , ,28.0 ,2017-05-16 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
5,06,1003.6 ,... ,1009.0 ,2017-06-08 10:31 ,995.0 ,2017-06-01 17:10 ,27.1 ,33.4 ,2017-06-11 11:29 ,22.1 ,2017-06-15 21:30 ,... ,3.3 ,63 ,17.9 ,205 ,2017-06-01 13:47 ,157.5 ,... ,13 ,... , ,... , ,37.5 ,2017-06-18 00:00 ,90 ,... ,... ,... ,... ,... , ,... 
6,07,1003.9 ,... ,1010.0 ,2017-07-18 21:15 ,987.7 ,2017-07-30 04:44 ,29.8 ,35.6 ,2017-07-28 13:38 ,24.6 ,2017-07-07 21:46 ,... ,2.5 ,19 ,20.1 ,210 ,2017-07-31 13:48 ,87.5 ,... ,8 ,... , ,... , ,24.5 ,2017-07-31 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
7,08,1002.7 ,... ,1009.9 ,2017-08-27 23:02 ,993.8 ,2017-08-22 04:09 ,29.7 ,35.2 ,2017-08-19 12:53 ,23.5 ,2017-08-27 06:02 ,... ,3.3 ,214 ,16.9 ,217 ,2017-08-10 14:46 ,52.0 ,... ,4 ,... , ,... , ,23.5 ,2017-08-27 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
8,09,1005.7 ,... ,1012.5 ,2017-09-30 09:16 ,999.5 ,2017-09-01 16:02 ,29.4 ,35.5 ,2017-09-15 13:12 ,25.8 ,2017-09-20 06:04 ,... ,3.0 ,19 ,15.7 ,29 ,2017-09-01 20:41 ,29.0 ,... ,1 ,... , ,... , ,29.0 ,2017-09-03 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
9,10,1009.7 ,... ,1020.5 ,2017-10-30 08:41 ,998.9 ,2017-10-14 14:56 ,26.0 ,35.3 ,2017-10-01 13:30 ,17.7 ,2017-10-31 03:54 ,... ,5.5 ,45 ,22.6 ,33 ,2017-10-14 10:01 ,1.0 ,... ,1 ,... , ,... , ,1.0 ,2017-10-15 00:00 ,64 ,... ,... ,... ,... ,... , ,... 
10,11,1013.8 ,... ,1022.7 ,2017-11-24 09:50 ,1004.4 ,2017-11-17 16:34 ,21.0 ,28.7 ,2017-11-07 12:39 ,13.0 ,2017-11-25 06:31 ,... ,4.5 ,45 ,22.3 ,60 ,2017-11-18 12:17 ,21.5 ,... ,6 ,... , ,... , ,11.0 ,2017-11-25 00:00 ,71 ,... ,... ,... ,... ,... , ,... 
11,12,1017.7 ,... ,1026.6 ,2017-12-20 09:46 ,1011.2 ,2017-12-23 14:55 ,16.2 ,24.6 ,2017-12-24 15:23 ,11.0 ,2017-12-17 07:13 ,... ,5.1 ,40 ,19.7 ,57 ,2017-12-13 19:41 ,0.0 ,... ,0 ,... , ,... , ,0.0 ,2017-12-27 00:00 ,62 ,... ,... ,... ,... ,... , ,... 
