,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1010.6 ,... ,1019.2 ,2017-01-26 09:36 ,1003.5 ,2017-01-07 15:29 ,14.9 ,18.6 ,2017-01-05 15:16 ,9.4 ,2017-01-31 07:49 ,... ,9.9 ,32 ,30.7 ,53 ,2017-01-30 20:54 ,/ ,... ,/ ,... , ,... , ,/ ,2017-01-26 00:00 ,87 ,... ,... ,... ,... ,... , ,... 
1,02,1012.7 ,... ,1023.0 ,2017-02-14 09:52 ,1003.6 ,2017-02-05 16:09 ,11.9 ,21.2 ,2017-02-17 13:12 ,7.0 ,2017-02-24 13:45 ,... ,12.0 ,29 ,28.0 ,41 ,2017-02-21 05:55 ,/ ,... ,/ ,... , ,... , ,/ ,2017-02-28 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
2,03,1009.2 ,... ,1017.5 ,2017-03-27 10:38 ,1001.1 ,2017-03-05 16:45 ,13.4 ,20.3 ,2017-03-05 14:10 ,9.9 ,2017-03-03 07:56 ,... ,9.9 ,31 ,25.8 ,46 ,2017-03-31 21:41 ,/ ,... ,/ ,... , ,... , ,/ ,2017-03-25 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
3,04,1005.4 ,... ,1016.6 ,2017-04-02 10:24 ,994.6 ,2017-04-10 15:26 ,18.6 ,24.3 ,2017-04-26 15:31 ,11.2 ,2017-04-01 03:40 ,... ,7.6 ,27 ,26.5 ,39 ,2017-04-27 08:05 ,/ ,... ,/ ,... , ,... , ,/ ,2017-04-21 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
4,05,1002.6 ,... ,1009.6 ,2017-05-06 10:29 ,995.0 ,2017-05-31 16:26 ,19.7 ,26.8 ,2017-05-24 14:17 ,-39.7 ,2017-05-13 00:52 ,... ,7.9 ,42 ,20.9 ,58 ,2017-05-24 22:41 ,2.5 ,... ,1 ,... , ,... , ,2.5 ,2017-05-24 00:00 ,23 ,... ,... ,... ,... ,... , ,... 
5,06,999.3 ,... ,1004.6 ,2017-06-28 21:51 ,990.8 ,2017-06-01 17:07 ,24.9 ,30.4 ,2017-06-30 14:28 ,20.9 ,2017-06-15 11:20 ,... ,7.0 ,221 ,23.5 ,258 ,2017-06-14 03:50 ,115.0 ,... ,14 ,... , ,... , ,22.0 ,2017-06-19 00:00 ,94 ,... ,... ,... ,... ,... , ,... 
6,07,999.4 ,... ,1005.5 ,2017-07-18 21:36 ,975.0 ,2017-07-30 04:47 ,27.8 ,32.6 ,2017-07-18 14:29 ,23.5 ,2017-07-31 16:58 ,... ,5.3 ,217 ,36.5 ,202 ,2017-07-31 16:04 ,300.0 ,... ,5 ,... , ,... , ,220.5 ,2017-07-31 00:00 ,88 ,... ,... ,... ,... ,... , ,... 
7,08,998.3 ,... ,1005.5 ,2017-08-27 23:00 ,985.8 ,2017-08-22 04:16 ,27.8 ,31.8 ,2017-08-24 12:38 ,24.1 ,2017-08-01 08:53 ,... ,7.0 ,228 ,27.5 ,39 ,2017-08-22 03:55 ,61.5 ,... ,1 ,... , ,... , ,61.5 ,2017-08-01 00:00 ,89 ,... ,... ,... ,... ,... , ,... 
8,09,1001.3 ,... ,1008.0 ,2017-09-29 21:41 ,993.0 ,2017-09-01 14:00 ,27.3 ,31.5 ,2017-09-28 11:31 ,25.0 ,2017-09-07 23:25 ,... ,7.2 ,232 ,25.6 ,36 ,2017-09-01 11:21 ,42.5 ,... ,2 ,... , ,... , ,42.0 ,2017-09-07 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
9,10,1004.4 ,... ,1015.1 ,2017-10-30 10:20 ,989.9 ,2017-10-14 03:02 ,23.7 ,30.3 ,2017-10-02 11:43 ,17.3 ,2017-10-31 07:03 ,... ,16.6 ,45 ,39.7 ,40 ,2017-10-14 02:51 ,0.0 ,... ,0 ,... , ,... , ,0.0 ,2017-10-04 00:00 ,77 ,... ,... ,... ,... ,... , ,... 
10,11,1008.6 ,... ,1017.1 ,2017-11-24 09:20 ,1000.2 ,2017-11-17 16:47 ,18.5 ,24.0 ,2017-11-17 15:14 ,11.1 ,2017-11-25 04:34 ,... ,15.4 ,38 ,33.6 ,50 ,2017-11-18 18:54 ,8.0 ,... ,7 ,... , ,... , ,3.0 ,2017-11-13 00:00 ,83 ,... ,... ,... ,... ,... , ,... 
11,12,1012.2 ,... ,1021.0 ,2017-12-20 22:50 ,1006.1 ,2017-12-03 13:17 ,13.7 ,19.2 ,2017-12-24 14:29 ,8.4 ,2017-12-17 14:24 ,... ,16.6 ,45 ,31.3 ,49 ,2017-12-17 02:06 ,0.0 ,... ,0 ,... , ,... , ,0.0 ,2017-12-27 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
