,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
1,02,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
2,03,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
3,04,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
4,05,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
5,06,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
6,07,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
7,08,1000.0 ,... ,1009.4 ,2013-08-01 06:12 ,991.2 ,2013-08-22 00:15 ,28.1 ,36.3 ,2013-08-06 13:31 ,22.0 ,2013-08-29 18:17 ,... ,1.5 ,32 ,13.9 ,180 ,2013-08-22 11:53 ,1188.5 ,... ,21 ,... , ,... , ,444.0 ,2013-08-29 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
8,09,1001.7 ,... ,1007.8 ,2013-09-07 21:32 ,978.4 ,2013-09-21 14:31 ,27.9 ,40.1 ,2013-09-24 16:01 ,21.4 ,2013-09-02 05:46 ,... ,1.3 ,36 ,10.2 ,186 ,2013-09-15 16:13 ,169.5 ,... ,10 ,... , ,... , ,88.0 ,2013-09-15 00:00 ,76 ,... ,... ,... ,... ,... , ,... 
9,10,1005.5 ,... ,1013.6 ,2013-10-28 08:37 ,995.0 ,2013-10-07 02:31 ,25.2 ,33.6 ,2013-10-09 13:07 ,17.0 ,2013-10-28 05:12 ,... ,1.6 ,25 ,10.2 ,7 ,2013-10-24 16:14 ,0.5 ,... ,1 ,... , ,... , ,0.5 ,2013-10-01 00:00 ,71 ,... ,... ,... ,... ,... , ,... 
10,11,1010.0 ,... ,1017.7 ,2013-11-29 09:31 ,1003.8 ,2013-11-01 15:03 ,22.5 ,31.5 ,2013-11-08 12:46 ,9.8 ,2013-11-30 03:35 ,... ,1.5 ,26 ,12.3 ,29 ,2013-11-25 07:42 ,11.5 ,... ,2 ,... , ,... , ,10.5 ,2013-11-25 00:00 ,73 ,... ,... ,... ,... ,... , ,... 
11,12,1010.9 ,... ,1017.4 ,2013-12-22 09:01 ,1002.7 ,2013-12-17 13:47 ,17.6 ,28.3 ,2013-12-16 12:51 ,7.4 ,2013-12-28 04:47 ,... ,2.0 ,22 ,16.5 ,1 ,2013-12-17 21:17 ,40.5 ,... ,5 ,... , ,... , ,24.5 ,2013-12-16 00:00 ,73 ,... ,... ,... ,... ,... , ,... 
