,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,1017.5 ,... ,1031.1 ,2016-01-24 21:48 ,1006.0 ,2016-01-17 14:16 ,16.3 ,24.6 ,2016-01-04 15:01 ,4.9 ,2016-01-24 06:27 ,... ,3.2 ,26 ,21.0 ,38 ,2016-01-24 03:19 ,135.0 ,... ,16 ,... , ,... , ,70.0 ,2016-01-03 00:00 ,93 ,... ,... ,... ,... ,... , ,... 
1,02,1018.7 ,... ,1026.4 ,2016-02-25 09:52 ,1010.0 ,2016-02-13 14:50 ,16.0 ,30.5 ,2016-02-13 12:47 ,6.2 ,2016-02-08 03:59 ,... ,3.3 ,17 ,18.2 ,26 ,2016-02-06 05:51 ,16.5 ,... ,7 ,... , ,... , ,11.0 ,2016-02-11 00:00 ,87 ,... ,... ,... ,... ,... , ,... 
2,03,1015.3 ,... ,1022.9 ,2016-03-02 08:58 ,1007.5 ,2016-03-08 15:54 ,17.2 ,30.5 ,2016-03-18 13:11 ,-37.5 ,2016-03-06 22:12 ,... ,2.6 ,21 ,13.0 ,4 ,2016-03-27 15:38 ,99.0 ,... ,12 ,... , ,... , ,31.5 ,2016-03-10 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
3,04,1010.4 ,... ,1017.6 ,2016-04-19 09:34 ,1002.6 ,2016-04-13 14:49 ,25.0 ,31.9 ,2016-04-21 13:13 ,17.6 ,2016-04-19 05:12 ,... ,2.2 ,16 ,19.2 ,354 ,2016-04-14 17:17 ,261.0 ,... ,8 ,... , ,... , ,67.0 ,2016-04-14 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
4,05,1008.4 ,... ,1013.3 ,2016-05-14 09:19 ,1003.4 ,2016-05-24 16:20 ,27.4 ,35.2 ,2016-05-27 12:46 ,19.5 ,2016-05-17 03:12 ,... ,2.5 ,8 ,14.4 ,218 ,2016-05-23 11:31 ,34.5 ,... ,8 ,... , ,... , ,8.5 ,2016-05-21 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
5,06,1007.2 ,... ,1012.9 ,2016-06-29 22:44 ,1003.0 ,2016-06-08 16:01 ,28.6 ,35.7 ,2016-06-28 12:00 ,23.9 ,2016-06-13 14:22 ,... ,2.5 ,166 ,17.2 ,242 ,2016-06-12 12:50 ,246.0 ,... ,15 ,... , ,... , ,92.0 ,2016-06-11 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
6,07,1005.3 ,... ,1011.1 ,2016-07-21 08:45 ,980.1 ,2016-07-08 10:25 ,28.9 ,34.7 ,2016-07-31 11:32 ,23.7 ,2016-07-11 12:40 ,... ,2.8 ,168 ,25.1 ,129 ,2016-07-08 13:37 ,275.0 ,... ,8 ,... , ,... , ,136.0 ,2016-07-09 00:00 ,80 ,... ,... ,... ,... ,... , ,... 
7,08,1002.1 ,... ,1009.0 ,2016-08-04 22:07 ,996.9 ,2016-08-09 16:02 ,28.5 ,34.3 ,2016-08-02 11:32 ,23.8 ,2016-08-30 21:32 ,... ,2.3 ,22 ,14.5 ,205 ,2016-08-17 12:48 ,112.0 ,... ,15 ,... , ,... , ,38.5 ,2016-08-12 00:00 ,82 ,... ,... ,... ,... ,... , ,... 
8,09,1004.3 ,... ,1012.8 ,2016-09-21 21:39 ,968.5 ,2016-09-27 17:24 ,27.1 ,33.9 ,2016-09-01 13:13 ,23.3 ,2016-09-07 20:30 ,... ,3.5 ,2 ,37.0 ,310 ,2016-09-27 17:02 ,869.0 ,... ,16 ,... , ,... , ,157.0 ,2016-09-27 00:00 ,85 ,... ,... ,... ,... ,... , ,... 
9,10,1008.6 ,... ,1017.7 ,2016-10-31 08:05 ,999.0 ,2016-10-20 14:40 ,26.8 ,33.1 ,2016-10-21 12:42 ,21.2 ,2016-10-31 06:12 ,... ,2.3 ,17 ,14.7 ,190 ,2016-10-21 12:40 ,53.0 ,... ,7 ,... , ,... , ,19.0 ,2016-10-08 00:00 ,84 ,... ,... ,... ,... ,... , ,... 
10,11,1013.8 ,... ,1020.1 ,2016-11-29 09:38 ,1008.8 ,2016-11-05 14:07 ,23.1 ,30.1 ,2016-11-19 12:52 ,16.8 ,2016-11-29 03:42 ,... ,2.8 ,2 ,16.7 ,56 ,2016-11-27 14:23 ,38.5 ,... ,4 ,... , ,... , ,19.0 ,2016-11-27 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
11,12,1015.9 ,... ,1022.5 ,2016-12-16 09:49 ,1008.9 ,2016-12-09 14:51 ,19.5 ,28.1 ,2016-12-13 13:26 ,12.1 ,2016-12-17 04:50 ,... ,2.9 ,1 ,16.5 ,6 ,2016-12-27 13:39 ,9.5 ,... ,2 ,... , ,... , ,9.0 ,2016-12-28 00:00 ,81 ,... ,... ,... ,... ,... , ,... 
