,ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpDay,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,Precp1DayMax,Precp1DayMaxTime,RH,EvapA,SunShine,GloblRad,UVI Max Mean,UVI Max,UVI Max Time,Cloud Amount
0,01,990.8 ,... ,1000.5 ,2010-01-14 09:19 ,982.7 ,2010-01-04 14:44 ,15.8 ,27.6 ,2010-01-04 12:03 ,7.3 ,2010-01-15 07:35 ,... ,1.0 ,352 ,10.8 ,335 ,2010-01-21 21:58 ,56.5 ,... ,18 ,... , ,... , ,12.0 ,2010-01-03 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
1,02,986.7 ,... ,994.3 ,2010-02-12 21:42 ,977.9 ,2010-02-26 15:48 ,17.9 ,30.1 ,2010-02-26 12:45 ,10.7 ,2010-02-19 01:48 ,... ,1.1 ,347 ,14.4 ,31 ,2010-02-01 19:27 ,31.5 ,... ,12 ,... , ,... , ,10.5 ,2010-02-19 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
2,03,987.8 ,... ,997.9 ,2010-03-10 21:44 ,978.2 ,2010-03-24 15:39 ,19.0 ,32.1 ,2010-03-04 13:29 ,7.4 ,2010-03-10 20:00 ,... ,1.1 ,1 ,15.9 ,5 ,2010-03-16 00:01 ,25.0 ,... ,9 ,... , ,... , ,9.0 ,2010-03-09 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
3,04,986.9 ,... ,994.2 ,2010-04-17 09:06 ,978.0 ,2010-04-12 03:46 ,20.0 ,33.8 ,2010-04-22 12:16 ,13.8 ,2010-04-16 00:08 ,... ,1.1 ,348 ,11.5 ,337 ,2010-04-22 20:11 ,67.5 ,... ,16 ,... , ,... , ,20.0 ,2010-04-29 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
4,05,981.2 ,... ,989.9 ,2010-05-01 09:29 ,971.4 ,2010-05-23 13:01 ,23.6 ,34.6 ,2010-05-22 13:30 ,14.8 ,2010-05-01 06:17 ,... ,0.9 ,2 ,8.7 ,23 ,2010-05-11 21:00 ,53.5 ,... ,16 ,... , ,... , ,11.0 ,2010-05-29 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
5,06,980.3 ,... ,985.4 ,2010-06-02 22:26 ,974.7 ,2010-06-25 16:30 ,24.8 ,34.7 ,2010-06-21 12:49 ,17.9 ,2010-06-02 23:20 ,... ,0.8 ,347 ,9.3 ,16 ,2010-06-21 22:38 ,106.5 ,... ,15 ,... , ,... , ,26.0 ,2010-06-22 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
6,07,981.0 ,... ,985.9 ,2010-07-21 22:00 ,974.6 ,2010-07-05 15:40 ,27.1 ,37.5 ,2010-07-08 12:27 ,22.3 ,2010-07-21 05:04 ,... ,0.6 ,8 ,9.2 ,185 ,2010-07-27 03:20 ,77.5 ,... ,12 ,... , ,... , ,24.0 ,2010-07-14 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
7,08,981.4 ,... ,988.8 ,2010-08-19 09:31 ,971.9 ,2010-08-31 14:36 ,26.9 ,37.5 ,2010-08-11 13:36 ,21.7 ,2010-08-26 06:02 ,... ,0.7 ,11 ,11.2 ,328 ,2010-08-11 16:23 ,59.5 ,... ,13 ,... , ,... , ,17.5 ,2010-08-23 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
8,09,982.6 ,... ,989.3 ,2010-09-21 20:59 ,939.4 ,2010-09-19 09:02 ,25.1 ,34.2 ,2010-09-06 12:50 ,20.3 ,2010-09-21 05:30 ,... ,0.9 ,346 ,40.5 ,329 ,2010-09-19 08:49 ,437.5 ,... ,17 ,... , ,... , ,138.0 ,2010-09-19 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
9,10,985.2 ,... ,994.1 ,2010-10-31 09:02 ,975.8 ,2010-10-22 15:30 ,22.5 ,33.2 ,2010-10-02 12:12 ,14.3 ,2010-10-28 06:18 ,... ,1.0 ,348 ,11.3 ,343 ,2010-10-16 19:34 ,559.5 ,... ,22 ,... , ,... , ,108.0 ,2010-10-21 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
10,11,989.3 ,... ,995.1 ,2010-11-09 09:38 ,980.4 ,2010-11-21 15:20 ,19.3 ,27.4 ,2010-11-19 11:36 ,13.8 ,2010-11-27 06:04 ,... ,1.0 ,345 ,10.8 ,14 ,2010-11-23 12:17 ,108.0 ,... ,15 ,... , ,... , ,47.5 ,2010-11-13 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
11,12,987.8 ,... ,994.0 ,2010-12-03 09:24 ,981.3 ,2010-12-13 16:04 ,16.0 ,25.1 ,2010-12-12 12:16 ,7.0 ,2010-12-28 05:16 ,... ,0.7 ,1 ,11.0 ,349 ,2010-12-16 00:43 ,42.0 ,... ,18 ,... , ,... , ,11.0 ,2010-12-16 00:00 ,/ ,... ,/ ,... ,... ,... , ,... 
