<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Central African Republic","7","21","Present","-","-","-","-","Mbétid-Bessane (2006)","-"
"Ivory Coast","8","-5","Present","-","Introduced","-","Invasive","Mèmèl et al. (2011); Raut and Barker (2002); Winter (1989)","-"
"Ethiopia","8","38","Present","-","Native","-","No","Raut and Barker (2002)","-"
"Ghana","8.1","-1.2","Present","-","Introduced","-","Invasive","Monney (2001); Raut and Barker (2002)","Became the dominant achatinid shortly after its introduction"
"Kenya","1","38","Widespread","-","Native","-","No","Mead (1979); Raut and Barker (2002)","-"
"Madagascar","-20","47","Widespread","-","Introduced","Prior to 1800","Invasive","Bequaert (1950); EPPO (2014); Raut and Barker (2002)","-"
"Mauritius","-20.3","57.58333","Widespread","-","Introduced","1803","Invasive","EPPO (2014); Facknath et al. (1999); Mead (1961)","-"
"Nigeria","10","8","Present","-","Introduced","-","Invasive","Ademolu et al. (2013); Ashaye et al. (2001); Okon et al. (2012)","-"
"Reunion","-21.1","55.6","Widespread","-","Introduced","1821","Invasive","EPPO (2014); Graber et al. (1997); Mead (1961); Schotman (1989)","-"
"Seychelles","-4.682","55.483","Widespread","-","Introduced","1840","Invasive","EPPO (2014); Mead (1961); Schotman (1989)","-"
"Tanzania","-6","35","Widespread","-","Native","-","No","Emberton et al. (1997)","-"
"Togo","8","1.16667","Present","-","Introduced","-","Invasive","Ekoué & Kuevi-Akue, 2002","-"
"Bangladesh","24","90","Present","-","Introduced","-","Invasive","Mead (1979)","-"
"Brunei","4.5","114.66667","Present","-","Introduced","-","-","EPPO (2014)","-"
"Cambodia","13","105","Present","-","Introduced","-","Invasive","Mead (1979)","-"
"China","35","105","Widespread","-","Introduced","1931","Invasive","EPPO (2014); Jarrett (1931); Lv et al. (2009); Schotman (1989)","-"
"Fujian Sheng","26.545","117.84278","Present","-","Introduced","-","Invasive","Lv et al. (2009); Li et al. (2006)","In the south"
"Guangdong Sheng","23","113","Present","-","Introduced","-","Invasive","Lv et al. (2009); Meng et al. (2007)","-"
"Guangxi Zhuangzu Zizhiqu","24","109","Present","-","Introduced","-","Invasive","Lv et al. (2009)","-"
"Guizhou Sheng","27","107","Restricted distribution","-","Introduced","-","Invasive","Lv et al. (2009); Tang et al. (2008)","In one county"
"Hainan Sheng","19.2","109.6","Widespread","-","Introduced","-","Invasive","Lv et al. (2009); Hu et al. (2007)","-"
"Yunnan Sheng","25","102","Present","-","Introduced","-","Invasive","Lv et al. (2009); Chen et al. (2008)","In southern areas"
"India","20","77","Widespread","-","Introduced","1847","Invasive","EPPO (2014); Mead (1961); Raut and Ghose (1984); Srivastava et al. (1985)","-"
"Union Territory of Andaman and Nicobar Islands","11.70065","92.67517","Widespread","-","Introduced","1940s","Invasive","Prasad et al. (2004); Shah (1992)","-"
