<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"China","35","105","Widespread","-","Introduced","1981-1985","Invasive","Cowie et al., 2002; EPPO (2014); Halwart (1994a); Halwart and Bartley (2006); Wu and Xie (2006); Yin et al. (2006)","-"
"Chongqing Shi","30.05705","107.87406","Localised","-","Introduced","-","-","Lv et al. (2011)","-"
"Fujian Sheng","26.545","117.84278","Widespread","-","Introduced","1985","-","EPPO (2014); Halwart (1994a); Lv et al. (2011); Mochida (1991); Yin et al. (2006)","-"
"Guangdong Sheng","23","113","Widespread","-","Introduced","1988","-","EPPO (2014); Halwart (1994a); Lv et al. (2011); Mochida (1991); Wu and Xie (2006); Yin et al. (2006)","-"
"Guangxi Zhuangzu Zizhiqu","24","109","Widespread","-","Introduced","-","-","EPPO (2014); Halwart (1994a); Lv et al. (2011)","-"
"Guizhou Sheng","27","107","Widespread","-","Introduced","-","-","Lv et al. (2011)","-"
"Hainan Sheng","19.2","109.6","Widespread","-","Introduced","-","-","Lv et al. (2011); EPPO (2014)","-"
"Hubei Sheng","31","112","Localised","-","Introduced","-","-","Lv et al. (2011)","-"
"Hunan Sheng","28","112","Widespread","-","Introduced","-","-","Lv et al. (2011)","-"
"Jiangxi Sheng","28","116","Widespread","-","Introduced","-","-","Lv et al. (2011)","-"
"Shanghai Shi","31.23333","121.46667","Localised","-","Introduced","-","-","Lv et al. (2011)","-"
"Sichuan Sheng","30.5","102.5","Localised","-","Introduced","-","-","Lv et al. (2011); EPPO (2014)","-"
"Yunnan Sheng","25","102","Widespread","-","Introduced","-","-","Lv et al. (2011); EPPO (2014)","-"
"Zhejiang Sheng","29","120","Present","-","Introduced","1985","-","EPPO (2014); Halwart (1994a); Lv et al. (2011); Mochida (1991); Yin et al. (2006)","-"
"Indonesia","-5","120","Present, few occurrences","-","Introduced","1981-1984","Invasive","EPPO (2014); Halwart (1994a); Halwart and Bartley (2006); Hendarsih-Suharto, et al. (2006); Mochida (1991)","Bali, Nusa Tengarra, Lombok"
"Irian Jaya","-5","138","Present, few occurrences","-","Introduced","-","-","Hendarsih-Suharto, et al. (2006); EPPO (2014)","-"
"Java","-7.49167","110.00444","Present","-","Introduced","1989","-","EPPO (2014); Hayes et al. (2008); Hendarsih-Suharto, et al. (2006); Mochida (1991); Naylor (1996)","-"
"Borneo","1","114","Present, few occurrences","-","Introduced","-","Invasive","Hendarsih-Suharto, et al. (2006)","-"
"Lesser Sunda Islands","-9","120","Present, few occurrences","-","Introduced","-","Invasive","Hendarsih-Suharto, et al. (2006)","West Timor, Madura, Lesser Sunda Islands"
"Sumatra","0","102","Present","-","Introduced","1989","-","Cowie (2002); EPPO (2014); Hendarsih-Suharto, et al. (2006); Naylor (1996)","-"
"Iraq","33","44","Present","-","-","-","-","Al-Jassany and Al-Hassnawi (2017)","-"
"Israel","31.5","34.75","Present","-","-","-","-","EPPO (2014)","-"
"Japan","35.68536","139.75309","Widespread","-","Introduced","1981","Invasive","EPPO (2014); Halwart and Bartley (2006); Mochida (1991); Wada (2006)","-"
"Honshu","36","138","Present","-","Introduced","-","Invasive","EPPO (2014); Halwart (1994a); Hayes et al. (2008); Wada (2006)","-"
"Kyushu","33","131","Present","-","Introduced","1981","Invasive","EPPO (2014); Hayes et al. (2008); Wada (2006)","-"
"Ryukyu Islands","26.5","128","Present","-","Introduced","before 1984","-","Cowie (2002); EPPO (2014); Wada (2006)","-"
"Shikoku","33.75","133.5","Present","-","Introduced","-","-","Halwart (1994a); Wada (2006)","-"
"Laos","18","105","Present","-","Introduced","1991-1994","-","Douangboupha and Khamphoukeo (2006); EPPO (2014); Halwart and Bartley (2006); Hayes et al. (2008)","-"
"Malaysia","2.5","112.5","Present","-","Introduced","1987","Invasive","EPPO (2014); Halwart and Bartley (2006); Yahaya et al. (2006)","-"
"Peninsular Malaysia","4","102","Present","-","Introduced","1987-1991","-","Cowie (2002); Naylor (1996); Yahaya et al. (2006)","-"
"Sabah","5.5","117","Present, few occurrences","-","Introduced","1992","Invasive","EPPO (2014); Hayes et al. (2008); Teo SuSin (2004); Yahaya et al. (2006)","-"
"Sarawak","2.5","113.5","Restricted distribution","-","Introduced","1987","-","Mochida (1991); Naylor (1996); Yahaya et al. (2006)","-"
"Myanmar","22","98","Present, few occurrences","-","Introduced","-","Invasive","Hayes et al. (2008)","-"
"Philippines","12.38","123.45","Widespread","-","Introduced","1980-1982","Invasive","Adalla and Magsino (2006); EPPO (2014); Halwart and Bartley (2006); Mochida (1991); Naylor (1996)","-"
"Singapore","1.36667","103.8","Present","-","Introduced","1993","-","Cowie (2002); Halwart and Bartley (2006)","-"
"Taiwan","24","121","Widespread","-","Introduced","1979-1981","Invasive","Cheng and Kao (2006); EPPO (2014); EPPO (2014); Halwart and Bartley (2006); Mochida (1991); Yang et al. (2006)","-"
