,Unnamed: 0,EI,id,long,lat,Time
105,296,-0.28000000000000025,C0T960,121.425,23.6607,2010-01
43,46,-0.24285714285714285,C0A920,121.5653,25.2638,2010-02
105,296,-0.2481212121212123,C0T960,121.425,23.6607,2010-03
83,255,-0.3303030303030303,C0R280,120.8368,22.0761,2010-04
37,40,-0.3071428571428572,C0A650,121.7429,25.0027,2010-05
106,296,-0.20985714285714288,C0T960,121.425,23.6607,2010-07
31,34,-0.2,C0A540,121.7459,24.8928,2010-12
118,128,-0.3090909090909091,C0F9A0,120.7511,24.1036,2016-10
49,51,-0.8785714285714286,C0A980,121.4697,25.1095,2017-03
47,49,-0.28836363636363643,C0A950,121.9234,25.129,2017-07
74,78,-0.9533333333333333,C0C480,121.3232,24.9924,2017-08
118,122,-0.35942857142857143,C0F0B0,120.7776,24.2761,2017-08
118,122,-0.3214545454545454,C0F0B0,120.7776,24.2761,2017-09
172,176,-0.5,C0I110,120.6882,23.7612,2017-09
172,176,-0.2866666666666664,C0I110,120.6882,23.7612,2017-10
73,78,-0.8,C0C480,121.3232,24.9924,2017-11
122,127,-0.20909090909090908,C0F970,120.7223,24.1731,2017-11
171,176,-0.00030303030303031,C0I110,120.6882,23.7612,2017-11
