add,lat,long
"Sinhua District, Tainan City",23.03944,120.32116
"Mingjian Township, Nantou Country",23.83837,120.70293
"Minsyong Township, Chiayi County",23.55206,120.34743
"Songshan District, Taipei City",25.04973,121.5768
"Taiping District, Taichung City",24.12649,120.71856
"Douliou City, Yunlin County",23.72944,120.59832
"Yujing District, Tainan City",23.12373,120.46011
"Luchou District, New Taipei",25.08467,121.47373
"West District, Taichung City",24.14122,120.67099
"Siaogang District, Kaohsiung City",22.56535,120.33793
"Pitou Township, Changhua Country",23.89143,120.46209
"Dacun Township, Changhua Country",23.99344,120.54714
"Houli District, Taichung City",24.30493,120.71069
"Puyan Township, Changhua Country",24.00022,120.4636
"Sinpu Township, Hsinchu County",24.82799,121.0713
"Tianwei Township, Changhua Country",23.89223,120.52607
"Nantou City, Nantou Country",23.90212,120.69045
"Dashu Township, Kaohsiung City",22.69338,120.43306
"Caotun Township, Nantou Country",23.97387,120.68057
"Wufeng District, Taichung City",24.06084,120.70022
"Renai Rd., Chiayi City",23.47257,120.44251
"Meishan Township, Chiayi County",23.58507,120.55556
"Changjhih Township, Pingtung country",22.71633,120.65426
"Shanlin District, Kaohsiung City",22.97157,120.54072
"Tingzhou Rd., Taipei City",25.02488,121.51983
"Houbi District, Tainan City",23.366,120.36197
"Puli Township, Nantou Country",23.96662,120.96923
"Jhongpu Township, Chiayi County",23.45045,120.48647
"Cihtong Township, Yunlin County",23.76103,120.50265
"Erlin Township , Changhua Country",23.89968,120.37432
"Guantian District, Tainan City",23.19297,120.31532
"Anping District, Tainan City",22.99162,120.18503
"Shalu District, Taichung City",24.2336,120.56579
", Taichung City",24.147736,120.673645
"Tianjhong Township, Changhua Country",23.86133,120.58087
"Dali District, Taichung City",24.09959,120.67844
"Guosing Township, Nantou Country",24.03988,120.85755
"Meinong District, Kaohsiung City",22.89514,120.54277
"Botanical garden, Taipei City",24.15769,120.66787
"Gongguan Township, Miaoli country",24.50592,120.8285
"Jhongjheng District, Taipei City",24.93618,121.71169
"Wurih District, Taichung City",24.06861,120.64557
"Chishan District, Kaohsiung City",22.86772,120.5699
"Huwei Township, Yunlin County",23.70836,120.44485
"Gukeng Township, Yunlin County",23.64258,120.56188
"Da-an District, Taipei City",25.02646,121.53456
"Miaoli City, Miaoli country",24.56399,120.82103
"Nantun District, Taichung City",24.13825,120.64297
"Changhua City, Changhua Country",24.085208,120.566254
"Wunshan District , Taipei City",24.990714,121.578358
"Zuoying District, Kaohsiung City",22.68457,120.292697
"Linnei Township , Yunlin County",23.751135,120.610488
"Chaozhou Town, Pingtung country",22.550511,120.548565
"Fenyuan Township, Changhua Country",24.014839,120.627672
"Xinying District, Tainan City",23.305925,120.289897
"Fengyuan District, Taichung City",24.251132,120.733201
"Shetou Township, Changhua Country",23.899292,120.58409
"Lingya District, Kaohsiung City",22.62322,120.324311
"Erlun Township , Yunlin County",23.813435,120.406886
